tracer	set	bytes	url	vospace_path
CO21	VERTICO CO(2-1) native products (DOI 10.11570/23.0018)	408960	https://ws-cadc.canfar.net/vault/files/AstroDataCitationDOI/CISTI.CANFAR/23.0018/data/IC3392/IC3392_7m+tp_co21_pbcorr_round_unclipped_subcube.fits	AstroDataCitationDOI/CISTI.CANFAR/23.0018/data/IC3392/IC3392_7m+tp_co21_pbcorr_round_unclipped_subcube.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	12453120	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mask_cube.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mask_cube.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	115200	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mask_subcube_slab.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mask_subcube_slab.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	31680	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_Jyb-1kms-1.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_Jyb-1kms-1.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	66082	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_Jyb-1kms-1.pdf	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_Jyb-1kms-1.pdf
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	31680	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_Msolpc-2.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_Msolpc-2.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	68304	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_Msolpc-2.pdf	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_Msolpc-2.pdf
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	31680	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_SN.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_SN.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	66952	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_SN.pdf	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_SN.pdf
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	31680	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_unc.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_unc.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	67277	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_unc.pdf	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom0_unc.pdf
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	31680	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom1.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom1.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	63792	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom1.pdf	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom1.pdf
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	31680	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom1_unc.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom1_unc.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	67190	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom1_unc.pdf	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom1_unc.pdf
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	31680	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom2.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom2.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	67041	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom2.pdf	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom2.pdf
