GALAXY,PGC,DIST,INCL,PA,HAS_BAR,OM_P_ALMA,OM_P_ALMA_ERR_UP,OM_P_ALMA_ERR_DOWN,OM_P_ALMA_QUAL,OM_P_MUSE_MASS,OM_P_MUSE_MASS_ERR_UP,OM_P_MUSE_MASS_ERR_DOWN,OM_P_MUSE_MASS_QUAL,OM_P_MUSE_HA,OM_P_MUSE_HA_ERR_UP,OM_P_MUSE_HA_ERR_DOWN,OM_P_MUSE_HA_QUAL,R_CR_ALMA_1,R_CR_ALMA_1_ERR,R_CR_MUSE_MASS_1,R_CR_MUSE_MASS_1_ERR,R_CR_MUSE_HA_1,R_CR_MUSE_HA_1_ERR,LITERATURE_OM_P,LITERATURE_OM_P_ERR,LITERATURE_OM_P_REF
NGC1637,15821,11.699999809265137,31.100000381469727,20.610000610351562,1,90.52965372177,10.24754263017672,29.48603491986978,3.0,,,,,,,,,,,,,,,,,
NGC1672,15941,19.399999618530273,42.599998474121094,134.3000030517578,1,32.47053697079449,1.9722836267442025,1.2978017012244192,2.0,22.733289969060042,0.6098333069729083,0.608426301499509,1.0,28.0712956135823,0.07530486970783398,0.07914721947464691,1.0,3.260504245758056,0.9781512737274167,6.072689157724381,1.5894958198070528,3.9941177010536197,0.48907563686370814,22.174554051442364,,1999ApJ...512..623D
NGC1792,16709,16.200000762939453,65.0999984741211,318.8999938964844,0,57.69330397179798,2.8043413096571177,4.210112092300743,1.0,,,,,,,,,1.8667968750000001,0.4746093750000002,,,,,,,
NGC1809,16599,19.950000762939453,57.599998474121094,138.1999969482422,0,47.426366040067506,3.5415795952327684,6.058297734057479,4.0,,,,,,,,,1.3632500439882278,1.0972500354051589,,,,,,,
NGC2090,17819,11.75,64.5,192.4600067138672,0,58.06154343420582,4.013131732945795,4.631374862999422,1.0,,,,,,,,,0.09957627058029175,0.09957627058029175,,,,,,,
NGC2283,19562,13.680000305175781,43.70000076293945,-4.099999904632568,1,41.03179008772773,1.9386392198855082,3.140789840115455,1.0,,,,,,,,,0.13153847455978396,0.13153847455978396,,,,,,,
NGC2566,23303,23.440000534057617,48.5,312.0,1,34.58071640641122,1.977876365629992,4.823479006892101,1.0,,,,,,,,,3.7583122014999386,2.225316435098647,,,,,,,
NGC2775,25861,23.149999618530273,41.20000076293945,156.5,0,54.87313751825695,0.07171149635171296,0.05034292891752548,1.0,,,,,,,,,5.583235144615173,0.20426470041275024,,,,,,,
NGC2835,26259,12.380000114440918,41.29999923706055,1.0,1,41.267545901239295,0.25935668558612945,0.7608306976773158,1.0,34.62025951670967,4.297022813148015,3.1028937064356343,1.0,37.63327050616549,0.44799119112261004,0.40083607680517824,1.0,2.8192079305648803,0.5515841603279115,2.8192079305648803,0.5515841603279115,3.186930704116821,0.18386138677597064,,,
NGC2903,27077,10.0,66.80000305175781,203.6999969482422,1,25.005475196451716,1.8451083906922592,0.5228044844317843,1.0,,,,,,,,,,,,,,,27.785783612420378,,2009PASJ...61..441H
NGC2997,27978,14.0600004196167,33.0,108.0999984741211,1,36.02317401241711,0.6549963646174243,0.34586355944858005,4.0,,,,,,,,,7.247743400931357,3.8260619670152654,,,,,,,
NGC3059,28298,20.229999542236328,29.399999618530273,-14.800000190734863,1,36.77164507012048,5.178476140536539,7.839470559164747,1.0,,,,,,,,,0.10217171907424927,0.10217171907424927,,,,,,,
NGC3137,29530,16.3700008392334,70.30000305175781,-0.30000001192092896,0,21.571083750239797,0.6490448166653987,0.6633457941515556,1.0,,,,,,,,,4.998893201351166,0.49439603090286255,,,,,,,
