key,file_name,bytes_size,subcategory,sortingCategory,restricted,visible,updated,version
psi-data/PSI-32/Raw Data/2018_352_181218_V11_3628011345_STA_20msTOF_RFf_RFf_1_L1.zip,2018_352_181218_V11_3628011345_STA_20msTOF_RFf_RFf_1_L1.zip,245420124,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_352_181218_V11_3628011345_STA_20msTOF_RFf_RFf_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_352_181218_V11_3628011345_STA_20msTOF_RFf_RFf_2_L1.zip,2018_352_181218_V11_3628011345_STA_20msTOF_RFf_RFf_2_L1.zip,30752555,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_352_181218_V11_3628011345_STA_20msTOF_RFf_RFf_2_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_353_181218_V11_3628021352STA_20msTOF_RFf_2_RFf_1_L1.zip,2018_353_181218_V11_3628021352STA_20msTOF_RFf_2_RFf_1_L1.zip,244785236,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_353_181218_V11_3628021352STA_20msTOF_RFf_2_RFf_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_353_tabs_to_pngs.csv,2018_353_tabs_to_pngs.csv,70654,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_353_181218_V11_3628021352STA_20msTOF_RFf_2_RFf_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_353_181218_V11_3628021352STA_20msTOF_RFf_2_RFf_2_L1.zip,2018_353_181218_V11_3628021352STA_20msTOF_RFf_2_RFf_2_L1.zip,220435689,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_353_181218_V11_3628021352STA_20msTOF_RFf_2_RFf_2_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_353_181219_V11_3628024143_STA_20msTOF_tSlosh_tSlosh_1_L1.zip,2018_353_181219_V11_3628024143_STA_20msTOF_tSlosh_tSlosh_1_L1.zip,147349431,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_353_181219_V11_3628024143_STA_20msTOF_tSlosh_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_356_181221_V11_3628278375_Linear4_181022base_tSlosh_tSlosh_1_L1.zip,2018_356_181221_V11_3628278375_Linear4_181022base_tSlosh_tSlosh_1_L1.zip,134676138,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_356_181221_V11_3628278375_Linear4_181022base_tSlosh_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_356_tabs_to_pngs.csv,2018_356_tabs_to_pngs.csv,13715,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_356_181221_V11_3628278375_Linear4_181022base_tSlosh_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_355_181220_V11_3628191070_0p3LinDec_10msTOF_tSlosh_tSlosh_1_L1.zip,2018_355_181220_V11_3628191070_0p3LinDec_10msTOF_tSlosh_tSlosh_1_L1.zip,206751421,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_355_181220_V11_3628191070_0p3LinDec_10msTOF_tSlosh_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_355_tabs_to_pngs.csv,2018_355_tabs_to_pngs.csv,52429,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_355_181220_V11_3628191070_0p3LinDec_10msTOF_tSlosh_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
