tree	branch	typename
dijets/DecayTree	CELLjet_0_BDTTag_absQSum	float[]
dijets/DecayTree	CELLjet_0_BDTTag_m	float[]
dijets/DecayTree	CELLjet_0_BDTTag_mCor	float[]
dijets/DecayTree	CELLjet_0_BDTTag_fdChi2	float[]
dijets/DecayTree	CELLjet_0_BDTTag_ipChi2Sum	float[]
dijets/DecayTree	CELLjet_0_BDTTag_bdt0	float[]
dijets/DecayTree	CELLjet_0_BDTTag_bdt1	float[]
dijets/DecayTree	CELLjet_0_BDTTag_pass	float[]
dijets/DecayTree	CELLjet_0_BDTTag_tau	float[]
dijets/DecayTree	CELLjet_0_BDTTag_z	float[]
dijets/DecayTree	CELLjet_0_BDTTag_pt	float[]
dijets/DecayTree	CELLjet_0_BDTTag_backwards	float[]
dijets/DecayTree	CELLjet_0_Eta	double
dijets/DecayTree	CELLjet_0_Phi	double
dijets/DecayTree	CELLjet_0_MLoKi	double
dijets/DecayTree	CELLjet_0_MMLoKi	double
dijets/DecayTree	CELLjet_0_NTrk	double
dijets/DecayTree	CELLjet_0_N90	double
dijets/DecayTree	CELLjet_0_MTF	double
dijets/DecayTree	CELLjet_0_NSatCells	double
dijets/DecayTree	CELLjet_0_NHasPVInfo	double
dijets/DecayTree	CELLjet_0_JEC_Cor	double
dijets/DecayTree	CELLjet_0_JEC_PV	double
dijets/DecayTree	CELLjet_0_JEC_Error	double
dijets/DecayTree	CELLjet_0_w	double
dijets/DecayTree	CELLjet_0_CPF	double
dijets/DecayTree	CELLjet_0_JetWidth	double
dijets/DecayTree	CELLjet_0_NSatECAL	double
dijets/DecayTree	CELLjet_0_NSatHCAL	double
dijets/DecayTree	CELLjet_0_NIPChi2Inf4	double
dijets/DecayTree	CELLjet_0_EfCharged	double
dijets/DecayTree	CELLjet_0_EfChargedHadron	double
dijets/DecayTree	CELLjet_0_EfMuon	double
dijets/DecayTree	CELLjet_0_EfElectron	double
dijets/DecayTree	CELLjet_0_EfNeutral	double
dijets/DecayTree	CELLjet_0_EfPhoton	double
dijets/DecayTree	CELLjet_0_EfPi0	double
dijets/DecayTree	CELLjet_0_EfMPi0	double
dijets/DecayTree	CELLjet_0_EfRPi0	double
dijets/DecayTree	CELLjet_0_EfNHad	double
dijets/DecayTree	CELLjet_0_EfNReco	double
dijets/DecayTree	CELLjet_0_EfCompo	double
dijets/DecayTree	CELLjet_0_EfV0	double
dijets/DecayTree	CELLjet_0_EfD	double
dijets/DecayTree	CELLjet_0_EfB	double
dijets/DecayTree	CELLjet_0_EfBadParticle	double
dijets/DecayTree	CELLjet_0_EfCharged0Momentum	double
dijets/DecayTree	CELLjet_0_EfChargedInfMomentum	double
dijets/DecayTree	CELLjet_0_EfBadPhotonMatchingT	double
dijets/DecayTree	CELLjet_0_EfBadPhoton	double
dijets/DecayTree	CELLjet_0_EfIsolatedPhoton	double
dijets/DecayTree	CELLjet_0_NLongTrk	double
dijets/DecayTree	CELLjet_0_EfLongTrk	double
dijets/DecayTree	CELLjet_0_NDownTrk	double
dijets/DecayTree	CELLjet_0_EfDownTrk	double
dijets/DecayTree	CELLjet_0_NUpTrk	double
dijets/DecayTree	CELLjet_0_EfUpTrk	double
dijets/DecayTree	CELLjet_0_PU_NPVs	double
dijets/DecayTree	CELLjet_0_PU_Cone06_SumPTLongTrk	double
dijets/DecayTree	CELLjet_0_PU_Cone06_SumELongTrk	double
dijets/DecayTree	CELLjet_0_PU_Cone06_NLongTrk	double
dijets/DecayTree	CELLjet_0_PU_Cone06_NUpVeloTrk	double
dijets/DecayTree	CELLjet_0_PU_Cone10_SumPTLongTrk	double
dijets/DecayTree	CELLjet_0_PU_Cone10_SumELongTrk	double
dijets/DecayTree	CELLjet_0_PU_Cone10_NLongTrk	double
dijets/DecayTree	CELLjet_0_PU_Cone10_NUpVeloTrk	double
dijets/DecayTree	CELLjet_0_PU_Cone15_SumPTLongTrk	double
dijets/DecayTree	CELLjet_0_PU_Cone15_SumELongTrk	double
dijets/DecayTree	CELLjet_0_PU_Cone15_NLongTrk	double
dijets/DecayTree	CELLjet_0_PU_Cone15_NUpVeloTrk	double
dijets/DecayTree	CELLjet_0_nConstituents	int32_t
dijets/DecayTree	CELLjet_0_Constituents_E	float[]
dijets/DecayTree	CELLjet_0_Constituents_pT	float[]
dijets/DecayTree	CELLjet_0_Constituents_ID	float[]
dijets/DecayTree	CELLjet_0_Constituents_pX	float[]
dijets/DecayTree	CELLjet_0_Constituents_pY	float[]
dijets/DecayTree	CELLjet_0_Constituents_pZ	float[]
dijets/DecayTree	CELLjet_0_Constituents_Eta	float[]
dijets/DecayTree	CELLjet_0_Constituents_Phi	float[]
dijets/DecayTree	CELLjet_0_Constituents_Q	float[]
dijets/DecayTree	CELLjet_0_Constituents_IP	float[]
dijets/DecayTree	CELLjet_0_Constituents_IPCHI2	float[]
dijets/DecayTree	CELLjet_0_Constituents_IPraw	float[]
dijets/DecayTree	CELLjet_0_Constituents_NNe	float[]
dijets/DecayTree	CELLjet_0_Constituents_NNk	float[]
dijets/DecayTree	CELLjet_0_Constituents_NNp	float[]
dijets/DecayTree	CELLjet_0_Constituents_NNpi	float[]
dijets/DecayTree	CELLjet_0_Constituents_NNmu	float[]
dijets/DecayTree	CELLjet_0_Constituents_Chi2	float[]
dijets/DecayTree	CELLjet_0_Constituents_QoverP	float[]
dijets/DecayTree	CELLjet_0_Constituents_trackX	float[]
dijets/DecayTree	CELLjet_0_Constituents_trackY	float[]
dijets/DecayTree	CELLjet_0_Constituents_trackZ	float[]
dijets/DecayTree	CELLjet_0_Constituents_trackVX	float[]
dijets/DecayTree	CELLjet_0_Constituents_trackVY	float[]
dijets/DecayTree	CELLjet_0_Constituents_trackVZ	float[]
dijets/DecayTree	CELLjet_0_Constituents_CaloNeutralEcal	float[]
dijets/DecayTree	CELLjet_0_Constituents_CaloNeutralHcal2Ecal	float[]
dijets/DecayTree	CELLjet_0_Constituents_CaloNeutralE49	float[]
dijets/DecayTree	CELLjet_0_Constituents_CaloNeutralPrs	float[]
dijets/DecayTree	nCandidate	uint32_t
dijets/DecayTree	totCandidates	uint64_t
dijets/DecayTree	EventInSequence	uint64_t
dijets/DecayTree	runNumber	uint32_t
dijets/DecayTree	eventNumber	uint64_t
dijets/DecayTree	BCID	uint32_t
dijets/DecayTree	BCType	int32_t
dijets/DecayTree	OdinTCK	uint32_t
dijets/DecayTree	L0DUTCK	uint32_t
dijets/DecayTree	HLT1TCK	uint32_t
dijets/DecayTree	HLT2TCK	uint32_t
dijets/DecayTree	GpsTime	uint64_t
dijets/DecayTree	Polarity	int16_t
GetIntegratedLuminosity/LumiTuple	IntegratedLuminosity	double
GetIntegratedLuminosity/LumiTuple	IntegratedLuminosityErr	double
