experiment_index,phi_Rb87_rad,phi_Rb85_rad,dphi_rad
174,-2.167567184512496,-2.559537072408883,-0.39196988789639065
175,1.655939024323704,0.6597313377714791,-0.9962076865522214
176,-2.2628307374473984,-1.7853487925364497,0.4774819449109522
177,0.4482708007001186,-0.4889808259137105,-0.9372516266138256
178,-0.37089215728236624,-1.2140699390113774,-0.8431777817290076
179,1.502749718381306,0.11305523832637121,-1.3896944800549385
180,-0.42642262546044307,-0.6679921633159545,-0.24156953785550783
181,-0.9386219137842282,-1.5591310793914026,-0.6205091656071708
182,0.2074967630668887,0.8628517724993721,0.6553550094324869
183,0.39235761489740995,-0.654923119242806,-1.0472807341402124
184,-2.7376460792712045,-2.3700883051774717,0.36755777409372925
185,2.1931459023855915,1.4441998113395051,-0.7489460910460899
186,1.6710235962532032,1.3692149263820745,-0.3018086698711322
187,3.065448959497754,2.434112982605729,-0.6313359768920286
188,2.4463162369572835,2.343499020393832,-0.102817216563448
189,2.6677338622632227,2.78786456710964,0.12013070484642085
190,-0.41298619424423677,-1.6469315561898092,-1.233945361945569
191,-3.1343174718000917,-3.0047101817247714,0.12960729007531668
192,-1.4019566625087059,-1.24106391890221,0.16089274360649952
193,-1.3842095141416273,-2.016892031702394,-0.6326825175607631
194,2.5446909895209693,2.061022347158893,-0.48366864236207263
195,-1.3047351008977266,-2.5764737211322633,-1.2717386202345402
196,-1.5549393365017998,-2.0496768835857004,-0.49473754708389706
197,2.9650704665080703,0.7856768026857601,-2.1793936638223066
198,-1.4334020860015606,-2.3313543971559163,-0.8979523111543521
199,-1.0663055708144746,-1.3682935268509588,-0.30198795603648065
200,-0.6617866812907174,-1.580560403430649,-0.9187737221399281
201,2.2345195793285306,1.1049307137488604,-1.1295888655796738
202,0.7836705166154054,-0.08232288127905107,-0.865993397894453
203,3.0540814049386746,2.8201238042076717,-0.23395760073099936
204,1.0945090105740967,0.6620365087472386,-0.4324725018268616
205,-3.042953778601447,-3.058490918002132,-0.01553713940068846
