sample_index,a_z_m_per_s2
500,0.0005936896427279166
501,0.0001767338025390272
502,0.000012053962243256471
503,-0.00033627287815938514
504,0.00010463528133111254
505,-0.000045215559285240224
506,0.00044804159999156656
507,0.00033287375916154333
508,0.00020413891822469992
509,0.00029874807718104687
510,0.00042195423603059426
511,-0.00009591460522664799
512,0.00023242255340933065
513,0.00032698671193854016
514,0.0004382448703609908
515,-0.00008659197132330712
516,0.0001209891868856562
517,0.0001283863449878913
518,-0.00007010549701659194
519,0.00009878266087221682
520,0.00012381281865432787
521,0.00019715997632975123
522,0.00046783313389849686
523,0.00008712329136057557
524,0.00018454644871599682
525,-0.00003135539403522876
526,0.0003260377631069089
527,-0.00027781407985758006
528,-0.0003949689229286856
529,-0.00031427376610639735
530,0.00023967339060929473
531,-0.0001868414527815991
532,-0.00018683629627906867
533,-0.00009835813988310396
534,0.00015202501640630543
535,0.00003108417258916932
536,-0.0004938084713345018
537,-0.0001625015153646977
538,-0.00016628135950140852
539,0.00025311979625537587
540,-0.0002858100480943341
541,0.00021204810744947168
542,-0.00016563573711319673
543,-0.00004232858178232902
544,-0.0003889574265579152
545,-0.00015641827143994498
546,0.00006689688357159164
547,0.00011956303847670516
548,-0.00025107380672459466
549,-0.00008436265203229766
550,0.00042391350255360674
551,-0.00043357634296687167
552,-0.0003406431885937227
553,-0.00013158803432693596
554,-0.0001473938801665016
555,-0.0004946708261124094
556,-0.000250965572164649
557,-0.00011983041832321051
558,0.00011460573541191652
559,0.00016143288904074194
560,-0.0003556209574367239
561,0.000194820195979529
562,-0.00016336565071048892
563,-0.0002914194975067679
564,-0.0008004783444092976
565,-0.00014234619141806787
566,0.000055229961466931525
567,-0.0002623438857542896
568,0.0003760342669182793
569,0.00010758341948464837
570,-0.00004596342805517268
571,0.00008551672429882664
572,-0.00015442612345334362
573,0.0002249090286883266
574,-0.00005804781927615222
575,-0.0000437266673467703
576,0.0005058434844764828
577,0.0001774376361936168
578,-0.00008989621219535781
579,-0.000043706060690431
580,0.00013356909070840741
581,-0.0001379537579988326
582,0.00027760639318785934
583,0.00013058054426849338
584,0.0003454086952430794
585,0.00021991284611162765
586,-0.00009502600312585164
587,0.0004963191475306516
588,-0.000048986701918852463
589,0.000392044448525646
590,0.00012441859886415765
591,0.0002207137490966921
592,0.00052162589922326
593,-0.00014600995075612883
594,0.00019310319915853572
595,0.0002949703489672639
596,-0.00006849850132993412
597,0.00007064264826695161
598,0.00017439679775793128
599,0.0002453889471430151
600,-0.00023983990357778697
601,-0.000014537754404464476
602,0.00022471239466299224
603,0.00038317154362459366
604,0.00034652769248034977
605,-0.00005969715876972918
606,0.0003936729898743667
607,-0.00033091286158735213
608,-0.0007399967131548758
609,-0.00009111056482819424
610,0.00011231658339270285
611,-0.0006913952684921745
612,-0.00018921612048281602
613,-0.00034754197257921187
614,-0.00014982082478135178
615,0.00006218232291077454
616,-0.00047659052950282314
617,-0.0004765853820221345
618,-0.00012865123464714945
619,-0.0004869712873778579
620,-0.0006659445402142495
621,-0.0004920528931563146
622,-0.000024568646204042952
623,-0.0005138398993574241
624,-0.00006684635261644826
625,-0.000286287205981105
626,-0.00020004305945138458
627,-0.00005138791302727668
628,0.00003128423329122859
629,0.000027113379504141812
630,-0.00006471647438852741
631,0.00023670967161323116
632,0.00016229981750942785
633,-0.00009874803669992745
634,0.00021155510898517547
635,0.00010241825456474673
636,-0.000047164599961203695
637,-0.00017782045459266568
638,0.000198064690670371
639,0.00017327983582791646
640,8.554980879980673e-6
641,0.0000722761258265738
642,0.0003168862706677061
643,-0.00017160358459661264
644,-0.00003920643996637222
645,-4.149295441562332e-6
646,-0.00014840615102217308
647,0.0002679799932918057
648,-0.00022581386249961595
649,0.00023227928160357222
650,0.00025536642560138024
651,0.0003256095694938179
652,0.00016417871328089579
653,-6.9671430373762985e-6
654,-0.0000614549994609881
655,0.0005534841440100702
656,0.000051505287375809
657,-0.000015756569363761775
658,0.000515120573791368
659,0.0003156447168412087
660,0.00039039985978576986
661,-0.000161013997374938
662,0.0003814871453590951
663,0.0005269152879878791
664,0.0003904204305114242
665,-0.00014069242707025946
666,0.0001682257152428383
667,0.00031738385745072736
