project_code,legacy_id,obs_id,sci_prod_locator,pi,coIs,instrument_name,vla_configuration,obs_band,obs_start,obs_stop,proj_start,proj_stop,num_antennas,num_scans,dataproduct_type,data_rights,access_estsize,obs_release_date,cal_status,eb_id,distance_from_query,mjd_start,mjd_stop
AB922,AB922,AB922_1_51396.05214_51396.15561.exp,uid://VLA/execblock/2a7aef5f-232c-4be4-b09e-e29daa1685fe,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-06T01:15:04.662Z,1999-08-06T03:44:04.669Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,55,visibility,PUBLIC,59025408,2001-02-13T17:34:41.329Z,Do Not Calibrate,206466,1.060124e-05,51396.052137,51396.15561
AB922,AB922,AB922_1_51398.19242_51398.25399.exp,uid://VLA/execblock/b550ff18-80a4-4475-af69-d6cb32835678,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-08T04:37:04.664Z,1999-08-08T06:05:44.666Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,39,visibility,PUBLIC,34398208,2001-02-13T17:34:41.329Z,Do Not Calibrate,212449,1.060124e-05,51398.192415,51398.253989
AB922,AB922,AB922_1_51399.17054_51399.20966.exp,uid://VLA/execblock/937d5686-ebf7-4adf-97aa-a0c496b2cea1,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-09T04:05:34.664Z,1999-08-09T05:01:54.667Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,28,visibility,PUBLIC,19120128,2001-02-13T17:34:41.329Z,Do Not Calibrate,205472,1.060124e-05,51399.17054,51399.20966
AB922,AB922,AB922_1_51402.13721_51402.20156.exp,uid://VLA/execblock/b5139ad9-1cd4-4b50-b48a-7dcce236a0f6,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-12T03:17:34.667Z,1999-08-12T04:50:14.663Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,39,visibility,PUBLIC,35356672,2001-02-13T17:34:41.329Z,Do Not Calibrate,210173,1.060124e-05,51402.137207,51402.201559
AB922,AB922,AB922_1_51403.20156_51403.24025.exp,uid://VLA/execblock/5b7e174a-cf49-47e2-8c3f-1ac20e1de22a,I. Browne,,VLA,A,"[""X""]",1999-08-13T04:50:14.663Z,1999-08-13T05:45:57.997Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,19,visibility,PUBLIC,19660800,2001-02-13T17:34:41.329Z,Do Not Calibrate,205713,1.060124e-05,51403.201559,51403.240255
AB922,AB922,AB922_1_51405.17274_51405.27644.exp,uid://VLA/execblock/ec0b1379-e831-4464-9ed5-b0b19557630d,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-15T04:08:44.666Z,1999-08-15T06:38:04.666Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,63,visibility,PUBLIC,56868864,2001-02-13T17:34:41.329Z,Do Not Calibrate,205296,1.060124e-05,51405.172739,51405.276443
AB922,AB922,AB922_1_51407.99901_51408.06047.exp,uid://VLA/execblock/0e4e9fb1-30ca-40d0-9f05-fc99e4d146ca,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-17T23:58:34.662Z,1999-08-18T01:27:04.668Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,37,visibility,PUBLIC,33732608,2001-02-13T17:34:41.329Z,Do Not Calibrate,204000,1.060124e-05,51407.999012,51408.060471
AB922,AB922,AB922_1_51408.22864_51408.28914.exp,uid://VLA/execblock/b828beab-669a-4087-ac70-a82086788bbf,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-18T05:29:14.668Z,1999-08-18T06:56:21.333Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,33,visibility,PUBLIC,35010560,2001-02-13T17:34:41.329Z,Do Not Calibrate,205732,1.060124e-05,51408.228642,51408.289136
AB922,AB922,AB922_1_51412.02922_51412.13269.exp,uid://VLA/execblock/ac64c443-c6f4-4736-b68f-6c3a0c42db0e,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-22T00:42:04.668Z,1999-08-22T03:11:04.666Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,57,visibility,PUBLIC,54951936,2001-02-13T17:34:41.329Z,Do Not Calibrate,207916,1.060124e-05,51412.029221,51412.132693
AB922,AB922,AB922_1_51414.19137_51414.27262.exp,uid://VLA/execblock/339baaab-c1a4-4715-b8f0-f846e31f5cc5,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-24T04:35:34.670Z,1999-08-24T06:32:34.670Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,50,visibility,PUBLIC,42598400,2001-02-13T17:34:41.329Z,Do Not Calibrate,209162,1.060124e-05,51414.191373,51414.272623
AB922,AB922,AB922_1_51416.93235_51417.01514.exp,uid://VLA/execblock/b6cf80f7-7c3e-46e3-a0ac-8ae6504e8ce6,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-26T22:22:34.668Z,1999-08-27T00:21:48Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,45,visibility,PUBLIC,46006272,2001-02-13T17:34:41.329Z,Do Not Calibrate,205823,1.060124e-05,51416.932346,51417.015139
AB922,AB922,AB922_1_51419.15700_51419.23829.exp,uid://VLA/execblock/7b52081a-139c-4c71-a84b-e915695e9320,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-29T03:46:04.670Z,1999-08-29T05:43:07.996Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,47,visibility,PUBLIC,43769856,2001-02-13T17:34:41.329Z,Do Not Calibrate,202582,1.060124e-05,51419.156998,51419.238287
AB922,AB922,AB922_1_51421.14982_51421.21198.exp,uid://VLA/execblock/dde3822b-f1e1-4112-9450-824a6e6097f6,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-31T03:35:44.664Z,1999-08-31T05:05:14.665Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,37,visibility,PUBLIC,35649536,2001-02-13T17:34:41.329Z,Do Not Calibrate,206937,1.060124e-05,51421.149822,51421.211975
AB922,AB922,AB922_1_51421.87934_51421.93921.exp,uid://VLA/execblock/2be23dee-15e5-430c-978c-d830b1afc76e,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-31T21:06:14.664Z,1999-08-31T22:32:28.003Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,36,visibility,PUBLIC,31975424,2001-02-13T17:34:41.329Z,Do Not Calibrate,204869,1.060124e-05,51421.879336,51421.939213
AB922,AB922,AB922_1_51423.95156_51424.05843.exp,uid://VLA/execblock/151e72de-d391-42f2-9b48-71bf49c5eb1a,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-09-02T22:50:14.663Z,1999-09-03T01:24:07.997Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,57,visibility,PUBLIC,60516352,2001-02-13T17:34:41.329Z,Do Not Calibrate,202461,1.060124e-05,51423.951559,51424.058426
AB922,AB922,AB922_1_51427.09809_51427.17486.exp,uid://VLA/execblock/538bf033-ba05-4448-8933-25012d93bb33,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-09-06T02:21:14.664Z,1999-09-06T04:11:47.999Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,50,visibility,PUBLIC,41826304,2001-02-13T17:34:41.329Z,Do Not Calibrate,204072,1.060124e-05,51427.098086,51427.174861
AB922,AB922,AB922_1_51431.12482_51431.20553.exp,uid://VLA/execblock/2ead3843-ad0c-4412-b445-7ecaf60f6723,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-09-10T02:59:44.664Z,1999-09-10T04:55:57.999Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,47,visibility,PUBLIC,46006272,2001-02-13T17:34:41.329Z,Do Not Calibrate,213432,1.060124e-05,51431.124822,51431.205532
AB922,AB922,AB922_1_51432.89323_51432.99222.exp,uid://VLA/execblock/38bebfe4-95c7-4258-afa4-bf2739a51a4c,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-09-11T21:26:14.665Z,1999-09-11T23:48:47.998Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,56,visibility,PUBLIC,51064832,2001-02-13T17:34:41.329Z,Do Not Calibrate,203269,1.060124e-05,51432.893225,51432.992222
AB922,AB922,AB922_1_51437.93952_51437.99940.exp,uid://VLA/execblock/510f4bab-eec1-4438-9225-53383f348c64,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-09-16T22:32:54.666Z,1999-09-16T23:59:07.995Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,39,visibility,PUBLIC,32161792,2001-02-13T17:34:41.329Z,Do Not Calibrate,207430,1.060124e-05,51437.939522,51437.999398
AB922,AB922,AB922_1_51440.82853_51440.88736.exp,uid://VLA/execblock/b7815bde-7298-418c-84e2-10a302a5a643,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-09-19T19:53:04.663Z,1999-09-19T21:17:47.999Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,39,visibility,PUBLIC,30111744,2001-02-13T17:34:41.329Z,Do Not Calibrate,203759,1.060124e-05,51440.828526,51440.887361
AB922,AB922,AB922_1_51442.88096_51442.96491.exp,uid://VLA/execblock/88807102-78c6-40d6-9ad1-0ebcedcd4107,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-09-21T21:08:34.667Z,1999-09-21T23:09:27.999Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,47,visibility,PUBLIC,45660160,2001-02-13T17:34:41.329Z,Do Not Calibrate,208737,1.060124e-05,51442.880957,51442.964907
AB922,AB922,AB922_1_51445.87552_51445.97748.exp,uid://VLA/execblock/9d43814e-e7dc-4012-8a39-16512bed12a9,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-09-24T21:00:44.668Z,1999-09-24T23:27:34.669Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,56,visibility,PUBLIC,52981760,2001-02-13T17:34:41.329Z,Do Not Calibrate,203793,1.060124e-05,51445.875517,51445.977485
AB922,AB922,AB922_1_51449.80480_51449.86267.exp,uid://VLA/execblock/d2cab0c9-e71f-42e2-aa1e-09469794acf2,I. Browne,,VLA,A->BnA,"[""X"",""C"",""L""]",1999-09-28T19:18:54.668Z,1999-09-28T20:42:14.670Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,39,visibility,PUBLIC,30085120,2001-02-13T17:34:41.329Z,Do Not Calibrate,212579,1.060124e-05,51449.804799,51449.86267
