mjd_minus_50000,component,S_mJy,e_S_mJy,nrao_project_code,nrao_obs_id,nrao_vla_configuration,nrao_num_scans,nrao_access_estsize_bytes,nrao_matched
497,B,17.080,0.156,AF310,AF310_1_50497.63791_50497.67778.exp,B,17,15362048,1
497,C,16.961,0.155,AF310,AF310_1_50497.63791_50497.67778.exp,B,17,15362048,1
497,D,5.725,0.060,AF310,AF310_1_50497.63791_50497.67778.exp,B,17,15362048,1
502,A,34.051,0.307,AF310,AF310_1_50502.62425_50502.66412.exp,B,17,15362048,1
502,B,16.427,0.150,AF310,AF310_1_50502.62425_50502.66412.exp,B,17,15362048,1
502,C,17.323,0.158,AF310,AF310_1_50502.62425_50502.66412.exp,B,17,15362048,1
502,D,5.879,0.060,AF310,AF310_1_50502.62425_50502.66412.exp,B,17,15362048,1
507,A,34.040,0.308,AF310,AF310_1_50507.61047_50507.65058.exp,B,17,15468544,1
507,B,16.761,0.156,AF310,AF310_1_50507.61047_50507.65058.exp,B,17,15468544,1
507,C,17.495,0.162,AF310,AF310_1_50507.61047_50507.65058.exp,B,17,15468544,1
507,D,5.808,0.067,AF310,AF310_1_50507.61047_50507.65058.exp,B,17,15468544,1
510,A,33.924,0.307,AF310,AF310_1_50510.60226_50510.64236.exp,B,17,15468544,1
510,B,16.779,0.154,AF310,AF310_1_50510.60226_50510.64236.exp,B,17,15468544,1
510,C,17.754,0.163,AF310,AF310_1_50510.60226_50510.64236.exp,B,17,15468544,1
510,D,5.779,0.061,AF310,AF310_1_50510.60226_50510.64236.exp,B,17,15468544,1
515,A,32.624,0.292,AF310,AF310_1_50515.50145_50515.54560.exp,B,17,16666624,1
515,B,17.156,0.156,AF310,AF310_1_50515.50145_50515.54560.exp,B,17,16666624,1
515,C,17.050,0.155,AF310,AF310_1_50515.50145_50515.54560.exp,B,17,16666624,1
515,D,5.804,0.060,AF310,AF310_1_50515.50145_50515.54560.exp,B,17,16666624,1
521,A,33.901,0.307,AF310,AF310_1_50521.58108_50521.63316.exp,B,21,20393984,1
521,B,16.774,0.154,AF310,AF310_1_50521.58108_50521.63316.exp,B,21,20393984,1
521,C,17.356,0.159,AF310,AF310_1_50521.58108_50521.63316.exp,B,21,20393984,1
521,D,5.743,0.060,AF310,AF310_1_50521.58108_50521.63316.exp,B,21,20393984,1
523,A,34.102,0.310,AF310,AF310_1_50523.56823_50523.59647.exp,B,13,10596352,1
523,B,16.648,0.157,AF310,AF310_1_50523.56823_50523.59647.exp,B,13,10596352,1
523,C,17.337,0.162,AF310,AF310_1_50523.56823_50523.59647.exp,B,13,10596352,1
523,D,5.792,0.069,AF310,AF310_1_50523.56823_50523.59647.exp,B,13,10596352,1
528,A,34.548,0.314,AF310,AF310_1_50528.55330_50528.59317.exp,B,17,15521792,1
528,B,16.691,0.155,AF310,AF310_1_50528.55330_50528.59317.exp,B,17,15521792,1
528,C,17.386,0.161,AF310,AF310_1_50528.55330_50528.59317.exp,B,17,15521792,1
528,D,5.582,0.061,AF310,AF310_1_50528.55330_50528.59317.exp,B,17,15521792,1
532,A,34.210,0.295,AF310,AF310_1_50532.68617_50532.72766.exp,B,17,15734784,1
532,B,16.394,0.145,AF310,AF310_1_50532.68617_50532.72766.exp,B,17,15734784,1
532,C,17.069,0.150,AF310,AF310_1_50532.68617_50532.72766.exp,B,17,15734784,1
532,D,5.777,0.061,AF310,AF310_1_50532.68617_50532.72766.exp,B,17,15734784,1
537,A,33.749,0.307,AF310,AF310_1_50537.56898_50537.63090.exp,B,27,24174592,1
537,B,16.636,0.153,AF310,AF310_1_50537.56898_50537.63090.exp,B,27,24174592,1
537,C,17.181,0.158,AF310,AF310_1_50537.56898_50537.63090.exp,B,27,24174592,1
