rat_id,n_qualifying_trials,n_trials_low,n_trials_mid,n_trials_high,has_ge200_in_all_terciles,H_allgamma,H_lowgamma,H_midgamma,H_highgamma,H_ctrl_choice_shuffle_s0_allgamma,H_ctrl_trial_mismatch_allgamma
K283,49637,17021,12393,20223,True,2.382555,5.180619,1.666005,1.186238,,
K284,35096,10039,8730,16327,True,2.464859,5.219284,1.790553,1.343978,,
K285,15256,6459,3741,5056,True,2.805747,4.335168,1.709375,1.216189,,
K286,18526,7884,4731,5911,True,2.797383,5.970560,1.680298,1.456304,,
K288,13952,6718,3465,3769,True,2.579424,4.617044,1.437981,1.294249,,
K289,30565,14506,7622,8437,True,2.938225,5.253270,1.582797,1.241783,,
K290,33872,16949,8496,8427,True,2.769249,4.214644,1.523279,0.994257,,
K291,21281,10525,5302,5454,True,3.124173,5.172462,1.680355,0.964857,,
K292,28162,14177,6955,7030,True,3.035811,5.983825,1.374484,0.997357,,
K293,34581,17094,8709,8778,True,2.843997,4.897280,1.455201,1.340538,,
K295,28235,14221,6945,7069,True,2.912353,5.042263,1.319813,1.193221,,
K296,13566,5484,3347,4735,True,2.705752,4.642893,1.410947,1.385995,,
K298,30663,15082,7636,7945,True,3.523855,4.850608,1.495931,1.372517,,
K299,5823,2733,1463,1627,True,3.072371,3.190620,1.548650,1.248968,,1.344880
K301,15014,7609,3730,3675,True,3.153580,4.960193,1.520138,1.174518,,
K304,14783,7358,3656,3769,True,2.855545,5.830762,1.344450,1.016589,,
K305,28413,14424,6948,7041,True,2.781704,4.447171,1.438672,1.138530,,
K310,8296,4076,1986,2234,True,2.614338,3.815003,1.561657,1.228609,,
K311,26305,12726,6526,7053,True,2.774342,4.399620,1.674320,1.467418,,
K313,5188,2496,1253,1439,True,2.558605,5.229051,1.405303,1.297791,,
K314,34866,18074,8386,8406,True,2.900624,5.355172,1.474396,1.165778,,
K316,28760,9385,7189,12186,True,2.495563,4.200350,1.508851,1.227043,,
K317,25850,11642,6362,7846,True,3.388007,6.522108,2.114245,1.221958,,
K319,35195,10163,8863,16169,True,2.537057,5.052603,1.868144,1.281012,,0.276558
K322,37431,10895,9442,17094,True,2.452110,5.188575,1.744460,1.306385,,8.051541
K324,12381,5701,3104,3576,True,3.509681,9.650261,1.429867,1.415328,,5.879266
K325,2014,766,505,743,True,1.325715,1.621239,0.962636,0.733760,,
K326,17749,8624,4430,4695,True,3.166529,6.048827,1.494227,1.520564,,1.572212
K328,20593,9991,5186,5416,True,2.886854,5.253400,1.614826,1.285175,,
K330,16846,6983,4186,5677,True,2.851211,6.202513,1.797622,1.172002,,
K331,2317,1081,578,658,True,3.498143,4.893939,2.522480,1.033551,,
K332,5454,2423,1390,1641,True,3.531642,5.577253,1.468707,0.962942,,0.845532
K335,1804,800,443,561,True,2.503119,7.626732,1.069622,1.485693,,
K336,11973,5902,2858,3213,True,2.379548,3.844226,1.116581,1.333899,,
K338,8366,3077,2079,3210,True,2.253010,5.040488,1.591048,1.226236,,
K339,1507,740,388,379,True,4.184182,10.293718,4.854953,0.731100,,
K341,1982,866,474,642,True,2.551711,4.155789,0.933705,0.769644,,
K351,1042,362,250,430,True,0.760785,,0.842224,0.997058,,
K353,1217,580,275,362,True,3.566012,5.675514,1.375719,0.452891,,
