survey,dataset,SNID,join_key,JLA_x1,JLA_c,JLA_logMst,JLA_tmax,PplusCID,Pplus_x1,Pplus_c,Pplus_HOST_LOGMASS,Pplus_PKMJD
PS1MD,PS1MD_Jones18,PSc110464,110464,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc110476,110476,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc110478,110478,,,,,110478,0.92592,-0.04266,9.468,55555.2
PS1MD,PS1MD_Jones18,PSc110484,110484,,,,,110484,-0.357928,0.061935,8.86,55544.5
PS1MD,PS1MD_Jones18,PSc110536,110536,,,,,110536,0.55137,0.17614,10.577,55555.9
PS1MD,PS1MD_Jones18,PSc110542,110542,,,,,110542,0.56071,-0.040908,10.595,55550.3
PS1MD,PS1MD_Jones18,PSc110567,110567,,,,,110567,-1.01331,0.14984,11.403,55550.5
PS1MD,PS1MD_Jones18,PSc110647,110647,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc110716,110716,,,,,110716,-1.49092,0.00051,7.0,55565.8
PS1MD,PS1MD_Jones18,PSc110719,110719,,,,,110719,0.54092,-0.045089,11.348,55566.7
PS1MD,PS1MD_Jones18,PSc110721,110721,,,,,110721,0.48285,-0.022903,11.5,55561.7
PS1MD,PS1MD_Jones18,PSc110725,110725,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc110726,110726,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc110734,110734,,,,,110734,0.4872,-0.065938,11.404,55570.7
PS1MD,PS1MD_Jones18,PSc120039,120039,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120044,120044,,,,,120044,0.78104,-0.146093,8.7828,55570.4
PS1MD,PS1MD_Jones18,PSc120085,120085,,,,,120085,-2.28164,0.042623,10.9,55571.2
PS1MD,PS1MD_Jones18,PSc120086,120086,,,,,120086,0.28158,0.10879,11.029,55562.3
PS1MD,PS1MD_Jones18,PSc120094,120094,,,,,120094,1.0436,-0.168766,11.5,55570.8
PS1MD,PS1MD_Jones18,PSc120111,120111,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120143,120143,,,,,120143,-0.260387,-0.073187,9.163,55567.8
PS1MD,PS1MD_Jones18,PSc120223,120223,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120313,120313,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120336,120336,,,,,120336,-0.240589,0.046132,9.757,55585.2
PS1MD,PS1MD_Jones18,PSc120369,120369,,,,,120369,-0.223776,-0.127324,10.563,55584.3
PS1MD,PS1MD_Jones18,PSc120400,120400,,,,,120400,0.18728,-0.121334,9.83,55580.6
PS1MD,PS1MD_Jones18,PSc120444,120444,,,,,120444,0.2774,-0.185897,9.389,55576.6
PS1MD,PS1MD_Jones18,PSc120458,120458,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120543,120543,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120553,120553,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120554,120554,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120567,120567,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120585,120585,,,,,120585,0.22308,-0.155379,9.363,55583.6
PS1MD,PS1MD_Jones18,PSc120586,120586,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120635,120635,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120637,120637,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120655,120655,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120677,120677,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120700,120700,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120706,120706,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120713,120713,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120715,120715,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc120762,120762,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130037,130037,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130145,130145,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130283,130283,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130308,130308,,,,,130308,-1.01914,0.091493,10.1141,55595.5
PS1MD,PS1MD_Jones18,PSc130373,130373,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130391,130391,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130490,130490,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130514,130514,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130527,130527,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130601,130601,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130610,130610,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130621,130621,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130650,130650,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130651,130651,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130667,130667,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130684,130684,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130733,130733,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130755,130755,,,,,130755,-0.039606,-0.103213,8.952,55595.8
PS1MD,PS1MD_Jones18,PSc130798,130798,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130862,130862,,,,,130862,0.67028,-0.091964,9.5892,55607.2
PS1MD,PS1MD_Jones18,PSc130880,130880,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc130997,130997,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc131031,131031,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc131033,131033,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc131084,131084,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc131086,131086,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc131091,131091,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc140092,140092,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc140107,140107,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc140112,140112,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc140122,140122,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc140124,140124,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc140152,140152,,,,,140152,1.42408,-0.097862,9.694,55639.3
PS1MD,PS1MD_Jones18,PSc140164,140164,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc140177,140177,,,,,,,,,
