run,period,condition,observable,h,in_i4_grid,n_games,N_anchored,alphabet_K,I_plugin_nats,I_MM_nats,I_MM_clamped_june29_nats,H_R_cond_MM_nats,T_vs_targetperm_nats,T_boot_sd_nats,T_ratio_h_over_h_plus_8,I_MM_own_targetperm_floor_nats,T_vs_own_floor_nats,T_own_ratio_h_over_h_plus_8
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,56,0,30000,724325,1792,1.037630,0.757570,0.757570,6.056160,0.305328,,0.975149,0.622304,0.135267,1.016408
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,60,0,30000,724325,1792,1.038646,0.758632,0.758632,6.055938,0.309893,,0.981223,0.623770,0.134862,1.028022
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,64,1,30000,724325,1792,1.038010,0.758037,0.758037,6.056263,0.313109,,0.974680,0.624954,0.133083,0.985918
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,68,0,30000,724325,1792,1.036528,0.756322,0.756322,6.057733,0.315823,,0.962907,0.625137,0.131185,0.968865
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,72,0,30000,724325,1792,1.037592,0.757670,0.757670,6.056119,0.321243,,0.971333,0.622686,0.134984,1.010619
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,76,0,30000,724325,1792,1.038086,0.758246,0.758246,6.055523,0.327989,,0.967593,0.622845,0.135401,1.008280
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,80,1,30000,724325,1792,1.037314,0.757292,0.757292,6.056943,0.330724,,0.964857,0.623726,0.133565,1.005072
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,84,0,30000,724325,1792,1.038642,0.758887,0.758887,6.054650,0.338974,,0.975617,0.624598,0.134289,0.984929
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,88,0,30000,724325,1792,1.037428,0.757230,0.757230,6.056989,0.342770,,0.981055,0.624339,0.132891,0.979353
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,92,0,30000,724325,1792,1.038760,0.759114,0.759114,6.054084,0.347446,,,0.622770,0.136344,
matched,2016-01,PARITY_PRESERVING_WITHIN_GAME_SCRAMBLE,fromto,96,1,30000,724325,1792,1.038961,0.759147,0.759147,6.054434,0.349389,,,0.623454,0.135693,
matched,2016-01,REAL,san_canon,8,1,30000,724325,774,0.441302,0.366216,0.366216,4.981511,0.274521,0.003176,1.584985,0.091585,0.274631,1.583128
matched,2016-01,REAL,san_canon,12,1,30000,724325,774,0.386640,0.307069,0.307069,5.200866,0.210858,0.003466,1.441283,0.096377,0.210692,1.448504
matched,2016-01,REAL,san_canon,16,1,30000,724325,774,0.355327,0.272729,0.272729,5.373131,0.173201,0.002965,1.395671,0.099255,0.173474,1.387644
matched,2016-01,REAL,san_canon,20,0,30000,724325,774,0.333447,0.248546,0.248546,5.506406,0.146299,0.003018,1.366827,0.103091,0.145455,1.343909
matched,2016-01,REAL,san_canon,24,1,30000,724325,774,0.316699,0.230041,0.230041,5.606619,0.124099,0.002697,1.313648,0.105028,0.125013,1.340873
matched,2016-01,REAL,san_canon,28,0,30000,724325,774,0.303771,0.215891,0.215891,5.680774,0.107035,0.002790,1.279904,0.107658,0.108233,1.309087
matched,2016-01,REAL,san_canon,32,1,30000,724325,774,0.293170,0.204397,0.204397,5.734410,0.094469,0.002568,1.259524,0.111164,0.093233,1.237747
matched,2016-01,REAL,san_canon,36,0,30000,724325,774,0.284203,0.195119,0.195119,5.771194,0.083628,0.002640,1.243333,0.112441,0.082678,1.244476
matched,2016-01,REAL,san_canon,40,1,30000,724325,774,0.277119,0.187799,0.187799,5.796208,0.075003,0.002516,1.280163,0.112475,0.075324,1.305306
matched,2016-01,REAL,san_canon,44,0,30000,724325,774,0.269376,0.179983,0.179983,5.811734,0.067261,0.002590,1.310712,0.113547,0.066436,1.254947
matched,2016-01,REAL,san_canon,48,1,30000,724325,774,0.261104,0.171904,0.171904,5.818145,0.058589,0.002207,1.295218,0.114197,0.057706,1.269076
matched,2016-01,REAL,san_canon,52,0,30000,724325,774,0.255018,0.165955,0.165955,5.816966,0.051316,0.002443,1.292852,0.113016,0.052939,1.309063
matched,2016-01,REAL,san_canon,56,0,30000,724325,774,0.248038,0.159219,0.159219,5.811369,0.045235,0.002216,1.346845,0.113748,0.045471,1.315665
matched,2016-01,REAL,san_canon,60,0,30000,724325,774,0.241117,0.152832,0.152832,5.801883,0.039692,0.002354,1.262568,0.112392,0.040441,1.299044
