2453166.650   3.74  3.142 0.009   3.615 0.012  4.038 0.032  5.063 0.076 MDM     Templeton
2453167.665   8.23  3.136 0.006   3.621 0.006  4.178 0.021  5.165 0.034 MDM     Templeton
2453168.663  17.04  3.152 0.006   3.636 0.007  4.131 0.032  5.159 0.058 MDM     Templeton
2453169.662   6.01  3.171 0.006   3.635 0.007  4.114 0.022  5.151 0.041 MDM     Templeton
2453169.674   1.08  3.164 0.015   3.642 0.021  3.984 0.030  5.204 0.086 FLWO    4Shooter
2453170.259   0.28  3.106 0.047   3.593 0.073  3.996 0.105  5.035 0.255 Wise    Tektronix
2453170.667   0.71  3.169 0.011   3.630 0.016  4.029 0.022  5.196 0.060 MDM     Templeton
2453170.673   0.60  3.174 0.025   3.687 0.039  4.079 0.056  5.574 0.204 FLWO    4Shooter
2453171.271   0.33  3.126 0.048   3.562 0.072  4.061 0.112  5.770 0.459 Wise    Tektronix
2453171.661   1.78  3.185 0.007   3.634 0.009  4.067 0.015  5.102 0.034 MDM     Templeton
2453171.666   1.22  3.119 0.019   3.635 0.030  4.031 0.046  5.342 0.146 FLWO    4Shooter
2453172.664   1.68  3.190 0.007   3.634 0.008  4.100 0.013  5.149 0.027 MDM     Templeton
2453172.668   0.73  3.151 0.016   3.589 0.022  3.987 0.032  5.232 0.094 FLWO    4Shooter
2453173.658   0.68  3.164 0.017   3.650 0.025  4.018 0.035  5.100 0.090 FLWO    4Shooter
2453173.659   4.56  3.210 0.007   3.654 0.008  4.129 0.020  5.203 0.040 MDM     Templeton
2453174.664   0.71  3.173 0.016   3.591 0.023  4.090 0.035  5.163 0.090 FLWO    4Shooter
2453176.666   1.00  3.172 0.016   3.596 0.022  4.041 0.033  5.220 0.093 FLWO    4Shooter
2453177.675   1.14  3.167 0.018   3.661 0.027  4.034 0.040  5.274 0.120 FLWO    4Shooter
2453178.675   0.63  3.197 0.027   3.652 0.040  3.971 0.054  4.980 0.132 FLWO    4Shooter
2453182.654   0.67  3.134 0.043   3.604 0.067  4.008 0.096  5.594 0.364 FLWO    4Shooter
2453183.653   0.66  3.186 0.040   3.578 0.057  3.918 0.078  5.197 0.236 FLWO    4Shooter
2453184.653   0.64  3.237 0.036   3.651 0.052  4.053 0.076  4.810 0.147 FLWO    4Shooter
2453185.652   0.60  3.178 0.034   3.619 0.050  3.977 0.070  5.066 0.179 FLWO    4Shooter
2453186.651   0.57  3.198 0.039   3.529 0.052  3.974 0.079  5.147 0.217 FLWO    4Shooter
2453187.651   0.56  3.217 0.039   3.582 0.054  3.861 0.070  5.060 0.199 FLWO    4Shooter
2453188.653   0.70  3.243 0.057   3.483 0.071  4.267 0.140  5.387 0.358 FLWO    4Shooter
2453189.656   0.66  3.262 0.042   3.666 0.061  4.003 0.084  5.387 0.273 FLWO    4Shooter
2453191.652   0.72  3.156 0.042   3.608 0.063  3.845 0.080  5.032 0.221 FLWO    4Shooter
2453192.660   0.81  3.262 0.020   3.613 0.027  3.981 0.038  5.170 0.107 FLWO    4Shooter
