image,mjd,jd_minus_2450000,mag,magerr,band,telescope,in_paper_fit
C,53132.24900,3132.749,20.092,0.029,SDSS r,FLWO 1.2m Keplercam,1
D,53132.24900,3132.749,20.913,0.066,SDSS r,FLWO 1.2m Keplercam,0
A,53135.21700,3135.717,18.942,0.007,SDSS r,FLWO 1.2m Keplercam,1
B,53135.21700,3135.717,19.432,0.009,SDSS r,FLWO 1.2m Keplercam,1
C,53135.21700,3135.717,19.971,0.031,SDSS r,FLWO 1.2m Keplercam,1
D,53135.21700,3135.717,20.772,0.062,SDSS r,FLWO 1.2m Keplercam,0
A,53136.15900,3136.659,19.003,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53136.15900,3136.659,19.513,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,53136.15900,3136.659,20.028,0.040,SDSS r,FLWO 1.2m Keplercam,1
D,53136.15900,3136.659,21.077,0.109,SDSS r,FLWO 1.2m Keplercam,0
A,53137.21900,3137.719,18.971,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53137.21900,3137.719,19.515,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,53137.21900,3137.719,20.022,0.036,SDSS r,FLWO 1.2m Keplercam,1
D,53137.21900,3137.719,20.939,0.089,SDSS r,FLWO 1.2m Keplercam,0
A,53140.14000,3140.640,19.010,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53140.14000,3140.640,19.524,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,53140.14000,3140.640,20.073,0.041,SDSS r,FLWO 1.2m Keplercam,1
D,53140.14000,3140.640,21.015,0.102,SDSS r,FLWO 1.2m Keplercam,0
A,53143.29000,3143.790,19.088,0.029,SDSS r,FLWO 1.2m Keplercam,1
B,53143.29000,3143.790,19.600,0.047,SDSS r,FLWO 1.2m Keplercam,1
C,53143.29000,3143.790,20.017,0.072,SDSS r,FLWO 1.2m Keplercam,1
D,53143.29000,3143.790,20.855,0.164,SDSS r,FLWO 1.2m Keplercam,0
A,53144.17700,3144.677,19.015,0.012,SDSS r,FLWO 1.2m Keplercam,1
B,53144.17700,3144.677,19.547,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,53144.17700,3144.677,20.043,0.039,SDSS r,FLWO 1.2m Keplercam,1
D,53144.17700,3144.677,20.984,0.097,SDSS r,FLWO 1.2m Keplercam,0
A,53145.21100,3145.711,19.013,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53145.21100,3145.711,19.551,0.023,SDSS r,FLWO 1.2m Keplercam,1
C,53145.21100,3145.711,19.945,0.042,SDSS r,FLWO 1.2m Keplercam,1
D,53145.21100,3145.711,21.027,0.119,SDSS r,FLWO 1.2m Keplercam,0
A,53146.24500,3146.745,19.019,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53146.24500,3146.745,19.524,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,53146.24500,3146.745,20.034,0.033,SDSS r,FLWO 1.2m Keplercam,1
D,53146.24500,3146.745,20.902,0.077,SDSS r,FLWO 1.2m Keplercam,0
A,53147.14800,3147.648,19.024,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53147.14800,3147.648,19.536,0.023,SDSS r,FLWO 1.2m Keplercam,1
C,53147.14800,3147.648,19.985,0.041,SDSS r,FLWO 1.2m Keplercam,1
D,53147.14800,3147.648,20.949,0.107,SDSS r,FLWO 1.2m Keplercam,0
A,53148.15300,3148.653,19.004,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53148.15300,3148.653,19.572,0.025,SDSS r,FLWO 1.2m Keplercam,1
C,53148.15300,3148.653,20.024,0.046,SDSS r,FLWO 1.2m Keplercam,1
D,53148.15300,3148.653,20.873,0.106,SDSS r,FLWO 1.2m Keplercam,0
A,53149.23300,3149.733,19.020,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53149.23300,3149.733,19.519,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,53149.23300,3149.733,19.955,0.035,SDSS r,FLWO 1.2m Keplercam,1
D,53149.23300,3149.733,21.068,0.104,SDSS r,FLWO 1.2m Keplercam,0
A,53153.16000,3153.660,18.986,0.061,SDSS r,FLWO 1.2m Keplercam,1
B,53153.16000,3153.660,19.519,0.061,SDSS r,FLWO 1.2m Keplercam,1
C,53153.16000,3153.660,19.992,0.072,SDSS r,FLWO 1.2m Keplercam,1
D,53153.16000,3153.660,20.891,0.074,SDSS r,FLWO 1.2m Keplercam,0
A,53153.19200,3153.692,19.046,0.019,SDSS r,FLWO 1.2m Keplercam,1
B,53153.19200,3153.692,19.549,0.030,SDSS r,FLWO 1.2m Keplercam,1
C,53153.19200,3153.692,19.980,0.047,SDSS r,FLWO 1.2m Keplercam,1
D,53153.19200,3153.692,20.897,0.116,SDSS r,FLWO 1.2m Keplercam,0
A,53154.17300,3154.673,19.051,0.023,SDSS r,FLWO 1.2m Keplercam,1
B,53154.17300,3154.673,19.583,0.037,SDSS r,FLWO 1.2m Keplercam,1
C,53154.17300,3154.673,19.938,0.054,SDSS r,FLWO 1.2m Keplercam,1
D,53154.17300,3154.673,20.770,0.123,SDSS r,FLWO 1.2m Keplercam,0
A,53155.17300,3155.673,19.032,0.024,SDSS r,FLWO 1.2m Keplercam,1
B,53155.17300,3155.673,19.501,0.037,SDSS r,FLWO 1.2m Keplercam,1
C,53155.17300,3155.673,19.918,0.057,SDSS r,FLWO 1.2m Keplercam,1
D,53155.17300,3155.673,21.029,0.164,SDSS r,FLWO 1.2m Keplercam,0
A,53156.14600,3156.646,19.039,0.020,SDSS r,FLWO 1.2m Keplercam,1
B,53156.14600,3156.646,19.513,0.031,SDSS r,FLWO 1.2m Keplercam,1
C,53156.14600,3156.646,19.950,0.049,SDSS r,FLWO 1.2m Keplercam,1
D,53156.14600,3156.646,20.958,0.130,SDSS r,FLWO 1.2m Keplercam,0
A,53157.17000,3157.670,19.026,0.021,SDSS r,FLWO 1.2m Keplercam,1
B,53157.17000,3157.670,19.576,0.034,SDSS r,FLWO 1.2m Keplercam,1
C,53157.17000,3157.670,19.954,0.051,SDSS r,FLWO 1.2m Keplercam,1
D,53157.17000,3157.670,20.872,0.126,SDSS r,FLWO 1.2m Keplercam,0
A,53158.16000,3158.660,19.031,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,53158.16000,3158.660,19.516,0.026,SDSS r,FLWO 1.2m Keplercam,1
C,53158.16000,3158.660,19.916,0.040,SDSS r,FLWO 1.2m Keplercam,1
D,53158.16000,3158.660,20.852,0.100,SDSS r,FLWO 1.2m Keplercam,0
A,53159.14300,3159.643,19.071,0.029,SDSS r,FLWO 1.2m Keplercam,1
B,53159.14300,3159.643,19.567,0.046,SDSS r,FLWO 1.2m Keplercam,1
C,53159.14300,3159.643,19.861,0.063,SDSS r,FLWO 1.2m Keplercam,1
D,53159.14300,3159.643,20.992,0.186,SDSS r,FLWO 1.2m Keplercam,0
A,53161.23600,3161.736,19.042,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,53161.23600,3161.736,19.546,0.024,SDSS r,FLWO 1.2m Keplercam,1
C,53161.23600,3161.736,19.900,0.056,SDSS r,FLWO 1.2m Keplercam,1
D,53161.23600,3161.736,20.928,0.148,SDSS r,FLWO 1.2m Keplercam,0
A,53162.15800,3162.658,19.076,0.008,SDSS r,FLWO 1.2m Keplercam,1
B,53162.15800,3162.658,19.541,0.010,SDSS r,FLWO 1.2m Keplercam,1
C,53162.15800,3162.658,19.921,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,53162.15800,3162.658,20.812,0.051,SDSS r,FLWO 1.2m Keplercam,0
A,53163.15000,3163.650,19.085,0.010,SDSS r,FLWO 1.2m Keplercam,1
B,53163.15000,3163.650,19.541,0.013,SDSS r,FLWO 1.2m Keplercam,1
C,53163.15000,3163.650,19.942,0.038,SDSS r,FLWO 1.2m Keplercam,1
D,53163.15000,3163.650,20.845,0.090,SDSS r,FLWO 1.2m Keplercam,0
A,53164.15100,3164.651,19.094,0.010,SDSS r,FLWO 1.2m Keplercam,1
B,53164.15100,3164.651,19.534,0.014,SDSS r,FLWO 1.2m Keplercam,1
C,53164.15100,3164.651,19.922,0.104,SDSS r,FLWO 1.2m Keplercam,1
D,53164.15100,3164.651,20.780,0.237,SDSS r,FLWO 1.2m Keplercam,0
A,53165.15600,3165.656,19.097,0.008,SDSS r,FLWO 1.2m Keplercam,1
B,53165.15600,3165.656,19.511,0.011,SDSS r,FLWO 1.2m Keplercam,1
