image,mjd,jd_minus_2450000,mag,magerr,band,telescope,in_paper_fit
C,53165.15600,3165.656,19.897,0.050,SDSS r,FLWO 1.2m Keplercam,1
D,53165.15600,3165.656,20.770,0.110,SDSS r,FLWO 1.2m Keplercam,0
A,53166.15000,3166.650,19.068,0.009,SDSS r,FLWO 1.2m Keplercam,1
B,53166.15000,3166.650,19.503,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,53166.15000,3166.650,19.873,0.032,SDSS r,FLWO 1.2m Keplercam,1
D,53166.15000,3166.650,20.789,0.076,SDSS r,FLWO 1.2m Keplercam,0
A,53167.16500,3167.665,19.062,0.006,SDSS r,FLWO 1.2m Keplercam,1
B,53167.16500,3167.665,19.509,0.006,SDSS r,FLWO 1.2m Keplercam,1
C,53167.16500,3167.665,20.013,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,53167.16500,3167.665,20.891,0.034,SDSS r,FLWO 1.2m Keplercam,0
A,53168.16300,3168.663,19.078,0.006,SDSS r,FLWO 1.2m Keplercam,1
B,53168.16300,3168.663,19.524,0.007,SDSS r,FLWO 1.2m Keplercam,1
C,53168.16300,3168.663,19.966,0.032,SDSS r,FLWO 1.2m Keplercam,1
D,53168.16300,3168.663,20.885,0.058,SDSS r,FLWO 1.2m Keplercam,0
A,53169.16200,3169.662,19.097,0.006,SDSS r,FLWO 1.2m Keplercam,1
B,53169.16200,3169.662,19.523,0.007,SDSS r,FLWO 1.2m Keplercam,1
C,53169.16200,3169.662,19.949,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,53169.16200,3169.662,20.877,0.041,SDSS r,FLWO 1.2m Keplercam,0
A,53169.17400,3169.674,19.090,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53169.17400,3169.674,19.530,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,53169.17400,3169.674,19.819,0.030,SDSS r,FLWO 1.2m Keplercam,1
D,53169.17400,3169.674,20.930,0.086,SDSS r,FLWO 1.2m Keplercam,0
A,53170.16700,3170.667,19.095,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53170.16700,3170.667,19.518,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53170.16700,3170.667,19.864,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,53170.16700,3170.667,20.922,0.060,SDSS r,FLWO 1.2m Keplercam,0
A,53170.17300,3170.673,19.100,0.025,SDSS r,FLWO 1.2m Keplercam,1
B,53170.17300,3170.673,19.575,0.039,SDSS r,FLWO 1.2m Keplercam,1
C,53170.17300,3170.673,19.914,0.056,SDSS r,FLWO 1.2m Keplercam,1
D,53170.17300,3170.673,21.300,0.204,SDSS r,FLWO 1.2m Keplercam,0
A,53171.16100,3171.661,19.111,0.007,SDSS r,FLWO 1.2m Keplercam,1
B,53171.16100,3171.661,19.522,0.009,SDSS r,FLWO 1.2m Keplercam,1
C,53171.16100,3171.661,19.902,0.015,SDSS r,FLWO 1.2m Keplercam,1
D,53171.16100,3171.661,20.828,0.034,SDSS r,FLWO 1.2m Keplercam,0
A,53171.16600,3171.666,19.045,0.019,SDSS r,FLWO 1.2m Keplercam,1
B,53171.16600,3171.666,19.523,0.030,SDSS r,FLWO 1.2m Keplercam,1
C,53171.16600,3171.666,19.866,0.046,SDSS r,FLWO 1.2m Keplercam,1
D,53171.16600,3171.666,21.068,0.146,SDSS r,FLWO 1.2m Keplercam,0
A,53172.16400,3172.664,19.116,0.007,SDSS r,FLWO 1.2m Keplercam,1
B,53172.16400,3172.664,19.522,0.008,SDSS r,FLWO 1.2m Keplercam,1
C,53172.16400,3172.664,19.935,0.013,SDSS r,FLWO 1.2m Keplercam,1
D,53172.16400,3172.664,20.875,0.027,SDSS r,FLWO 1.2m Keplercam,0
A,53172.16800,3172.668,19.077,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,53172.16800,3172.668,19.477,0.022,SDSS r,FLWO 1.2m Keplercam,1
C,53172.16800,3172.668,19.822,0.032,SDSS r,FLWO 1.2m Keplercam,1
D,53172.16800,3172.668,20.958,0.094,SDSS r,FLWO 1.2m Keplercam,0
A,53173.15800,3173.658,19.090,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,53173.15800,3173.658,19.538,0.025,SDSS r,FLWO 1.2m Keplercam,1
C,53173.15800,3173.658,19.853,0.035,SDSS r,FLWO 1.2m Keplercam,1
D,53173.15800,3173.658,20.826,0.090,SDSS r,FLWO 1.2m Keplercam,0
A,53173.15900,3173.659,19.136,0.007,SDSS r,FLWO 1.2m Keplercam,1
B,53173.15900,3173.659,19.542,0.008,SDSS r,FLWO 1.2m Keplercam,1
C,53173.15900,3173.659,19.964,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,53173.15900,3173.659,20.929,0.040,SDSS r,FLWO 1.2m Keplercam,0
A,53174.16400,3174.664,19.099,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,53174.16400,3174.664,19.479,0.023,SDSS r,FLWO 1.2m Keplercam,1
C,53174.16400,3174.664,19.925,0.035,SDSS r,FLWO 1.2m Keplercam,1
D,53174.16400,3174.664,20.889,0.090,SDSS r,FLWO 1.2m Keplercam,0
A,53176.16600,3176.666,19.098,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,53176.16600,3176.666,19.484,0.022,SDSS r,FLWO 1.2m Keplercam,1
C,53176.16600,3176.666,19.876,0.033,SDSS r,FLWO 1.2m Keplercam,1
D,53176.16600,3176.666,20.946,0.093,SDSS r,FLWO 1.2m Keplercam,0
A,53177.17500,3177.675,19.093,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,53177.17500,3177.675,19.549,0.027,SDSS r,FLWO 1.2m Keplercam,1
C,53177.17500,3177.675,19.869,0.040,SDSS r,FLWO 1.2m Keplercam,1
D,53177.17500,3177.675,21.000,0.120,SDSS r,FLWO 1.2m Keplercam,0
A,53178.17500,3178.675,19.123,0.027,SDSS r,FLWO 1.2m Keplercam,1
B,53178.17500,3178.675,19.540,0.040,SDSS r,FLWO 1.2m Keplercam,1
C,53178.17500,3178.675,19.806,0.054,SDSS r,FLWO 1.2m Keplercam,1
D,53178.17500,3178.675,20.706,0.132,SDSS r,FLWO 1.2m Keplercam,0
A,53182.15400,3182.654,19.060,0.043,SDSS r,FLWO 1.2m Keplercam,1
B,53182.15400,3182.654,19.492,0.067,SDSS r,FLWO 1.2m Keplercam,1
C,53182.15400,3182.654,19.843,0.096,SDSS r,FLWO 1.2m Keplercam,1
D,53182.15400,3182.654,21.320,0.364,SDSS r,FLWO 1.2m Keplercam,0
A,53183.15300,3183.653,19.112,0.040,SDSS r,FLWO 1.2m Keplercam,1
B,53183.15300,3183.653,19.466,0.057,SDSS r,FLWO 1.2m Keplercam,1
C,53183.15300,3183.653,19.753,0.078,SDSS r,FLWO 1.2m Keplercam,1
D,53183.15300,3183.653,20.923,0.236,SDSS r,FLWO 1.2m Keplercam,0
A,53184.15300,3184.653,19.163,0.036,SDSS r,FLWO 1.2m Keplercam,1
B,53184.15300,3184.653,19.539,0.052,SDSS r,FLWO 1.2m Keplercam,1
C,53184.15300,3184.653,19.888,0.076,SDSS r,FLWO 1.2m Keplercam,1
D,53184.15300,3184.653,20.536,0.147,SDSS r,FLWO 1.2m Keplercam,0
A,53185.15200,3185.652,19.104,0.034,SDSS r,FLWO 1.2m Keplercam,1
B,53185.15200,3185.652,19.507,0.050,SDSS r,FLWO 1.2m Keplercam,1
C,53185.15200,3185.652,19.812,0.070,SDSS r,FLWO 1.2m Keplercam,1
D,53185.15200,3185.652,20.792,0.179,SDSS r,FLWO 1.2m Keplercam,0
A,53186.15100,3186.651,19.124,0.039,SDSS r,FLWO 1.2m Keplercam,1
B,53186.15100,3186.651,19.417,0.052,SDSS r,FLWO 1.2m Keplercam,1
C,53186.15100,3186.651,19.809,0.079,SDSS r,FLWO 1.2m Keplercam,1
D,53186.15100,3186.651,20.873,0.217,SDSS r,FLWO 1.2m Keplercam,0
A,53187.15100,3187.651,19.143,0.039,SDSS r,FLWO 1.2m Keplercam,1
B,53187.15100,3187.651,19.470,0.054,SDSS r,FLWO 1.2m Keplercam,1
C,53187.15100,3187.651,19.696,0.070,SDSS r,FLWO 1.2m Keplercam,1
D,53187.15100,3187.651,20.786,0.199,SDSS r,FLWO 1.2m Keplercam,0
A,53189.15600,3189.656,19.188,0.042,SDSS r,FLWO 1.2m Keplercam,1
B,53189.15600,3189.656,19.554,0.061,SDSS r,FLWO 1.2m Keplercam,1
C,53189.15600,3189.656,19.838,0.084,SDSS r,FLWO 1.2m Keplercam,1
D,53189.15600,3189.656,21.113,0.273,SDSS r,FLWO 1.2m Keplercam,0
A,53191.15200,3191.652,19.082,0.042,SDSS r,FLWO 1.2m Keplercam,1
B,53191.15200,3191.652,19.496,0.063,SDSS r,FLWO 1.2m Keplercam,1
C,53191.15200,3191.652,19.680,0.080,SDSS r,FLWO 1.2m Keplercam,1
D,53191.15200,3191.652,20.758,0.221,SDSS r,FLWO 1.2m Keplercam,0
A,53192.16000,3192.660,19.188,0.020,SDSS r,FLWO 1.2m Keplercam,1
B,53192.16000,3192.660,19.501,0.027,SDSS r,FLWO 1.2m Keplercam,1
C,53192.16000,3192.660,19.816,0.038,SDSS r,FLWO 1.2m Keplercam,1
D,53192.16000,3192.660,20.896,0.107,SDSS r,FLWO 1.2m Keplercam,0
A,53193.15000,3193.650,19.180,0.034,SDSS r,FLWO 1.2m Keplercam,1
B,53193.15000,3193.650,19.506,0.047,SDSS r,FLWO 1.2m Keplercam,1
C,53193.15000,3193.650,19.858,0.068,SDSS r,FLWO 1.2m Keplercam,1
D,53193.15000,3193.650,20.865,0.180,SDSS r,FLWO 1.2m Keplercam,0
A,53194.15400,3194.654,19.179,0.027,SDSS r,FLWO 1.2m Keplercam,1
B,53194.15400,3194.654,19.459,0.036,SDSS r,FLWO 1.2m Keplercam,1
C,53194.15400,3194.654,19.823,0.053,SDSS r,FLWO 1.2m Keplercam,1
D,53194.15400,3194.654,20.651,0.121,SDSS r,FLWO 1.2m Keplercam,0
A,53195.15200,3195.652,19.134,0.038,SDSS r,FLWO 1.2m Keplercam,1
B,53195.15200,3195.652,19.498,0.054,SDSS r,FLWO 1.2m Keplercam,1
C,53195.15200,3195.652,19.773,0.074,SDSS r,FLWO 1.2m Keplercam,1
D,53195.15200,3195.652,20.678,0.179,SDSS r,FLWO 1.2m Keplercam,0
A,53309.51100,3310.011,19.171,0.041,SDSS r,FLWO 1.2m Keplercam,1
B,53309.51100,3310.011,19.432,0.052,SDSS r,FLWO 1.2m Keplercam,1
C,53309.51100,3310.011,19.875,0.082,SDSS r,FLWO 1.2m Keplercam,1
D,53309.51100,3310.011,20.382,0.139,SDSS r,FLWO 1.2m Keplercam,0
A,53313.51000,3314.010,19.095,0.052,SDSS r,FLWO 1.2m Keplercam,1
B,53313.51000,3314.010,19.464,0.075,SDSS r,FLWO 1.2m Keplercam,1
C,53313.51000,3314.010,19.938,0.121,SDSS r,FLWO 1.2m Keplercam,1
D,53313.51000,3314.010,20.453,0.206,SDSS r,FLWO 1.2m Keplercam,0
A,53318.46400,3318.964,19.140,0.030,SDSS r,FLWO 1.2m Keplercam,1
B,53318.46400,3318.964,19.425,0.039,SDSS r,FLWO 1.2m Keplercam,1
C,53318.46400,3318.964,19.924,0.062,SDSS r,FLWO 1.2m Keplercam,1
D,53318.46400,3318.964,20.322,0.097,SDSS r,FLWO 1.2m Keplercam,0
A,53320.52300,3321.023,19.167,0.027,SDSS r,FLWO 1.2m Keplercam,1
B,53320.52300,3321.023,19.495,0.036,SDSS r,FLWO 1.2m Keplercam,1
C,53320.52300,3321.023,19.836,0.051,SDSS r,FLWO 1.2m Keplercam,1
D,53320.52300,3321.023,20.361,0.087,SDSS r,FLWO 1.2m Keplercam,0
A,53334.54000,3335.040,19.133,0.034,SDSS r,FLWO 1.2m Keplercam,1
B,53334.54000,3335.040,19.544,0.049,SDSS r,FLWO 1.2m Keplercam,1
C,53334.54000,3335.040,19.951,0.074,SDSS r,FLWO 1.2m Keplercam,1
D,53334.54000,3335.040,20.291,0.109,SDSS r,FLWO 1.2m Keplercam,0
A,53335.52600,3336.026,19.134,0.032,SDSS r,FLWO 1.2m Keplercam,1
B,53335.52600,3336.026,19.480,0.044,SDSS r,FLWO 1.2m Keplercam,1
C,53335.52600,3336.026,19.944,0.070,SDSS r,FLWO 1.2m Keplercam,1
D,53335.52600,3336.026,20.372,0.112,SDSS r,FLWO 1.2m Keplercam,0
A,53341.49300,3341.993,19.156,0.055,SDSS r,FLWO 1.2m Keplercam,1
B,53341.49300,3341.993,19.558,0.080,SDSS r,FLWO 1.2m Keplercam,1
C,53341.49300,3341.993,20.007,0.127,SDSS r,FLWO 1.2m Keplercam,1
D,53341.49300,3341.993,20.455,0.204,SDSS r,FLWO 1.2m Keplercam,0
A,53349.51200,3350.012,19.122,0.029,SDSS r,FLWO 1.2m Keplercam,1
B,53349.51200,3350.012,19.507,0.040,SDSS r,FLWO 1.2m Keplercam,1
C,53349.51200,3350.012,20.006,0.065,SDSS r,FLWO 1.2m Keplercam,1
D,53349.51200,3350.012,20.354,0.097,SDSS r,FLWO 1.2m Keplercam,0
A,53350.49800,3350.998,19.113,0.023,SDSS r,FLWO 1.2m Keplercam,1
B,53350.49800,3350.998,19.559,0.033,SDSS r,FLWO 1.2m Keplercam,1
C,53350.49800,3350.998,20.015,0.050,SDSS r,FLWO 1.2m Keplercam,1
D,53350.49800,3350.998,20.445,0.079,SDSS r,FLWO 1.2m Keplercam,0
A,53351.54400,3352.044,19.138,0.023,SDSS r,FLWO 1.2m Keplercam,1
B,53351.54400,3352.044,19.521,0.032,SDSS r,FLWO 1.2m Keplercam,1
C,53351.54400,3352.044,20.023,0.051,SDSS r,FLWO 1.2m Keplercam,1
D,53351.54400,3352.044,20.275,0.070,SDSS r,FLWO 1.2m Keplercam,0
A,53352.53800,3353.038,19.143,0.026,SDSS r,FLWO 1.2m Keplercam,1
B,53352.53800,3353.038,19.605,0.038,SDSS r,FLWO 1.2m Keplercam,1
C,53352.53800,3353.038,19.980,0.054,SDSS r,FLWO 1.2m Keplercam,1
D,53352.53800,3353.038,20.272,0.076,SDSS r,FLWO 1.2m Keplercam,0
A,53353.53300,3354.033,19.144,0.023,SDSS r,FLWO 1.2m Keplercam,1
B,53353.53300,3354.033,19.552,0.031,SDSS r,FLWO 1.2m Keplercam,1
C,53353.53300,3354.033,19.989,0.046,SDSS r,FLWO 1.2m Keplercam,1
D,53353.53300,3354.033,20.326,0.068,SDSS r,FLWO 1.2m Keplercam,0
A,53354.42000,3354.920,19.126,0.021,SDSS r,FLWO 1.2m Keplercam,1
B,53354.42000,3354.920,19.549,0.030,SDSS r,FLWO 1.2m Keplercam,1
C,53354.42000,3354.920,19.999,0.045,SDSS r,FLWO 1.2m Keplercam,1
D,53354.42000,3354.920,20.304,0.063,SDSS r,FLWO 1.2m Keplercam,0
A,53359.42000,3359.920,19.165,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,53359.42000,3359.920,19.555,0.023,SDSS r,FLWO 1.2m Keplercam,1
C,53359.42000,3359.920,20.081,0.040,SDSS r,FLWO 1.2m Keplercam,1
D,53359.42000,3359.920,20.252,0.050,SDSS r,FLWO 1.2m Keplercam,0
A,53377.37900,3377.879,19.171,0.026,SDSS r,FLWO 1.2m Keplercam,1
B,53377.37900,3377.879,19.483,0.034,SDSS r,FLWO 1.2m Keplercam,1
C,53377.37900,3377.879,20.097,0.061,SDSS r,FLWO 1.2m Keplercam,1
D,53377.37900,3377.879,20.258,0.077,SDSS r,FLWO 1.2m Keplercam,0
A,53378.44500,3378.945,19.189,0.027,SDSS r,FLWO 1.2m Keplercam,1
B,53378.44500,3378.945,19.518,0.036,SDSS r,FLWO 1.2m Keplercam,1
C,53378.44500,3378.945,20.081,0.060,SDSS r,FLWO 1.2m Keplercam,1
D,53378.44500,3378.945,20.234,0.075,SDSS r,FLWO 1.2m Keplercam,0
A,53379.37800,3379.878,19.186,0.025,SDSS r,FLWO 1.2m Keplercam,1
B,53379.37800,3379.878,19.576,0.035,SDSS r,FLWO 1.2m Keplercam,1
C,53379.37800,3379.878,20.116,0.058,SDSS r,FLWO 1.2m Keplercam,1
D,53379.37800,3379.878,20.271,0.072,SDSS r,FLWO 1.2m Keplercam,0
A,53385.31600,3385.816,19.296,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53385.31600,3385.816,19.578,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,53385.31600,3385.816,20.225,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,53385.31600,3385.816,20.175,0.023,SDSS r,FLWO 1.2m Keplercam,0
A,53385.45100,3385.951,19.226,0.024,SDSS r,FLWO 1.2m Keplercam,1
B,53385.45100,3385.951,19.551,0.031,SDSS r,FLWO 1.2m Keplercam,1
C,53385.45100,3385.951,20.117,0.051,SDSS r,FLWO 1.2m Keplercam,1
D,53385.45100,3385.951,20.202,0.060,SDSS r,FLWO 1.2m Keplercam,0
A,53387.46000,3387.960,19.254,0.027,SDSS r,FLWO 1.2m Keplercam,1
B,53387.46000,3387.960,19.514,0.033,SDSS r,FLWO 1.2m Keplercam,1
C,53387.46000,3387.960,20.148,0.058,SDSS r,FLWO 1.2m Keplercam,1
D,53387.46000,3387.960,20.248,0.069,SDSS r,FLWO 1.2m Keplercam,0
A,53398.51800,3399.018,19.267,0.067,SDSS r,FLWO 1.2m Keplercam,1
B,53398.51800,3399.018,19.640,0.096,SDSS r,FLWO 1.2m Keplercam,1
C,53398.51800,3399.018,20.057,0.148,SDSS r,FLWO 1.2m Keplercam,1
D,53398.51800,3399.018,20.045,0.161,SDSS r,FLWO 1.2m Keplercam,0
A,53399.21400,3399.714,19.268,0.049,SDSS r,FLWO 1.2m Keplercam,1
B,53399.21400,3399.714,19.559,0.064,SDSS r,FLWO 1.2m Keplercam,1
C,53399.21400,3399.714,20.227,0.123,SDSS r,FLWO 1.2m Keplercam,1
D,53399.21400,3399.714,20.254,0.138,SDSS r,FLWO 1.2m Keplercam,0
A,53402.49000,3402.990,19.323,0.041,SDSS r,FLWO 1.2m Keplercam,1
B,53402.49000,3402.990,19.551,0.052,SDSS r,FLWO 1.2m Keplercam,1
C,53402.49000,3402.990,20.131,0.091,SDSS r,FLWO 1.2m Keplercam,1
D,53402.49000,3402.990,20.127,0.100,SDSS r,FLWO 1.2m Keplercam,0
A,53410.30600,3410.806,19.256,0.023,SDSS r,FLWO 1.2m Keplercam,1
B,53410.30600,3410.806,19.552,0.029,SDSS r,FLWO 1.2m Keplercam,1
C,53410.30600,3410.806,20.214,0.053,SDSS r,FLWO 1.2m Keplercam,1
D,53410.30600,3410.806,20.214,0.059,SDSS r,FLWO 1.2m Keplercam,0
A,53430.43000,3430.930,19.319,0.043,SDSS r,FLWO 1.2m Keplercam,1
B,53430.43000,3430.930,19.499,0.051,SDSS r,FLWO 1.2m Keplercam,1
C,53430.43000,3430.930,20.036,0.087,SDSS r,FLWO 1.2m Keplercam,1
D,53430.43000,3430.930,20.249,0.116,SDSS r,FLWO 1.2m Keplercam,0
A,53431.23800,3431.738,19.288,0.028,SDSS r,FLWO 1.2m Keplercam,1
B,53431.23800,3431.738,19.571,0.036,SDSS r,FLWO 1.2m Keplercam,1
C,53431.23800,3431.738,20.103,0.060,SDSS r,FLWO 1.2m Keplercam,1
D,53431.23800,3431.738,20.188,0.071,SDSS r,FLWO 1.2m Keplercam,0
A,53432.22100,3432.721,19.311,0.028,SDSS r,FLWO 1.2m Keplercam,1
B,53432.22100,3432.721,19.527,0.035,SDSS r,FLWO 1.2m Keplercam,1
C,53432.22100,3432.721,20.084,0.058,SDSS r,FLWO 1.2m Keplercam,1
D,53432.22100,3432.721,20.119,0.065,SDSS r,FLWO 1.2m Keplercam,0
A,53433.24000,3433.740,19.290,0.025,SDSS r,FLWO 1.2m Keplercam,1
B,53433.24000,3433.740,19.553,0.031,SDSS r,FLWO 1.2m Keplercam,1
C,53433.24000,3433.740,20.116,0.051,SDSS r,FLWO 1.2m Keplercam,1
D,53433.24000,3433.740,20.106,0.056,SDSS r,FLWO 1.2m Keplercam,0
A,53439.14300,3439.643,19.303,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53439.14300,3439.643,19.531,0.014,SDSS r,FLWO 1.2m Keplercam,1
C,53439.14300,3439.643,20.072,0.018,SDSS r,FLWO 1.2m Keplercam,1
D,53439.14300,3439.643,20.110,0.020,SDSS r,FLWO 1.2m Keplercam,0
A,53439.21900,3439.719,19.265,0.025,SDSS r,FLWO 1.2m Keplercam,1
B,53439.21900,3439.719,19.538,0.032,SDSS r,FLWO 1.2m Keplercam,1
C,53439.21900,3439.719,20.042,0.050,SDSS r,FLWO 1.2m Keplercam,1
D,53439.21900,3439.719,20.199,0.063,SDSS r,FLWO 1.2m Keplercam,0
A,53441.11500,3441.615,19.306,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53441.11500,3441.615,19.527,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,53441.11500,3441.615,20.075,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,53441.11500,3441.615,20.102,0.022,SDSS r,FLWO 1.2m Keplercam,0
A,53441.29700,3441.797,19.279,0.030,SDSS r,FLWO 1.2m Keplercam,1
B,53441.29700,3441.797,19.562,0.038,SDSS r,FLWO 1.2m Keplercam,1
C,53441.29700,3441.797,20.051,0.060,SDSS r,FLWO 1.2m Keplercam,1
D,53441.29700,3441.797,20.170,0.074,SDSS r,FLWO 1.2m Keplercam,0
A,53442.23400,3442.734,19.300,0.026,SDSS r,FLWO 1.2m Keplercam,1
B,53442.23400,3442.734,19.552,0.032,SDSS r,FLWO 1.2m Keplercam,1
C,53442.23400,3442.734,20.033,0.049,SDSS r,FLWO 1.2m Keplercam,1
D,53442.23400,3442.734,20.135,0.059,SDSS r,FLWO 1.2m Keplercam,0
A,53443.24800,3443.748,19.272,0.029,SDSS r,FLWO 1.2m Keplercam,1
B,53443.24800,3443.748,19.569,0.038,SDSS r,FLWO 1.2m Keplercam,1
C,53443.24800,3443.748,20.097,0.067,SDSS r,FLWO 1.2m Keplercam,1
D,53443.24800,3443.748,20.214,0.082,SDSS r,FLWO 1.2m Keplercam,0
A,53462.33600,3462.836,19.243,0.037,SDSS r,FLWO 1.2m Keplercam,1
B,53462.33600,3462.836,19.627,0.052,SDSS r,FLWO 1.2m Keplercam,1
C,53462.33600,3462.836,20.106,0.084,SDSS r,FLWO 1.2m Keplercam,1
D,53462.33600,3462.836,20.269,0.107,SDSS r,FLWO 1.2m Keplercam,0
A,53462.35900,3462.859,19.302,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53462.35900,3462.859,19.557,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,53462.35900,3462.859,20.055,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,53462.35900,3462.859,20.100,0.022,SDSS r,FLWO 1.2m Keplercam,0
A,53463.22200,3463.722,19.310,0.031,SDSS r,FLWO 1.2m Keplercam,1
B,53463.22200,3463.722,19.541,0.038,SDSS r,FLWO 1.2m Keplercam,1
C,53463.22200,3463.722,20.041,0.062,SDSS r,FLWO 1.2m Keplercam,1
D,53463.22200,3463.722,20.186,0.077,SDSS r,FLWO 1.2m Keplercam,0
A,53464.21900,3464.719,19.308,0.023,SDSS r,FLWO 1.2m Keplercam,1
B,53464.21900,3464.719,19.572,0.029,SDSS r,FLWO 1.2m Keplercam,1
C,53464.21900,3464.719,20.003,0.042,SDSS r,FLWO 1.2m Keplercam,1
D,53464.21900,3464.719,20.162,0.053,SDSS r,FLWO 1.2m Keplercam,0
A,53469.25600,3469.756,19.322,0.055,SDSS r,FLWO 1.2m Keplercam,1
B,53469.25600,3469.756,19.654,0.074,SDSS r,FLWO 1.2m Keplercam,1
C,53469.25600,3469.756,20.155,0.121,SDSS r,FLWO 1.2m Keplercam,1
D,53469.25600,3469.756,20.090,0.126,SDSS r,FLWO 1.2m Keplercam,0
A,53470.21300,3470.713,19.290,0.026,SDSS r,FLWO 1.2m Keplercam,1
B,53470.21300,3470.713,19.595,0.033,SDSS r,FLWO 1.2m Keplercam,1
C,53470.21300,3470.713,20.087,0.053,SDSS r,FLWO 1.2m Keplercam,1
D,53470.21300,3470.713,20.159,0.062,SDSS r,FLWO 1.2m Keplercam,0
A,53471.26300,3471.763,19.312,0.029,SDSS r,FLWO 1.2m Keplercam,1
B,53471.26300,3471.763,19.651,0.039,SDSS r,FLWO 1.2m Keplercam,1
C,53471.26300,3471.763,20.009,0.056,SDSS r,FLWO 1.2m Keplercam,1
D,53471.26300,3471.763,20.218,0.074,SDSS r,FLWO 1.2m Keplercam,0
A,53472.26600,3472.766,19.323,0.025,SDSS r,FLWO 1.2m Keplercam,1
B,53472.26600,3472.766,19.597,0.031,SDSS r,FLWO 1.2m Keplercam,1
C,53472.26600,3472.766,20.112,0.049,SDSS r,FLWO 1.2m Keplercam,1
D,53472.26600,3472.766,20.173,0.057,SDSS r,FLWO 1.2m Keplercam,0
A,53473.24400,3473.744,19.319,0.020,SDSS r,FLWO 1.2m Keplercam,1
B,53473.24400,3473.744,19.582,0.024,SDSS r,FLWO 1.2m Keplercam,1
C,53473.24400,3473.744,20.070,0.043,SDSS r,FLWO 1.2m Keplercam,1
D,53473.24400,3473.744,20.164,0.051,SDSS r,FLWO 1.2m Keplercam,0
A,53474.24300,3474.743,19.324,0.022,SDSS r,FLWO 1.2m Keplercam,1
B,53474.24300,3474.743,19.607,0.028,SDSS r,FLWO 1.2m Keplercam,1
C,53474.24300,3474.743,20.044,0.042,SDSS r,FLWO 1.2m Keplercam,1
D,53474.24300,3474.743,20.169,0.051,SDSS r,FLWO 1.2m Keplercam,0
A,53476.23900,3476.739,19.311,0.043,SDSS r,FLWO 1.2m Keplercam,1
B,53476.23900,3476.739,19.581,0.056,SDSS r,FLWO 1.2m Keplercam,1
C,53476.23900,3476.739,20.163,0.099,SDSS r,FLWO 1.2m Keplercam,1
D,53476.23900,3476.739,20.169,0.110,SDSS r,FLWO 1.2m Keplercam,0
A,53477.23500,3477.735,19.327,0.045,SDSS r,FLWO 1.2m Keplercam,1
B,53477.23500,3477.735,19.554,0.056,SDSS r,FLWO 1.2m Keplercam,1
C,53477.23500,3477.735,20.121,0.097,SDSS r,FLWO 1.2m Keplercam,1
D,53477.23500,3477.735,20.142,0.109,SDSS r,FLWO 1.2m Keplercam,0
A,53478.19000,3478.690,19.297,0.051,SDSS r,FLWO 1.2m Keplercam,1
B,53478.19000,3478.690,19.656,0.071,SDSS r,FLWO 1.2m Keplercam,1
C,53478.19000,3478.690,20.089,0.111,SDSS r,FLWO 1.2m Keplercam,1
D,53478.19000,3478.690,20.306,0.147,SDSS r,FLWO 1.2m Keplercam,0
A,53485.23800,3485.738,19.318,0.054,SDSS r,FLWO 1.2m Keplercam,1
B,53485.23800,3485.738,19.660,0.074,SDSS r,FLWO 1.2m Keplercam,1
C,53485.23800,3485.738,20.101,0.117,SDSS r,FLWO 1.2m Keplercam,1
D,53485.23800,3485.738,20.159,0.135,SDSS r,FLWO 1.2m Keplercam,0
A,53486.20700,3486.707,19.365,0.052,SDSS r,FLWO 1.2m Keplercam,1
B,53486.20700,3486.707,19.597,0.066,SDSS r,FLWO 1.2m Keplercam,1
C,53486.20700,3486.707,19.919,0.093,SDSS r,FLWO 1.2m Keplercam,1
D,53486.20700,3486.707,20.138,0.124,SDSS r,FLWO 1.2m Keplercam,0
A,53487.17500,3487.675,19.323,0.025,SDSS r,FLWO 1.2m Keplercam,1
B,53487.17500,3487.675,19.599,0.032,SDSS r,FLWO 1.2m Keplercam,1
C,53487.17500,3487.675,20.111,0.053,SDSS r,FLWO 1.2m Keplercam,1
