#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
"             5.40          5.60        -42.84        -39.79     141930.94"
"             5.60          5.80        -42.84        -39.79     364849.58"
"             5.80          6.00        -42.84        -39.79     685195.10"
"             6.00          6.20        -42.84        -39.79    1213869.86"
"             6.20          6.40        -42.84        -39.79    2057144.41"
"             6.40          6.60        -42.84        -39.79    2591800.36"
"             6.60          6.80        -42.84        -39.79    3377682.66"
"             6.80          7.00        -42.84        -39.79    4945637.93"
"             7.00          7.20        -42.84        -39.79    6353729.86"
"             7.20          7.40        -42.84        -39.79    8831100.97"
"             7.40          7.60        -42.84        -39.79   10752871.07"
"             7.60          7.80        -42.84        -39.79   14103692.21"
"             7.80          8.00        -42.84        -39.79   19196002.16"
"             8.00          8.20        -42.84        -39.79   23839205.51"
"             8.20          8.40        -42.84        -39.79   29651077.87"
"             8.40          8.60        -42.84        -39.79   36072921.04"
"             8.60          8.80        -42.84        -39.79   20433903.65"
"             8.80          9.00        -42.84        -39.79          0.00"
"             9.00          9.20        -42.84        -39.79          0.00"
"             9.20          9.40        -42.84        -39.79          0.00"
"             9.40          9.60        -42.84        -39.79          0.00"
"             9.60          9.80        -42.84        -39.79          0.00"
"             9.80         10.00        -42.84        -39.79          0.00"
"             2.00          2.20        -39.79        -36.87          0.00"
"             2.20          2.40        -39.79        -36.87          0.00"
"             2.40          2.60        -39.79        -36.87          0.00"
"             2.60          2.80        -39.79        -36.87          0.00"
"             2.80          3.00        -39.79        -36.87          0.00"
"             3.00          3.20        -39.79        -36.87          0.00"
"             3.20          3.40        -39.79        -36.87          0.00"
"             3.40          3.60        -39.79        -36.87          0.00"
"             3.60          3.80        -39.79        -36.87          0.00"
"             3.80          4.00        -39.79        -36.87          0.00"
"             4.00          4.20        -39.79        -36.87          0.00"
"             4.20          4.40        -39.79        -36.87          0.00"
"             4.40          4.60        -39.79        -36.87          0.00"
