shard,sample,row_start,row_end,rows,bytes,sha256
mc_kk2f_013.csv,mc_kk2f,30265,32783,2519,899933,3fb0d525ad22c7790ae7dddda7934a21028b0461dbacdff37313c42f85b3b651
mc_kk2f_014.csv,mc_kk2f,32784,35299,2516,899659,650b13a86d6f21a105958fd5dcf9305ed463254d7dcc739b7c8f444bb7dc2e74
mc_kk2f_015.csv,mc_kk2f,35300,37814,2515,899657,4c7e5e2c024e885b9ee44d76fc1886d97eb77c6fb39ea386a454d761bfef0df1
mc_kk2f_016.csv,mc_kk2f,37815,40332,2518,899958,17af19faab3cb55ec70f19722c29041c3c61c986d66523e2a63f12a0f88b75d0
mc_kk2f_017.csv,mc_kk2f,40333,42848,2516,899795,1e3d04b539a5b4b6d28e04340f908bc13d815db6c30c4afc643d90280c94efe5
mc_kk2f_018.csv,mc_kk2f,42849,45363,2515,899689,b336ffce741d751aa71f0a71a1c8d6af061b33d349c4c5a2a47938997d8c2fc4
mc_kk2f_019.csv,mc_kk2f,45364,47881,2518,899925,4936ea7cbd57d6510d3a182dd4f2ff40e93745ce1c071374b286480ea335a459
mc_kk2f_020.csv,mc_kk2f,47882,50396,2515,899964,1f0204630f26a8a7b0f599057ce88352a12745dc0956b4a749b7a5c44cc57ccd
mc_kk2f_021.csv,mc_kk2f,50397,52912,2516,899925,bee200d5b3e7e52f86a7eea0dc31887dca1ed564e327b6bd99abe925991a0175
mc_kk2f_022.csv,mc_kk2f,52913,55427,2515,899655,567088a9a44e2ba257aeed50f59a90d19c10872e077a2f68919e66d93eac29aa
mc_kk2f_023.csv,mc_kk2f,55428,57943,2516,899835,07c0b9a143ffcdda3bcc3c631c6b7599725a3fa2e693738d9c546dcddcc85a57
mc_kk2f_024.csv,mc_kk2f,57944,60458,2515,899774,c4090f266acc10ac691b5604f66d27da9630f7a8faac24903b11beb7766ec150
mc_kk2f_025.csv,mc_kk2f,60459,62977,2519,899890,8a9239f46f3fd4b9f0c46b8f515abb6f7a51a58b85990d97ca4adfb87815ba4d
mc_kk2f_026.csv,mc_kk2f,62978,65499,2522,899750,8363bc3407df9b3d1e2781df7332f3f0c0b2236d573273209b957ea54535e10e
mc_kk2f_027.csv,mc_kk2f,65500,68017,2518,899856,746e30e19d1ed72afe4e599eebcef749e83925c36ee46e257c67682e65ac3bc0
mc_kk2f_028.csv,mc_kk2f,68018,70539,2522,899800,f0f606f4b2fcef24b90a3a7be3ece42b70af5b670b5d91ddd385cd78549a4042
mc_kk2f_029.csv,mc_kk2f,70540,73060,2521,899674,b03a71e91157580bc9cc1af2353a166b39905fed9013165e5e1cde2311f188a7
mc_kk2f_030.csv,mc_kk2f,73061,75581,2521,899944,976cd06302ab561f74b1f880f10cf810575465f836a514eab372316ae91bd1f0
mc_kk2f_031.csv,mc_kk2f,75582,78103,2522,899905,1089c27e57d3c197bb0b3e7cdc02421b00d3660d608e63424a47b732c568a193
mc_kk2f_032.csv,mc_kk2f,78104,80625,2522,899847,d19345498f333006190f66f288268182b6a297d626fa9ec598d2aefc92dfb820
mc_kk2f_033.csv,mc_kk2f,80626,83148,2523,899720,68379bbc2c410619e33df225758d0f2acbe7d1e1eb2fc5974000eb62d386cf6f
mc_kk2f_034.csv,mc_kk2f,83149,85672,2524,899681,69eae07c2b4abd6ad1fb0bcb2d8e4b54499b60c3d929fd6fe99058da0607f030
mc_kk2f_035.csv,mc_kk2f,85673,88195,2523,899693,56a86e50183775cdc9f818f71d173ae556e4248f15cb33c32fe7f0680786dbbf
mc_kk2f_036.csv,mc_kk2f,88196,90717,2522,899775,a9d734cab8e2980734308a400e46fe776bbf38c6249072d85d6a560c41bba7f0
mc_kk2f_037.csv,mc_kk2f,90718,93236,2519,899650,4c094d67730d1aa2c3faa678164d709fd850ce8aaed06bf4376ab6240dcd97ca
mc_kk2f_038.csv,mc_kk2f,93237,95753,2517,899713,889a5cfe9b7ac941eb4658750f4e7a4740b2c8a889c93243d40c10c994f11b04
mc_kk2f_039.csv,mc_kk2f,95754,98274,2521,899886,c78506f87f08138cedc902e3c2796346412d334a197b9b6c72f2d9eec8e3ae28
mc_kk2f_040.csv,mc_kk2f,98275,100794,2520,899987,9d3d7566b7f63d8e42764d5dc9451e5c16e4d3e90912832d072ebcc6e4831fdb
mc_kk2f_041.csv,mc_kk2f,100795,103313,2519,899982,f16e985c43bf26b2d5907daca8f94ef12239cb1bff94f76b585e4e87ac89d661
mc_kk2f_042.csv,mc_kk2f,103314,105828,2515,899656,0b7559c8165e49337c751a9c5104c2383033280a4d80dcffe0b708e8ead92985
mc_kk2f_043.csv,mc_kk2f,105829,108342,2514,899992,580ff19bce648875b31886fe6b5ea1804d2ec2d89219bb11a84d2c93e51ab1bb
mc_kk2f_044.csv,mc_kk2f,108343,110852,2510,899659,1eb95fed02e861ee58496f3d1dcc55b03da870efd1e763898b0d182a8926a202
mc_kk2f_045.csv,mc_kk2f,110853,113362,2510,899740,c1e7d52c8934e077499a4661c70340e05ae1d0d22b0d204793f753eeb81cffcf
mc_kk2f_046.csv,mc_kk2f,113363,115875,2513,899945,6c93801705b49557039705b52c6979ec039435f248061dab63809e59f0cac661
mc_kk2f_047.csv,mc_kk2f,115876,118390,2515,899733,a29b2a732dba9139b1c29542a4628eb284a47d4ccc4746ee11c1efe438275f0c
mc_kk2f_048.csv,mc_kk2f,118391,120907,2517,899913,b4c1de92883cf09f0ae96ed1179b6ae28896480028918b6f8e42d4ffbd0a44a2
mc_kk2f_049.csv,mc_kk2f,120908,123421,2514,899916,82293499f605846bc1829cc71180a1c0a444504280747f24d66cb93f63bb0594
mc_kk2f_050.csv,mc_kk2f,123422,125935,2514,899739,d4f06a5f04ee6a44cc21b65274d1b38e8bd31ac7f21fda444dc20d8cacf0610f
mc_kk2f_051.csv,mc_kk2f,125936,128450,2515,899793,d6739320d4bff52d664230eb2f5ed78b257ddabaddcd8f6ef03ef5ac6a85581a
mc_kk2f_052.csv,mc_kk2f,128451,130964,2514,899950,51d629608ff9035dad5cf33cc643fce9aa244920a8868b6813805ef900a3a67e
mc_kk2f_053.csv,mc_kk2f,130965,133476,2512,899704,6ed2a388bb09b3d26d3fad22f3c93cab81dbc80fc622c2562b6816eafbc110cd
mc_kk2f_054.csv,mc_kk2f,133477,135987,2511,899689,d67d5b23d946680875ce8dfcab929ccac86b6142be7c5cb449e5bd8c50b771be
mc_kk2f_055.csv,mc_kk2f,135988,138499,2512,899943,3603e5949b53e739bbfd602de400caac6a5b2e429a38798c897c3bef048cee7c
mc_kk2f_056.csv,mc_kk2f,138500,141009,2510,899798,ed3e4b9779c78af78be36538b557ae45ee33dec780c502d6bea1e62d8e64172e
mc_kk2f_057.csv,mc_kk2f,141010,143520,2511,899853,3b3596e82d4e1275000c476a5f79886ee8256da708544f31d8b9ae95a5e865d5
mc_kk2f_058.csv,mc_kk2f,143521,146034,2514,899846,19db0505ee9827649814fe3d370d42a63bd6c45b777a5894ae3fd7118fdc304d
mc_kk2f_059.csv,mc_kk2f,146035,148546,2512,899905,8a46f77b6cccbd558b8e60046ae78269382a309a48e7d5d7fc3c14c89de98070
mc_kk2f_060.csv,mc_kk2f,148547,149784,1238,444041,8aeab158a2684a5615e7ab85b4e1e746caedd19270df828aaba47981e4db465c
