Title: The Magnificent Five Images of Supernova Refsdal: Time Delay and 
       Magnification Measurements 
Authors: Kelly P.L., Rodney S., Treu T., Birrer S., Bonvin V., Dessart L., 
    Foley R.J., Filippenko A.V., Gilman D., Jha S., Hjorth J., Mandel K., 
    Millon M., Pierel J., Thorp S., Zitrin A., Broadhurst T., Chen W., 
    Diego J.M., Dressler A., Graur O., Jauzac M., Malkan M.A., McCully C., 
    Oguri M., Postman M., Schmidt K.B., Sharon K., Tucker B.E., 
    von der Linden A., Wambsganss J.
Table: Photometry of SN Refsdal
================================================================================
Byte-by-byte Description of file: apjac4ccbt3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  2 A2     ---    Obj       Image of SN Refsdal (see Table 2)
   4-  8 A5     ---    Filt      WFC3-IR Filter                  
  10- 27 F18.12 d      MJD       [56598.13/57756.91] Modified Julian date (1)
  29- 51 F23.20 uJy    Flux      [-0.06/0.8] Flux in Filt
  53- 73 F21.19 uJy  e_Flux      [0.0/0.67] Uncertainty in Flux
--------------------------------------------------------------------------------
Note (1): Modified Julian Date (JD-2,400,000.5) at the beginning of the 
    observation.
--------------------------------------------------------------------------------
S1 F160W 56598.137856192647 -0.00837072086866971765 0.0108643204292709437 
S1 F160W 56990.911363343228  0.30157528609042955070 0.0260683739543785056 
S1 F160W 56992.967120247908  0.36005566476195771664 0.0318039759917728218 
S1 F160W 56994.028529812887  0.35776231657876061965 0.0305357732414884633 
S1 F160W 56996.748092681271  0.40248260615110553751 0.0324222644620999201 
S1 F160W 56999.845771597727  0.41806925457216892461 0.0219572224371805437 
S1 F160W 57002.877909292431  0.34170887929638033009 0.0166464966056343762 
S1 F160W 57006.981239996545  0.38184247250233110949 0.0201782455726507749 
S1 F160W 57011.912865705133  0.38298914659392957471 0.0190241377311019706 
S1 F160W 57015.198230388931  0.39226033064292120667 0.0149632647226713277 
S1 F160W 57016.007318534554  0.38321626313332185498 0.0272649987857578012 
S1 F160W 57017.812514116311  0.41965247145942469187 0.0189168978903299818 
S1 F160W 57019.073617339447  0.46509451476653990154 0.0612317325698599202 
S1 F160W 57020.571959901485  0.41243883707457801302 0.0177849967392231870 
S1 F160W 57021.215647750949  0.41905635349555497848 0.0490752552394872893 
S1 F160W 57023.791605019163  0.40133593205950712779 0.0183420865674869468 
S1 F160W 57025.925516300566  0.43845259351719373386 0.0149092794784551012 
S1 F160W 57026.570037278281  0.43573615480746474837 0.0277650340891323275 
S1 F160W 57027.828916153332  0.37954912431913379045 0.0174940262060247625 
S1 F160W 57033.961286911508  0.48848316302099992203 0.0323767500478873080 
S1 F160W 57036.614620174747  0.48848316302100003305 0.0349097744903316687 
S1 F160W 57044.705610137309  0.46325633300583096696 0.0309683774787030894 
S1 F160W 57049.213805738094  0.48160311847140840902 0.0311442309074968678 
S1 F160W 57062.397959583446  0.58251043853208450685 0.0354311980882890815 
S1 F160W 57076.407229826546  0.54008349714293657495 0.0330577943780188330 
S1 F160W 57090.413282239417  0.60429724627245773316 0.0360703801056869444 
S1 F160W 57104.307707372835  0.64443083947840840153 0.0369008733869285177 
S1 F160W 57118.225094854111  0.79349847138622520148 0.0550371927352361762 
S1 F160W 57132.106787027355  0.66621764721878162785 0.0455751965207273554 
S1 F160W 57149.076652234413  0.66163095085238732285 0.0429748384630336683 
S1 F160W 57168.295437932080  0.62723072810442948022 0.0351962895902605336 
S1 F160W 57188.185600530873  0.60544392036405636492 0.0387726149469978867 
S1 F160W 57208.099537858914  0.58939048308167607537 0.0390854774795548060 
S1 F160W 57216.220196861803  0.53091010441014785393 0.0340662107712635179 
S1 F160W 57224.003931294174  0.57333704579929567480 0.0347377053926831852 
S1 F160W 57325.839900555809  0.13760089099183095418 0.0266753763318991165 
S1 F160W 57340.947839428438  0.16168104691540144402 0.0431073095140324380 
S1 F160W 57367.059395990633  0.15938769873220423601 0.0338137749938473287 
S1 F160W 57402.168415683911  0.15250765418261269524 0.0315020787037053884 
S1 F160W 57426.229171491257  0.16282772100699999251 0.0229540771726535371 
S1 F160W 57432.754938044345  0.12269412780104931027 0.0234520059542943429 
S1 F160W 57444.604200295471  0.12269412780104928251 0.0266953893069059728 
S1 F160W 57459.093495148605  0.08416587832333662089 0.0252398122878766847 
S1 F160W 57472.543083201883  0.18232118056417609409 0.0245978172204731477 
S1 F160W 57493.306412717102  0.11111271947590353748 0.0247871443879072624 
S1 F160W 57507.575185625865  0.09563261923932253605 0.0232588408584043192 
S1 F160W 57521.297570016184  0.07946451454778238888 0.0231195489677945183 
S1 F160W 57524.545352836118  0.11008071279346477722 0.0171642663731248028 
S1 F160W 57527.198603335310  0.12957417235064083716 0.0242818030565284983 
S1 F160W 57541.133390724914  0.10159532451563518807 0.0266003084057155094 
S1 F160W 57545.101040656969  0.14218758735822531469 0.0326150741777432585 
S1 F160W 57547.096988576282  0.11088338465758379447 0.0241786504305936054 
S1 F160W 57549.044653383644  0.13186752053383804517 0.0252046028358607101 
S1 F160W 57550.103812218716  0.10560868383623027433 0.0260189432977167359 
S1 F160W 57551.707303641400  0.13645421690023240568 0.0253837086993302687 
S1 F160W 57553.778906564854  0.13186752053383807293 0.0254699890119544498 
S1 F160W 57555.949164478610  0.11294739802246127336 0.0228656730555387155 
S1 F160W 57557.527278154099  0.09276593401032606767 0.0255741364140390989 
S1 F160W 57566.218745640443  0.10480601197211127096 0.0239169781128097288 
S1 F160W 57569.263222637936  0.07808850563786405574 0.0326060464398649844 
S1 F160W 57573.240568106638  0.09184859473704719279 0.0300171323736709850 
S1 F160W 57577.736187857961  0.10457667715379154183 0.0312923217856411126 
S1 F160W 57583.119385523722  0.11925410552625352600 0.0251384656608268503 
S1 F160W 57586.054007792343  0.06536042322111973446 0.0302136791527631149 
