sample,galaxy,R_kpc,R_over_Rd,V_obs_kms,V_bar_kms,g_obs,g_bar,e_gobs,g_pred_gate,g_pred_mond,dlnB_ring
sparc,DDO168,4.12,4.03921568627451,51.99999999999999,25.51658382307475,2.1269580579265928e-11,5.121501442424837e-12,2.208764137077616e-12,2.635087847606969e-11,2.6539679780381827e-11,0.0160167536931595
sparc,DDO170,1.87,0.958974358974359,27.699999999999996,15.517101855694577,1.329742000533565e-11,4.172814415310665e-12,2.880307582383173e-12,2.252115970722906e-11,2.3715534522414744e-11,0.2037583419500722
sparc,DDO170,3.36,1.723076923076923,42.39999999999999,20.545952156081743,1.7339712426760418e-11,4.071577655493393e-12,1.2268664452896525e-12,2.3088529849696833e-11,2.3399322011414845e-11,0.0404900188350034
sparc,DDO170,4.86,2.4923076923076923,52.5,24.95495742332573,1.8379419581339568e-11,4.152664564657509e-12,7.001683650034121e-13,2.3553730008636024e-11,2.3652850836983864e-11,0.011836180337452
sparc,DDO170,6.35,3.2564102564102564,55.6,28.09620170058579,1.5777032227112966e-11,4.028755890391864e-12,5.675191448601788e-13,2.3229696597797037e-11,2.3264593711282593e-11,0.0050719393246299
sparc,DDO170,7.85,4.0256410256410255,58.6,30.013257903799783,1.4176696113096016e-11,3.718827880944682e-12,5.322309120957549e-13,2.225827055788039e-11,2.227118265622479e-11,0.0005728240155289
sparc,DDO170,9.34,4.78974358974359,58.99999999999999,30.221086181671232,1.2078321955627231e-11,3.1690034882211508e-12,4.913215710763619e-13,2.0414383935917747e-11,2.0419301159572197e-11,-0.0023005224654595
sparc,DDO170,10.83,5.553846153846154,59.999999999999986,29.07635035557248,1.0772673538319215e-11,2.5298850266934445e-12,4.668158533271661e-13,1.8083700460014374e-11,1.8085602987500878e-11,-0.0029022595273069
sparc,DDO170,12.33,6.323076923076923,62.2,27.06769384339936,1.016874010233085e-11,1.9257011486157924e-12,3.2696913512317853e-13,1.5630796192604934e-11,1.5631539390814355e-11,-0.0016432527285831
sparc,ESO079-G014,0.41,0.0807086614173228,33.2,20.58969038135348,8.712479424383313e-11,3.350929030105727e-11,6.08823863390641e-11,6.278516986678374e-11,7.938032335403708e-11,-0.0847962803330021
sparc,ESO079-G014,0.98,0.1929133858267716,50.39999999999999,33.945958522333704,8.400099918239792e-11,3.8106541235967104e-11,3.9333801204456176e-11,7.826669683244657e-11,8.6058511688513e-11,-0.0065267025775874
sparc,ESO079-G014,1.78,0.3503937007874015,53.9,44.42011425019076,5.2894069660037436e-11,3.592433974313821e-11,1.913607343916011e-11,7.977469361102029e-11,8.291844316126351e-11,0.0747093816503435
sparc,ESO079-G014,2.69,0.5295275590551181,67.6,54.05291574004125,5.5054213999001033e-11,3.5199413426628336e-11,8.306996786831517e-12,8.053827243850355e-11,8.186365723833582e-11,0.0546638160670316
sparc,ESO079-G014,3.36,0.6614173228346456,81.7,58.85163081852532,6.438049187892648e-11,3.340620803050979e-11,7.974670475088568e-12,7.849091055780329e-11,7.922772537522402e-11,0.0186303914761546
sparc,ESO079-G014,4.39,0.8641732283464566,102.0,62.124894768522545,7.680425450428059e-11,2.849156248655516e-11,8.056916894076492e-12,7.147201400718931e-11,7.178307591511695e-11,-0.0013004152766893
sparc,ESO079-G014,5.65,1.1122047244094488,116.0,65.9047528635075,7.718217012170507e-11,2.4913484764916375e-11,8.569882337651393e-12,6.600018874526834e-11,6.612011513996636e-11,-0.0013994519461756
sparc,ESO079-G014,6.34,1.248031496062992,132.0,68.78013121534444,8.906520242788425e-11,2.418166480694144e-11,1.2280202152935556e-11,6.485754053761081e-11,6.493196002250096e-11,-0.0031054627532215
sparc,ESO079-G014,6.89,1.356299212598425,137.0,72.06967011163572,8.828183814743293e-11,2.4430665707518855e-11,6.766126281372597e-12,6.528531532085269e-11,6.533746527880576e-11,-0.0023172823657884
sparc,ESO079-G014,8.34,1.641732283464567,154.0,82.29964125073694,9.215626094539875e-11,2.6319600222282473e-11,5.026705142476296e-12,6.835158801509328e-11,6.83732850540763e-11,-0.0008770869041515
sparc,ESO079-G014,10.04,1.976377952755905,163.0,94.18870473682074,8.576122006100333e-11,2.8636068406110644e-11,3.451494500614612e-12,7.199884442269701e-11,7.200710894335851e-11,0.0010583488411465
sparc,ESO079-G014,11.65,2.293307086614173,169.99999999999997,99.22034342814985,8.039358065660269e-11,2.7385771566110388e-11,2.2793944633225005e-12,7.005394795686319e-11,7.005727903888421e-11,0.0014452532381324
sparc,ESO079-G014,13.36,2.6299212598425195,175.0,100.7651231825774,7.428807315810904e-11,2.4629946978393837e-11,1.850834279824888e-12,6.565977878592469e-11,6.56610760986215e-11,0.0015675783403921
sparc,ESO079-G014,15.06,2.9645669291338583,177.0,99.05224101452728,6.741724725033368e-11,2.1113152972591958e-11,1.6987622753473906e-12,5.982031353270925e-11,5.982083093549438e-11,0.0016019694506186
sparc,ESO079-G014,16.67,3.2814960629921264,178.0,96.72634878873492,6.159619136578001e-11,1.8188774711193784e-11,1.4049468367700381e-12,5.4721630399704855e-11,5.472185294460067e-11,0.0016154727823434
sparc,ESO116-G012,0.25,0.1655629139072847,20.899999999999995,12.252185519326744,5.662419205688771e-11,1.9459719434127788e-11,1.8423182104633324e-11,3.891441481498364e-11,5.6968540442264485e-11,-0.3545937663192784
sparc,ESO116-G012,0.83,0.5496688741721854,40.0,24.654833197570007,6.247285377242149e-11,2.3734249295241972e-11,1.0276784445563335e-11,5.6245401951091196e-11,6.420004353679235e-11,-0.0416851008277112
sparc,ESO116-G012,1.38,0.9139072847682118,51.49999999999999,36.26975737442973,6.228519471325229e-11,3.089297046087973e-11,7.1597738388825945e-12,7.091718802387387e-11,7.546394423811637e-11,0.0960268187671029
sparc,ESO116-G012,1.85,1.225165562913907,67.9,43.936278290269414,8.076389861539025e-11,3.381615761975596e-11,8.207229756203133e-12,7.696469871910233e-11,7.983380438876696e-11,-0.0089553367977255
sparc,ESO116-G012,2.68,1.774834437086093,80.2,44.573216733818974,7.777918664506616e-11,2.402495677677317e-11,5.6831176276818916e-12,6.351125557893632e-11,6.467608986719855e-11,-0.0349255377372416
