sample,galaxy,n_rings,dlnB_locked_minus_MOND,dlnB_alt_ML_convention,dlnL_sum_at_joint_sigma,lnZ_gate,lnZ_mond,sigma_int_gate_dex,sigma_int_mond_dex,morph_type_T,class_dwarf_or_spiral,class_HSB_LSB,distance_Mpc,e_distance_Mpc,distance_method_code,inclination_deg,e_inclination_deg,Vflat_kms,e_Vflat_kms,Mbar_Msun,Mstar_Msun,Mgas_Msun,gas_fraction,central_SB_disk_Lsun_pc2,SB_eff_Lsun_pc2,mean_Sigma_bar_Msun_pc2,Rdisk_kpc,Reff_kpc,RHI_kpc,R_min_kpc,R_max_kpc,R_min_over_Rd,R_max_over_Rd,gbar_median,gobs_median,quality_flag,abs_Vmag,abs_Bmag,metallicity_12logOH,y_star_fit
sparc,NGC4217,19,0.10670266943982121,,0.24119999267915604,-6.195506329259839,-6.30220899869966,0.2839281575590108,0.2855832874584449,3.0,spiral_T<8,HSB,18.0,2.5,4,86.0,2.0,181.3,7.2,46056960000.0,42649500000.0,3407460000.0,0.0739836063865266,4373.51,483.98,52.441227648932745,2.94,5.28,16.7,0.87,16.72,0.29591836734693877,5.687074829931973,1.1192206538332043e-10,1.2315298881064571e-10,1,,,,
sparc,NGC4559,32,0.3993517643057025,,0.3491798775343929,19.431813446802394,19.03246168249669,0.11246776157510757,0.11342833622065474,6.0,spiral_T<8,HSB,9.0,2.7,1,67.0,1.0,121.2,5.1,17417130000.0,9688500000.0,7728630000.000001,0.4437372862233905,1602.62,211.27,12.607525631453171,2.1,3.82,21.16,0.67,20.97,0.3190476190476191,9.985714285714284,1.8172463780242682e-11,4.358037188201799e-11,1,,,,
sparc,NGC5005,18,0.12753523105391906,,0.04012392590442937,26.51277719202028,26.38524196096636,0.009055504803966942,0.009212366891179205,4.0,spiral_T<8,LSB,16.9,1.5,5,68.0,2.0,262.2,20.7,91062400000.0,89360000000.0,1702400000.0000002,0.018694872966229754,96.57,1789.91,220.3242922450578,9.45,3.97,10.41,0.49,11.47,0.05185185185185186,1.2137566137566138,3.936165032063209e-10,4.6325314366857223e-10,1,,,,
sparc,NGC5033,22,0.06541650285797473,,0.04900187309747861,30.8219070806378,30.756490577779825,0.04798268897381678,0.04808777276503074,5.0,spiral_T<8,HSB,15.7,4.7,1,66.0,1.0,194.2,3.6,70302120000.0,55254500000.0,15047620000.0,0.21404219389116572,614.94,2036.24,11.254950886995168,5.16,2.94,29.53,0.76,44.59,0.14728682170542634,8.641472868217054,2.4906788183677224e-11,7.595662325693611e-11,1,,,,
sparc,NGC5055,28,0.1046537984941125,,0.09247302330259399,19.20546107878514,19.10080728029103,0.11002475491626107,0.11038117981665256,4.0,spiral_T<8,HSB,9.9,0.3,2,55.0,6.0,179.0,4.9,92051260000.0,76461000000.0,15590260000.0,0.16936498207629097,3348.34,1383.02,9.832267287339683,3.2,4.18,35.06,0.72,54.59,0.22499999999999998,17.059375,5.365845117377201e-11,8.693096018799219e-11,1,,,,
sparc,NGC5371,19,-0.04183596610611495,,-0.06330242322322066,6.160163222071986,6.201999188178101,0.15604881607070178,0.15571403671121833,4.0,spiral_T<8,HSB,39.7,9.92,1,53.0,2.0,209.5,3.9,185065900000.0,170196500000.0,14869400000.0,0.08034651440378805,1395.82,560.83,27.55122287990295,7.44,9.8,30.03,1.45,46.24,0.19489247311827956,6.21505376344086,7.330056139584842e-11,9.318203064862286e-11,1,,,,
sparc,NGC5585,24,4.454822674304477,,3.79489584077767,14.298351036399854,9.843528362095377,0.11154651019172573,0.1364246910708284,7.0,spiral_T<8,HSB,7.06,2.12,1,51.0,2.0,90.3,2.4,3709890000.0000005,1471500000.0,2238390000.0000005,0.6033575119477936,297.05,90.54,9.830826959134605,1.53,2.27,10.92,0.09,10.96,0.058823529411764705,7.163398692810458,1.829928667456688e-11,4.2247610511824395e-11,1,,,,
sparc,NGC5907,19,-0.03482602533999213,,0.012320543172338105,19.096780346877534,19.131606372217526,0.07658406687360696,0.07643659417288406,5.0,spiral_T<8,HSB,17.3,0.9,2,88.0,2.0,215.0,2.9,115675750000.0,87712500000.0,27963250000.0,0.24173822084576932,8646.29,449.6,14.53578834164004,5.34,7.88,0.0,5.03,50.33,0.9419475655430712,9.425093632958802,2.1993687329283417e-11,6.139801543271386e-11,1,,,,
sparc,NGC5985,33,-0.026965210180025068,,-0.2976095533286711,-6.669937458800417,-6.642972248620392,0.2750212460677211,0.27479558745436433,3.0,spiral_T<8,HSB,39.7,9.9,1,60.0,2.0,293.6,8.6,119773380000.0,104364000000.0,15409380000.0,0.12865446395517935,1461.61,288.95,31.626490325872208,7.01,10.71,39.5,3.54,34.72,0.5049928673323824,4.9529243937232525,5.6013276710763737e-11,1.7910485847980377e-10,1,,,,
sparc,NGC6015,44,-2.20313859215873,,-1.108628753090714,36.36283294935184,38.56597154151057,0.09738243262613452,0.09250715626877816,6.0,spiral_T<8,HSB,17.0,5.1,1,60.0,2.0,154.1,7.0,23823720000.0,16064499999.999998,7759220000.0,0.32569304877659744,1926.77,331.76,8.875688926809314,2.3,3.92,21.43,0.34,29.23,0.14782608695652177,12.708695652173914,2.4500898013689404e-11,6.365033334300169e-11,2,,,,
