survey,CID,IDSURVEY,zCMB,zCMBERR,zHEL,zHELERR,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB
PS1MD,100358,15,0.36613,0.001,0.3678,0.001,-0.057445,0.09996,-0.430147,0.67219,21.7789,0.13122,3.4869e-05,4.21407e-06,0.0500197,-2.37589e-06,-4.24682e-07,352.444,0.5905,-999,-999,22.1988,-22.4201,250,0.0306766,9.553,0.972,55518.5,0.5966,13,9.14144,0.76218
PS1MD,190209,15,0.36648,0.001,0.3681,0.001,-0.074744,0.034772,0.5017,0.34374,21.7085,0.0458927,3.72063e-05,1.57266e-06,0.00304546,-2.84275e-07,-3.77812e-08,333.082,1.0359,-999,-999,18.6,-19.0332,250,0.0339378,11.5,0.093,55794.9,0.397,49,35.5738,0.92444
PS1MD,350083,15,0.3678,0.001,0.367,0.001,-0.051356,0.031765,0.82654,0.36964,21.7814,0.0401618,3.47895e-05,1.28688e-06,0.000675415,-1.2088e-07,-3.13414e-08,130.138,44.3739,-999,-999,21.5536,-20.9228,250,0.0209094,9.755,0.426,55945.6,0.5642,42,46.7595,0.28331
SNLS,04D1hd,4,0.36791,0.001,0.369,0.001,-0.097547,0.021907,0.78582,0.067924,21.8953,0.0263619,3.13238e-05,7.60548e-07,-0.000130244,-2.62924e-09,-1.28767e-08,36.5368,-4.1096,-999,-999,-9.0,-17.8129,250,0.0238203,8.199,0.0905,53268.3,0.0824,45,61.5832,0.0506484
SDSS,15704,1,0.36952,4e-05,0.37055,4e-05,-0.172779,0.057262,0.085321,0.75488,21.8137,0.06901,3.37705e-05,2.14647e-06,0.0106638,-6.90148e-07,-2.07672e-08,40.2107,0.6588,-9,-9,6.313,-20.5501,250,0.0337006,10.933,0.115,54043.2,0.7374,42,29.8237,0.92066
SDSS,18091,1,0.36977,3e-05,0.37114,3e-05,-0.188739,0.064773,-0.623954,0.6937,21.6275,0.0866072,4.00848e-05,3.19749e-06,0.0157843,-1.70411e-06,-6.61958e-08,23.3675,0.5247,-9,-9,1.352,-22.8517,250,0.0216013,10.972,0.086,54372.2,0.612,75,57.2503,0.93661
PS1MD,510578,15,0.37012,0.01,0.37,0.01,-0.128463,0.032352,0.58467,0.30594,21.7516,0.0458564,3.57577e-05,1.51024e-06,0.0021836,-3.173e-07,-3.53406e-08,241.233,53.9121,-999,-999,22.184,-24.6625,250,0.00883132,9.8142,0.1,56438.8,0.2817,57,55.3217,0.53828
SNLS,04D2cf,4,0.37059,0.001,0.369,0.001,-0.021378,0.03431,-0.854231,0.2151,22.196,0.0492896,2.37464e-05,1.07802e-06,-0.00299885,1.27624e-07,-3.25299e-08,150.484,1.8795,-999,-999,-9.0,16.1049,250,0.0159399,10.809,0.1575,53075.9,0.9224,18,17.5572,0.48516
SNLS,05D4bm,4,0.37051,0.001,0.372,0.001,-0.072812,0.022255,0.2366,0.070196,21.9481,0.0274347,2.9836e-05,7.53906e-07,0.000105215,-1.19353e-08,-1.41325e-08,334.269,-17.6776,-999,-999,-9.0,-5.0388,250,0.0232795,9.047,0.077,53568.0,0.0721,53,65.8227,0.11109
SDSS,13136,1,0.37046,4e-05,0.37206,4e-05,-0.104564,0.061461,0.72897,0.91339,22.0453,0.0745525,2.7283e-05,1.8734e-06,0.0128232,-8.70678e-07,-2.9065e-08,6.1407,-0.2791,-9,-9,2.44,-22.6729,250,0.020653,11.433,0.093,53993.9,1.1861,67,51.3254,0.92192
SNLS,05D3jr,4,0.37053,0.01,0.37,0.01,0.040328,0.022704,-0.897467,0.12171,22.3578,0.0263611,2.04586e-05,4.96723e-07,-0.000218261,4.67672e-09,-9.00313e-09,214.87,52.8648,-999,-999,-9.0,-20.1544,250,0.00655006,8.008,0.833,53494.7,0.2764,41,61.4077,0.021078
PS1MD,390471,15,0.37053,0.001,0.37,0.001,-0.16138,0.027675,0.92407,0.3048,21.323,0.0337242,5.30636e-05,1.64822e-06,0.00111187,-2.02789e-07,-3.29676e-08,214.52,53.014,-999,-999,19.555,-20.2286,250,0.00940109,10.504,0.209,56068.9,0.3243,29,53.5659,0.00362823
