spectrum,kind,lens_map,galaxy_bin,band,ell_eff,ell_lo,ell_hi,Cl,sigma_Cl
DR6_LRGz4,kappa_g,DR6,LRGz4,6,358.5,317,401,1.0474721321e-07,1.1926630142e-08
DR6_LRGz4,kappa_g,DR6,LRGz4,7,447.5,401,495,7.8936116347e-08,9.1469260703e-09
DR6_LRGz4,kappa_g,DR6,LRGz4,8,547.0000000000001,495,600,5.6905883619e-08,7.4172090545e-09
DR6_LRGz4,kappa_g,DR6,LRGz4,9,656.0000000000005,600,713,4.8586758593e-08,6.4194558592e-09
DR6_LRGz4,kappa_g,DR6,LRGz4,10,774.5000000000001,713,837,2.9589455830e-08,5.4362258150e-09
DR6_LRGz4,kappa_g,DR6,LRGz4,11,903.4999999999999,837,971,2.8117670433e-08,4.7796779207e-09
BGSz1_BGSz1,gg,-,BGSz1,0,31.5,20,44,6.9905333866e-05,4.6901344497e-06
BGSz1_BGSz1,gg,-,BGSz1,1,61.00000000000001,44,79,3.6780317620e-05,1.3307980669e-06
BGSz1_BGSz1,gg,-,BGSz1,2,101.0,79,124,1.6979058481e-05,4.3911103341e-07
BGSz1_BGSz1,gg,-,BGSz1,3,150.49999999999997,124,178,1.0038143879e-05,1.8260197221e-07
BGSz1_BGSz1,gg,-,BGSz1,4,210.00000000000003,178,243,6.5518381878e-06,8.8778809989e-08
BGSz1_BGSz1,gg,-,BGSz1,5,279.5,243,317,4.6768990322e-06,5.0090432065e-08
BGSz1_BGSz1,gg,-,BGSz1,6,358.5,317,401,3.5711259092e-06,3.1143541837e-08
BGSz1_BGSz1,gg,-,BGSz1,7,447.5,401,495,2.8932556401e-06,2.1003122520e-08
BGSz1_BGSz1,gg,-,BGSz1,8,547.0000000000001,495,600,2.3948011648e-06,1.5304336842e-08
BGSz1_BGSz1,gg,-,BGSz1,9,656.0000000000005,600,713,2.0615429060e-06,1.2016467724e-08
BGSz1_BGSz1,gg,-,BGSz1,10,774.5000000000001,713,837,1.8130945802e-06,9.5049866987e-09
BGSz1_BGSz1,gg,-,BGSz1,11,903.4999999999999,837,971,1.6042488946e-06,7.5453466000e-09
BGSz2_BGSz2,gg,-,BGSz2,0,31.5,20,44,5.6433100499e-05,3.5182899949e-06
BGSz2_BGSz2,gg,-,BGSz2,1,61.00000000000001,44,79,3.2380473968e-05,1.1636493302e-06
BGSz2_BGSz2,gg,-,BGSz2,2,101.0,79,124,1.7035685443e-05,4.3724274701e-07
BGSz2_BGSz2,gg,-,BGSz2,3,150.49999999999997,124,178,1.0048488759e-05,1.9263265758e-07
BGSz2_BGSz2,gg,-,BGSz2,4,210.00000000000003,178,243,6.8747393622e-06,9.5623454322e-08
BGSz2_BGSz2,gg,-,BGSz2,5,279.5,243,317,4.8686475319e-06,5.5072805517e-08
BGSz2_BGSz2,gg,-,BGSz2,6,358.5,317,401,3.8146142297e-06,3.5074035116e-08
BGSz2_BGSz2,gg,-,BGSz2,7,447.5,401,495,3.0972585393e-06,2.4260860598e-08
BGSz2_BGSz2,gg,-,BGSz2,8,547.0000000000001,495,600,2.6557691052e-06,1.7731581684e-08
BGSz2_BGSz2,gg,-,BGSz2,9,656.0000000000005,600,713,2.3740758875e-06,1.3790195805e-08
BGSz2_BGSz2,gg,-,BGSz2,10,774.5000000000001,713,837,2.1505607592e-06,1.0968234613e-08
BGSz2_BGSz2,gg,-,BGSz2,11,903.4999999999999,837,971,1.9809429567e-06,9.0350046880e-09
LRGz1_LRGz1,gg,-,LRGz1,0,31.5,20,44,7.3500636698e-05,4.1315515603e-06
LRGz1_LRGz1,gg,-,LRGz1,1,61.00000000000001,44,79,4.4387586867e-05,1.5273633680e-06
LRGz1_LRGz1,gg,-,LRGz1,2,101.0,79,124,2.7525081559e-05,6.8257299964e-07
LRGz1_LRGz1,gg,-,LRGz1,3,150.49999999999997,124,178,1.7869046052e-05,3.2304084905e-07
LRGz1_LRGz1,gg,-,LRGz1,4,210.00000000000003,178,243,1.3072265150e-05,1.7976565159e-07
LRGz1_LRGz1,gg,-,LRGz1,5,279.5,243,317,1.0377896776e-05,1.1369595099e-07
LRGz1_LRGz1,gg,-,LRGz1,6,358.5,317,401,8.5939011509e-06,7.8595679883e-08
LRGz1_LRGz1,gg,-,LRGz1,7,447.5,401,495,7.5961240016e-06,5.8322562677e-08
LRGz1_LRGz1,gg,-,LRGz1,8,547.0000000000001,495,600,6.9188383384e-06,4.5386584735e-08
LRGz1_LRGz1,gg,-,LRGz1,9,656.0000000000005,600,713,6.4779827117e-06,3.7197901796e-08
LRGz1_LRGz1,gg,-,LRGz1,10,774.5000000000001,713,837,6.0406299664e-06,3.0976398235e-08
LRGz1_LRGz1,gg,-,LRGz1,11,903.4999999999999,837,971,5.8118318088e-06,2.6428884390e-08
LRGz2_LRGz2,gg,-,LRGz2,0,31.5,20,44,4.4366950379e-05,2.6025177967e-06
LRGz2_LRGz2,gg,-,LRGz2,1,61.00000000000001,44,79,3.0475995803e-05,1.0939059848e-06
LRGz2_LRGz2,gg,-,LRGz2,2,101.0,79,124,2.0794064809e-05,4.9493425246e-07
LRGz2_LRGz2,gg,-,LRGz2,3,150.49999999999997,124,178,1.3661185889e-05,2.4633048079e-07
LRGz2_LRGz2,gg,-,LRGz2,4,210.00000000000003,178,243,9.8591570811e-06,1.3325046665e-07
LRGz2_LRGz2,gg,-,LRGz2,5,279.5,243,317,7.3916334697e-06,8.0671187718e-08
LRGz2_LRGz2,gg,-,LRGz2,6,358.5,317,401,5.9391356116e-06,5.3903465285e-08
LRGz2_LRGz2,gg,-,LRGz2,7,447.5,401,495,5.0053543585e-06,3.8584175399e-08
LRGz2_LRGz2,gg,-,LRGz2,8,547.0000000000001,495,600,4.4054410398e-06,2.9071974177e-08
LRGz2_LRGz2,gg,-,LRGz2,9,656.0000000000005,600,713,4.0591878380e-06,2.3282943721e-08
LRGz2_LRGz2,gg,-,LRGz2,10,774.5000000000001,713,837,3.7797769923e-06,1.8998206103e-08
LRGz2_LRGz2,gg,-,LRGz2,11,903.4999999999999,837,971,3.5111917925e-06,1.5982874304e-08
LRGz3_LRGz3,gg,-,LRGz3,0,31.5,20,44,3.6969305364e-05,2.0072170423e-06
LRGz3_LRGz3,gg,-,LRGz3,1,61.00000000000001,44,79,2.6798518548e-05,9.5986846741e-07
LRGz3_LRGz3,gg,-,LRGz3,2,101.0,79,124,1.8376060221e-05,4.3544663380e-07
LRGz3_LRGz3,gg,-,LRGz3,3,150.49999999999997,124,178,1.3439610876e-05,2.3864747082e-07
LRGz3_LRGz3,gg,-,LRGz3,4,210.00000000000003,178,243,9.1529439026e-06,1.2493664061e-07
LRGz3_LRGz3,gg,-,LRGz3,5,279.5,243,317,7.0661987150e-06,7.8626738882e-08
LRGz3_LRGz3,gg,-,LRGz3,6,358.5,317,401,5.7861342067e-06,5.1492976064e-08
LRGz3_LRGz3,gg,-,LRGz3,7,447.5,401,495,4.7957054436e-06,3.6654466970e-08
LRGz3_LRGz3,gg,-,LRGz3,8,547.0000000000001,495,600,4.2554943415e-06,2.7459254064e-08
LRGz3_LRGz3,gg,-,LRGz3,9,656.0000000000005,600,713,3.8191405606e-06,2.1799301233e-08
LRGz3_LRGz3,gg,-,LRGz3,10,774.5000000000001,713,837,3.5388686758e-06,1.7710134606e-08
LRGz3_LRGz3,gg,-,LRGz3,11,903.4999999999999,837,971,3.3181946413e-06,1.4813268268e-08
LRGz4_LRGz4,gg,-,LRGz4,0,31.5,20,44,2.6002696149e-05,1.3517340044e-06
LRGz4_LRGz4,gg,-,LRGz4,1,61.00000000000001,44,79,2.1206924053e-05,7.0225938225e-07
LRGz4_LRGz4,gg,-,LRGz4,2,101.0,79,124,1.3884624645e-05,3.3101686678e-07
LRGz4_LRGz4,gg,-,LRGz4,3,150.49999999999997,124,178,1.0846574319e-05,1.8859354877e-07
LRGz4_LRGz4,gg,-,LRGz4,4,210.00000000000003,178,243,7.6761617051e-06,1.0489876894e-07
LRGz4_LRGz4,gg,-,LRGz4,5,279.5,243,317,6.1611112308e-06,6.7192069550e-08
LRGz4_LRGz4,gg,-,LRGz4,6,358.5,317,401,4.9604055355e-06,4.5364297892e-08
LRGz4_LRGz4,gg,-,LRGz4,7,447.5,401,495,4.4132818419e-06,3.3231042469e-08
LRGz4_LRGz4,gg,-,LRGz4,8,547.0000000000001,495,600,3.9550218186e-06,2.5307407569e-08
LRGz4_LRGz4,gg,-,LRGz4,9,656.0000000000005,600,713,3.5935351957e-06,2.0445783101e-08
LRGz4_LRGz4,gg,-,LRGz4,10,774.5000000000001,713,837,3.3537166717e-06,1.6825969545e-08
LRGz4_LRGz4,gg,-,LRGz4,11,903.4999999999999,837,971,3.2020735947e-06,1.4251850564e-08
