element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Al	1	"291.3267"	"291.3266"	"3"	""		"5.2368177"	"9.491421"	"3s2.4d"	"2D"	"5/2"	"3s.3p.(3P*).4d"	"2D*"	"5/2"	6	6		""	"L4737"	
Al	1	"291.566"	"291.5622"	"2"	""		"5.2363166"	"9.48748"	"3s2.4d"	"2D"	"3/2"	"3s.3p.(3P*).4d"	"2D*"	"3/2"	4	4		""	"L3514"	
Al	1	"292.7930"	"292.7930"	"5"	""		"4.8271968"	"9.06049"	"3s2.nd"	"y 2D"	"5/2"	"3s.3p.(3P*).3d"	"2F*"	"7/2"	6	8		""	"L3514"	
Al	1	"293.604"	"293.6043"	"3"	""		"4.8266321"	"9.04823"	"3s2.nd"	"y 2D"	"3/2"	"3s.3p.(3P*).3d"	"2F*"	"5/2"	4	6		""	"L3514"	
Al	3	""	"296.1005"	""	"1.58e+05"	B+	"20.781332"	"24.967343"	"2p6.4f"	"2F*"	"5/2"	"2p6.6d"	"2D"	"5/2"	6	6		"c32"	""	
Al	3	"296.106"	"296.0974"	"2*"	"3.33e+06"	A	"20.781332"	"24.967387"	"2p6.4f"	"2F*"	"5/2"	"2p6.6d"	"2D"	"3/2"	6	4		"c32"	"L3473"	
Al	3	"296.106"	"296.1060"	"2*"	"3.17e+06"	A	"20.781409"	"24.967343"	"2p6.4f"	"2F*"	"7/2"	"2p6.6d"	"2D"	"5/2"	8	6		"c32"	"L3473"	
Al	2	"299.4277"	"299.4273"	"50"	"4.04e+06"	C	"13.071347"	"17.210850"	"3s.4p"	"3P*"	"0"	"3s.6d"	"3D"	"1"	1	3		"T6298c4,LS"	"L4575"	
Al	2	"299.5525"	"299.5528"	"400"	"5.44e+06"	C+	"13.073080"	"17.210850"	"3s.4p"	"3P*"	"1"	"3s.6d"	"3D"	"2"	3	5		"T6298c4,LS"	"L4575"	
Al	2	""	"299.5528"	""	"3.03e+06"	C	"13.073080"	"17.210850"	"3s.4p"	"3P*"	"1"	"3s.6d"	"3D"	"1"	3	3		"T6298c4,LS"	""	
Al	1	"299.629"	"299.6309"	"3"	""		"5.6221371"	"9.758828"	"3s2.6d"	"2D"	"5/2"	"3s.3p.(3P*).4d"	"2F*"	"7/2"	6	8		""	"L3514"	
Al	2	"299.8150"	"299.8149"	"500"	"7.26e+06"	C+	"13.076729"	"17.210881"	"3s.4p"	"3P*"	"2"	"3s.6d"	"3D"	"3"	5	7		"T6298c4,LS"	"L4575"	
Al	2	""	"299.8172"	""	"2.01e+05"	D	"13.076729"	"17.210850"	"3s.4p"	"3P*"	"2"	"3s.6d"	"3D"	"1"	5	3		"T6298c4,LS"	""	
Al	2	""	"299.8172"	""	"1.81e+06"	C	"13.076729"	"17.210850"	"3s.4p"	"3P*"	"2"	"3s.6d"	"3D"	"2"	5	5		"T6298c4,LS"	""	
Al	2	"300.1790"	"300.1788"	"30"	""		"13.841265"	"17.970406"	"3p2"	"1S"	"0"	"3s.9p"	"1P*"	"1"	1	3		""	"L4575"	
Al	1	"300.502"	"300.5010"	"1"	""		"5.6219600"	"9.746674"	"3s2.6d"	"2D"	"3/2"	"3s.3p.(3P*).4d"	"2F*"	"5/2"	4	6		""	"L3514"	
Al	2	"302.2789"	"302.2792"	"15"	"2.68e+06"	E	"13.071347"	"17.171798"	"3s.4p"	"3P*"	"0"	"3s.7s"	"3S"	"1"	1	3		"T6298c4,LS"	"L4575"	
Al	2	"302.4077"	"302.4070"	"200"	"8.02e+06"	D	"13.073080"	"17.171798"	"3s.4p"	"3P*"	"1"	"3s.7s"	"3S"	"1"	3	3		"T6298c4,LS"	"L4575"	
Al	2	"302.6761"	"302.6765"	"500"	"1.33e+07"	C	"13.076729"	"17.171798"	"3s.4p"	"3P*"	"2"	"3s.7s"	"3S"	"1"	5	3		"T6298c4,LS"	"L4575"	
Al	2	"304.1276"	"304.1276"	"750"	""		"13.649399"	"17.724930"	"3s.3d"	"1D"	"2"	"3s.8p"	"1P*"	"1"	5	3		""	"L4575"	
Al	1	"305.0073"	"305.0072"	"13"	""		"3.603844"	"7.667622"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).4s"	"4P*"	"5/2"	4	6		""	"L4737"	
Al	1	"305.4679"	"305.4679"	"5"	""		"3.598072"	"7.655722"	"3s.3p2"	"4P"	"1/2"	"3s.3p.(3P*).4s"	"4P*"	"3/2"	2	4		""	"L4737"	
Al	1	"305.7144"	"305.7144"	"14"	""		"3.613244"	"7.667622"	"3s.3p2"	"4P"	"5/2"	"3s.3p.(3P*).4s"	"4P*"	"5/2"	6	6		""	"L4737"	
Al	1	"305.9029"	"305.9030"	"4"	""		"3.603844"	"7.655722"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).4s"	"4P*"	"3/2"	4	4		""	"L4737"	
Al	1	"305.9924"	"305.9924"	"4"	""		"3.598072"	"7.648766"	"3s.3p2"	"4P"	"1/2"	"3s.3p.(3P*).4s"	"4P*"	"1/2"	2	2		""	"L4737"	
Al	1	"306.4290"	"306.4290"	"7"	""		"3.603844"	"7.648766"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).4s"	"4P*"	"1/2"	4	2		""	"L4737"	
Al	1	"306.512"	"306.5094"	"1"	""		"5.7149663"	"9.758828"	"3s2.7d"	"2D"	"5/2"	"3s.3p.(3P*).4d"	"2F*"	"7/2"	6	8		""	"L3514"	
Al	1	"306.6145"	"306.6144"	"5"	""		"3.613244"	"7.655722"	"3s.3p2"	"4P"	"5/2"	"3s.3p.(3P*).4s"	"4P*"	"3/2"	6	4		""	"L4737"	
Al	2	"307.4691"	"307.4684"	"750"	"9.02e+06"	C	"13.649399"	"17.680649"	"3s.3d"	"1D"	"2"	"3s.7f"	"1F*"	"3"	5	7		"T6533"	"L4575"	
Al	1	"308.21529"	"308.21510"	"24g"	"5.87e+07"	B+	"0.0000000"	"4.0214836"	"3s2.3p"	"2P*"	"1/2"	"3s2.3d"	"2D"	"3/2"	2	4		"c40,T5653"	"L4737"	
Al	1	"308.702"	"308.6989"	"5"	""		"5.4762391"	"9.491421"	"3s2.5d"	"2D"	"5/2"	"3s.3p.(3P*).4d"	"2D*"	"5/2"	6	6		""	"L3514"	
Al	2	"308.8516"	"308.8518"	"800"	"1.08e+07"	B	"13.256460"	"17.269654"	"3s.4p"	"1P*"	"1"	"3s.6d"	"1D"	"2"	3	5		"T6533"	"L4575"	
Al	1	"308.982"	"308.9786"	"1"	""		"5.4759355"	"9.48748"	"3s2.5d"	"2D"	"3/2"	"3s.3p.(3P*).4d"	"2D*"	"3/2"	4	4		""	"L3514"	
Al	1	"309.27099"	"309.27084"	"26g"	"7.29e+07"	B+	"0.0138938"	"4.0216502"	"3s2.3p"	"2P*"	"3/2"	"3s2.3d"	"2D"	"5/2"	4	6		"c40,T7070"	"L4737"	
Al	1	"309.28386"	"309.28369"	"20g"	"1.16e+07"	B	"0.0138938"	"4.0214836"	"3s2.3p"	"2P*"	"3/2"	"3s2.3d"	"2D"	"3/2"	4	4		"c40"	"L4737"	
Al	2	"313.5848"	"313.5850"	"75"	""		"13.256460"	"17.209081"	"3s.4p"	"1P*"	"1"	"3s.7s"	"1S"	"0"	3	1		""	"L4575"	
Al	3	"318.0111"	"318.0100"	"3d"	"1.04e+07"	A	"22.122926"	"26.020550"	"2p6.5p"	"2P*"	"1/2"	"2p6.8s"	"2S"	"1/2"	2	2		"c32"	"L277"	
Al	3	"318.3824"	"318.3836"	"4d"	"2.08e+07"	A	"22.127500"	"26.020550"	"2p6.5p"	"2P*"	"3/2"	"2p6.8s"	"2S"	"1/2"	4	2		"c32"	"L277"	
Al	2	"319.1529"	"319.1531"	"2"	""		"13.841265"	"17.724930"	"3p2"	"1S"	"0"	"3s.8p"	"1P*"	"1"	1	3		""	"L4575"	
Al	1	"320.339"	"320.3394"	"4"	""		"5.6221371"	"9.491421"	"3s2.6d"	"2D"	"5/2"	"3s.3p.(3P*).4d"	"2D*"	"5/2"	6	6		""	"L3514"	
Al	1	"324.159"	"324.1605"	"3"	""		"5.2368177"	"9.06049"	"3s2.4d"	"2D"	"5/2"	"3s.3p.(3P*).3d"	"2F*"	"7/2"	6	8		""	"L3514"	
Al	1	"325.160"	"325.1607"	"2"	""		"5.2363166"	"9.04823"	"3s2.4d"	"2D"	"3/2"	"3s.3p.(3P*).3d"	"2F*"	"5/2"	4	6		""	"L3514"	
Al	2	"327.5767"	"327.5766"	"80"	"7.41e+06"	C+	"11.821968"	"15.6057689"	"3s.4s"	"1S"	"0"	"3s.5p"	"1P*"	"1"	1	3		"T6533"	"L4575"	
Al	1	"328.220"	"328.2139"	"3"	""		"5.7149663"	"9.491421"	"3s2.7d"	"2D"	"5/2"	"3s.3p.(3P*).4d"	"2D*"	"5/2"	6	6		""	"L3514"	
Al	3	"328.3316"	"328.3299"	"2d"	"1.99e+06"	B+	"22.122926"	"25.898046"	"2p6.5p"	"2P*"	"1/2"	"2p6.7d"	"2D"	"3/2"	2	4		"c32"	"L277"	
