element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Na	3	"251.0264"	"0.0005"	"251.0264"	"0.0018"	"17"	"2.19e+08"	A	"45.507242"	"50.444845"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4P*"	"1/2"	4	2		"c51,T7317"	"L1882"	
Na	1	""	""	"251.213407"	"0.000013"	""	"3.20e+04"	D+	"0.000000000"	"[4.93392762]"	"2p6.3s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"3/2"	2	4		"c30,T76n"	""	
Na	1	""	""	"251.215497"	"0.000013"	""	"3.10e+04"	C	"0.000000000"	"[4.93388658]"	"2p6.3s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"1/2"	2	2		"c30,T76n"	""	
Na	2	"251.4412"	"0.0003"	"251.4396"	"0.0009"	"45"	""		"41.012615"	"45.942104?"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).6f"	"2[5/2]"	"3"	5	7		""	"L914"	
Na	2	"251.5455"	"0.0003"	"251.5457"	"0.0009"	"600"	"2.25e+07"	C+	"36.354688"	"41.282097"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"2"	3	5		"T6036"	"L914"	
Na	2	"252.5647"	"0.0003"	"252.5649"	"0.0009"	"50"	"2.78e+05"	D	"36.354688"	"41.262215"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"2"	3	5		"T7663"	"L914"	
Na	2	"252.7705"	"0.0003"	""	""	"40"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	3	"253.0249"	"0.0005"	"253.0246"	"0.0018"	"15"	"3.65e+07"	B+	"45.507242"	"50.405854"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4P*"	"3/2"	4	4		"c51,T7317"	"L1882"	
Na	2	"253.1538"	"0.0003"	"253.1540"	"0.0009"	"600"	"8.44e+07"	C+	"36.354688"	"41.250796"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"0"	3	1		"T7663"	"L914"	
Na	3	"254.2791"	"0.0005"	"254.2799"	"0.0018"	"14"	"3.39e+07"	B+	"45.570413"	"50.444845"	"2s2.2p4.(3P).3s"	"4P"	"1/2"	"2s2.2p4.(3P).3p"	"4P*"	"1/2"	2	2		"c51,T7317"	"L1882"	
Na	1	"254.382"	"0.0004"	"254.38405"	"0.00013"	""	"4.46e+04"	C+	"0.000000000"	"4.8724352"	"2p6.3s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"3/2"	2	4		"c30,T76n"	"L15055,L6096"	
Na	1	"254.388"	"0.0004"	"254.38722"	"0.00013"	""	"4.35e+04"	C+	"0.000000000"	"4.8723744"	"2p6.3s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"1/2"	2	2		"c30,T76n"	"L15055,L6096"	
Na	2	"254.5095"	"0.0003"	""	""	"25"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"254.6279"	"0.0003"	""	""	"35"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"254.6939"	"0.0003"	""	""	"20"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	3	"255.354"	"0.0010"	"255.3546"	"0.0018"	"4d"	"5.52e+07"	A	"45.507242"	"50.361160"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4P*"	"5/2"	4	6		"c51,T7317"	"L7396"	
Na	2	"255.8022"	"0.0003"	""	""	"15"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"255.9971"	"0.0003"	"255.9950"	"0.0009"	"10"	""		"41.100329"	"45.942104?"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).6f"	"2[5/2]"	"3"	5	7		""	"L914"	
Na	3	"256.332"	"0.0010"	"256.3304"	"0.0019"	"4d"	"7.92e+07"	A	"45.570413"	"50.405854"	"2s2.2p4.(3P).3s"	"4P"	"1/2"	"2s2.2p4.(3P).3p"	"4P*"	"3/2"	2	4		"c51,T7317"	"L7396"	
