element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Si	3	"281.711"	"281.7113"	"9"	"2.22e+07"	C+	"25.987051"	"30.386863"	"3s.4f"	"3F*"	"4"	"3p.4p"	"3D"	"3"	9	7		"T6298c4,LS"	"L4833"	
Si	3	""	"282.9251"	""	"2.66e+06"	D+	"25.978583"	"30.359521"	"3s.4f"	"3F*"	"2"	"3p.4p"	"3D"	"2"	5	5		"T6298c4,LS"	""	
Si	3	""	"283.0017"	""	"3.07e+07"	D	"26.598599"	"30.978352"	"3s.5p"	"1P*"	"1"	"3s.8s"	"1S"	"0"	3	1		"T6298c4"	""	
Si	3	"283.149"	"283.1489"	"7"	"2.12e+07"	C+	"25.982046"	"30.359521"	"3s.4f"	"3F*"	"3"	"3p.4p"	"3D"	"2"	7	5		"T6298c4,LS"	"L4833"	
Si	3	"283.962"	"283.9628"	"5"	"2.37e+07"	C	"25.978583"	"30.343512"	"3s.4f"	"3F*"	"2"	"3p.4p"	"3D"	"1"	5	3		"T6298c4,LS"	"L4833"	
Si	3	""	"287.4627"	""	"4.02e+07"	D+	"26.655272"	"30.967061"	"3s.5p"	"3P*"	"2"	"3s.8s"	"3S"	"1"	5	3		"T6298c4,LS"	""	
Si	3	""	"287.5072"	""	"2.41e+07"	D+	"26.655939"	"30.967061"	"3s.5p"	"3P*"	"1"	"3s.8s"	"3S"	"1"	3	3		"T6298c4,LS"	""	
Si	3	""	"287.5138"	""	"8.04e+06"	D	"26.656040"	"30.967061"	"3s.5p"	"3P*"	"0"	"3s.8s"	"3S"	"1"	1	3		"T6298c4,LS"	""	
Si	1	"288.1579"	"288.15777"	"1000"	"2.17e+08"	B	"0.7809579"	"5.0823459"	"3s2.3p2"	"1D"	"2"	"3s2.3p.4s"	"1P*"	"1"	5	3		"T5814"	"L3521"	
Si	2	""	"288.6138"	""	"7.08e+05"	D	"9.836720"	"14.131312"	"3s2.3d"	"2D"	"3/2"	"3s2.6p"	"2P*"	"3/2"	4	4		"T7166"	""	
Si	2	""	"288.7358"	""	"8.38e+06"	D	"9.836720"	"14.129497"	"3s2.3d"	"2D"	"3/2"	"3s2.6p"	"2P*"	"1/2"	4	2		"T6527c4,LS"	""	
Si	2	"288.751"	"288.7515"	"10w"	"6.39e+06"	D+	"9.838769"	"14.131312"	"3s2.3d"	"2D"	"5/2"	"3s2.6p"	"2P*"	"3/2"	6	4		"T7166"	"L3541"	
Si	2	"290.428"	"290.4283"	"300"	"3.58e+07"	C	"9.836720"	"14.104482"	"3s2.3d"	"2D"	"3/2"	"3s2.5f"	"2F*"	"5/2"	4	6		"T6527c4,LS"	"L3541"	
Si	2	""	"290.5678"	""	"2.55e+06"	D	"9.838769"	"14.104482"	"3s2.3d"	"2D"	"5/2"	"3s2.5f"	"2F*"	"5/2"	6	6		"T6527c4,LS"	""	
Si	2	"290.569"	"290.5692"	"500"	"3.83e+07"	C	"9.838769"	"14.104461"	"3s2.3d"	"2D"	"5/2"	"3s2.5f"	"2F*"	"7/2"	6	8		"T6527c4,LS"	"L3541"	
Si	3	""	"291.4480"	""	"4.47e+02"	B+	"21.725752"	"25.978583"	"3s.4p"	"3P*"	"0"	"3s.4f"	"3F*"	"2"	1	5	E2	"c44"	""	
Si	3	""	"291.4919"	""	"6.33e+02"	B+	"21.729855"	"25.982046"	"3s.4p"	"3P*"	"1"	"3s.4f"	"3F*"	"3"	3	7	E2	"c44"	""	
Si	3	""	"291.7295"	""	"4.44e+02"	B+	"21.729855"	"25.978583"	"3s.4p"	"3P*"	"1"	"3s.4f"	"3F*"	"2"	3	5	E2	"c44"	""	
Si	3	""	"291.7709"	""	"9.40e+02"	A	"21.738926"	"25.987051"	"3s.4p"	"3P*"	"2"	"3s.4f"	"3F*"	"4"	5	9	E2	"c44"	""	
Si	3	""	"292.1150"	""	"3.14e+02"	B+	"21.738926"	"25.982046"	"3s.4p"	"3P*"	"2"	"3s.4f"	"3F*"	"3"	5	7	E2	"c44"	""	
Si	3	""	"292.3537"	""	"6.30e+01"	B+	"21.738926"	"25.978583"	"3s.4p"	"3P*"	"2"	"3s.4f"	"3F*"	"2"	5	5	E2	"c44"	""	
Si	3	""	"292.8956"	""	"4.89e+06"	D	"26.655272"	"30.887085"	"3s.5p"	"3P*"	"2"	"3s.7d"	"3D"	"3"	5	7		"T6298c4,LS"	""	
Si	3	""	"293.0436"	""	"1.22e+06"	E	"26.655272"	"30.884947"	"3s.5p"	"3P*"	"2"	"3s.7d"	"3D"	"2"	5	5		"T6298c4,LS"	""	
Si	3	""	"293.0899"	""	"3.66e+06"	D	"26.655939"	"30.884947"	"3s.5p"	"3P*"	"1"	"3s.7d"	"3D"	"2"	3	5		"T6298c4,LS"	""	
Si	3	""	"293.133"	""	"1.36e+05"	E	"26.655272"	"30.88366"	"3s.5p"	"3P*"	"2"	"3s.7d"	"3D"	"1"	5	3		"T6298c4,LS"	""	
Si	3	""	"293.179"	""	"2.03e+06"	E	"26.655939"	"30.88366"	"3s.5p"	"3P*"	"1"	"3s.7d"	"3D"	"1"	3	3		"T6298c4,LS"	""	
Si	3	""	"293.186"	""	"2.71e+06"	E	"26.656040"	"30.88366"	"3s.5p"	"3P*"	"0"	"3s.7d"	"3D"	"1"	1	3		"T6298c4,LS"	""	
Si	2	""	"295.4127"	""	"1.47e-02"	D	"5.309535"	"9.505292"	"3s.3p2"	"4P"	"1/2"	"3s.3p2"	"2S"	"1/2"	2	2	M1	"c22"	""	
Si	3	"295.915"	"295.9153"	"5"	"1.48e+07"	C	"26.655272"	"30.843904"	"3s.5p"	"3P*"	"2"	"3p.4p"	"3S"	"1"	5	3		"T6298c4,LS"	"L4833"	
Si	3	""	"295.9624"	""	"8.90e+06"	C	"26.655939"	"30.843904"	"3s.5p"	"3P*"	"1"	"3p.4p"	"3S"	"1"	3	3		"T6298c4,LS"	""	
Si	3	""	"295.9695"	""	"2.97e+06"	D+	"26.656040"	"30.843904"	"3s.5p"	"3P*"	"0"	"3p.4p"	"3S"	"1"	1	3		"T6298c4,LS"	""	
Si	2	""	"296.3614"	""	"6.15e+00"	C+	"5.322966"	"9.505292"	"3s.3p2"	"4P"	"3/2"	"3s.3p2"	"2S"	"1/2"	4	2	E2	"c22"	""	
Si	2	""	"296.3614"	""	"7.13e-02"	D	"5.322966"	"9.505292"	"3s.3p2"	"4P"	"3/2"	"3s.3p2"	"2S"	"1/2"	4	2	M1	"c22"	""	
Si	1	"297.0355"	"297.03532"	"55"	"6.00e+04"	E	"0.7809579"	"4.9537952"	"3s2.3p2"	"1D"	"2"	"3s2.3p.4s"	"3P*"	"2"	5	5		"T5814"	"L3521"	
