element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Mg	2	"361.3781"	"361.3780"	"4"	"1.79e+05"	C+	"8.654711"	"12.084606"	"2p6.4s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"3/2"	2	4		"c31,T6870"	"L7414"	
Mg	2	"361.5583"	"361.5583"	"3"	"1.56e+05"	C+	"8.654711"	"12.082895"	"2p6.4s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"1/2"	2	2		"c31,T6870"	"L7414"	
Mg	1	""	"362.7628"	""	"5.62e+06"	C	"6.5878560"	"10.004658"	"3s.4d"	"1D"	"2"	"3p.3d"	"1D*"	"2"	5	5		"T6298c72"	""	
Mg	1	""	"363.58135"	""	"9.89e-05"	D	"2.7091049"	"6.1182146"	"3s.3p"	"3P*"	"0"	"3s.4p"	"1P*"	"1"	1	3	M1	"c43"	""	
Mg	1	""	"363.84678"	""	"7.38e-05"	D	"2.7115919"	"6.1182146"	"3s.3p"	"3P*"	"1"	"3s.4p"	"1P*"	"1"	3	3	M1	"c43"	""	
Mg	1	""	"363.84678"	""	"2.12e-04"	C	"2.7115919"	"6.1182146"	"3s.3p"	"3P*"	"1"	"3s.4p"	"1P*"	"1"	3	3	E2	"c43"	""	
Mg	3	"364.1320"	"364.1339"	"1"	""		"66.35381"	"69.75775"	"2s2.2p5.3d"	"3D*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	5	3		""	"L1434"	
Mg	1	""	"364.38674"	""	"1.22e-04"	D	"2.7166398"	"6.1182146"	"3s.3p"	"3P*"	"2"	"3s.4p"	"1P*"	"1"	5	3	M1	"c43"	""	
Mg	1	""	"364.38674"	""	"2.80e-04"	C	"2.7166398"	"6.1182146"	"3s.3p"	"3P*"	"2"	"3s.4p"	"1P*"	"1"	5	3	E2	"c43"	""	
Mg	3	"365.4040"	"365.4037"	"3"	""		"66.30389"	"69.69599"	"2s2.2p5.3d"	"1D*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	5	5		""	"L1434"	
Mg	3	"370.3930"	"370.3926"	"4"	""		"69.69599"	"73.04241"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	5	3		""	"L1434"	
Mg	3	"370.6745"	"370.6741"	"10"	""		"69.65416"	"72.99804"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	7	5		""	"L1434"	
Mg	3	"370.8609"	"370.8625"	"1"	""		"66.35381"	"69.69599"	"2s2.2p5.3d"	"3D*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	5	5		""	"L1434"	
Mg	3	"371.350"	"371.3557"	"bl"	""		"69.96428"	"73.30202"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"0"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	1	3		""	"L1434"	
Mg	3	"371.9838"	"371.9858"	"4"	""		"66.32207"	"69.65416"	"2s2.2p5.3d"	"3D*"	"3"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	7	7		""	"L1434"	
Mg	3	"374.5030"	"374.5039"	"7"	""		"69.96302"	"73.27270"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	3	1		""	"L1434"	
Mg	3	"375.3714"	"375.3702"	"3"	""		"69.69599"	"72.99804"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	5	5		""	"L1434"	
Mg	3	"375.5606"	"375.5634"	"1"	""		"66.35381"	"69.65416"	"2s2.2p5.3d"	"3D*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	5	7		""	"L1434"	
Mg	3	"376.4539"	"376.4544"	"8"	""		"70.00949"	"73.30202"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	5	3		""	"L1434"	
Mg	3	"377.3572"	"377.3567"	"3"	""		"69.75775"	"73.04241"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	3		""	"L1434"	
Mg	3	"377.406"	"377.4066"	"bl"	""		"70.01779"	"73.30202"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	3	3		""	"L1434"	
Mg	1	"378.68"	"378.67"	"a"	""		"4.3458029"	"7.6191"	"3s.3p"	"1P*"	"1"	"3s.23d"	"1D"	"2"	3	5		""	"L4057"	
Mg	1	"378.97"	"378.96"	"a"	""		"4.3458029"	"7.6166"	"3s.3p"	"1P*"	"1"	"3s.22d"	"1D"	"2"	3	5		""	"L4057"	
Mg	1	"379.33"	"379.32"	"a"	""		"4.3458029"	"7.6135"	"3s.3p"	"1P*"	"1"	"3s.21d"	"1D"	"2"	3	5		""	"L4057"	
Mg	1	"379.722"	"379.717"	"a"	""		"4.3458029"	"7.61005"	"3s.3p"	"1P*"	"1"	"3s.20d"	"1D"	"2"	3	5		""	"L4057"	
Mg	1	"380.187"	"380.186"	"a"	""		"4.3458029"	"7.60602"	"3s.3p"	"1P*"	"1"	"3s.19d"	"1D"	"2"	3	5		""	"L4057"	
Mg	1	"380.741"	"380.741"	"a"	""		"4.3458029"	"7.60127"	"3s.3p"	"1P*"	"1"	"3s.18d"	"1D"	"2"	3	5		""	"L4057"	
Mg	3	"380.8073"	"380.8066"	"1"	""		"70.01779"	"73.27270"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	3	1		""	"L1434"	
Mg	1	"381.402"	"381.402"	"a"	""		"4.3458029"	"7.59563"	"3s.3p"	"1P*"	"1"	"3s.17d"	"1D"	"2"	3	5		""	"L4057"	
Mg	3	"381.7575"	"381.7561"	"3d"	""		"69.79560"	"73.04241"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	5	3		""	"L1434"	
Mg	1	"382.200"	"382.199"	"a"	""		"4.3458029"	"7.58885"	"3s.3p"	"1P*"	"1"	"3s.16d"	"1D"	"2"	3	5		""	"L4057"	
Mg	1	"382.93549"	"382.93547"	"36"	"8.99e+07"	B+	"2.7091049"	"5.9459174"	"3s.3p"	"3P*"	"0"	"3s.3d"	"3D"	"1"	1	3		"c45"	"L7428"	
Mg	1	""	"382.93593"	""	"2.11e-05"	B	"2.7091049"	"5.9459136"	"3s.3p"	"3P*"	"0"	"3s.3d"	"3D"	"2"	1	5	M2	"c43"	""	
Mg	1	"383.168"	"383.168"	"a"	""		"4.3458029"	"7.58065"	"3s.3p"	"1P*"	"1"	"3s.15d"	"1D"	"2"	3	5		""	"L4057"	
Mg	1	""	"383.22993"	""	"7.17e-05"	B	"2.7115919"	"5.9459174"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"1"	3	3	M2	"c43"	""	
Mg	1	"383.22996"	"383.22993"	""	"6.74e+07"	B+	"2.7115919"	"5.9459174"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"1"	3	3		"c45"	"L7428"	
Mg	1	""	"383.23013"	""	"2.20e-05"	B	"2.7115919"	"5.9459158"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"3"	3	7	M2	"c43"	""	
Mg	1	"383.23037"	"383.23039"	"38"	"1.21e+08"	B+	"2.7115919"	"5.9459136"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"2"	3	5		"c45"	"L7428"	
Mg	1	""	"383.23039"	""	"6.36e-04"	B+	"2.7115919"	"5.9459136"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"2"	3	5	M2	"c43"	""	
Mg	1	""	"383.82900"	""	"1.80e-06"	C	"2.7166398"	"5.9459174"	"3s.3p"	"3P*"	"2"	"3s.3d"	"3D"	"1"	5	3	M2	"c43"	""	
Mg	1	""	"383.82900"	""	"4.48e+06"	B	"2.7166398"	"5.9459174"	"3s.3p"	"3P*"	"2"	"3s.3d"	"3D"	"1"	5	3		"c45"	""	
Mg	1	"383.82918"	"383.82919"	"40"	"1.61e+08"	B+	"2.7166398"	"5.9459158"	"3s.3p"	"3P*"	"2"	"3s.3d"	"3D"	"3"	5	7		"c45"	"L7428"	
Mg	1	""	"383.82919"	""	"2.04e-03"	B+	"2.7166398"	"5.9459158"	"3s.3p"	"3P*"	"2"	"3s.3d"	"3D"	"3"	5	7	M2	"c43"	""	
Mg	1	"383.82943"	"383.82946"	""	"4.03e+07"	B+	"2.7166398"	"5.9459136"	"3s.3p"	"3P*"	"2"	"3s.3d"	"3D"	"2"	5	5		"c45"	"L7428"	
Mg	1	""	"383.82946"	""	"3.28e-04"	B	"2.7166398"	"5.9459136"	"3s.3p"	"3P*"	"2"	"3s.3d"	"3D"	"2"	5	5	M2	"c43"	""	
Mg	1	"384.370"	"384.370"	"a"	""		"4.3458029"	"7.57054"	"3s.3p"	"1P*"	"1"	"3s.14d"	"1D"	"2"	3	5		""	"L4057"	
