element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
K	1	"475.3934"	""	"475.393077"	"0.000016"	"5"	"1.6e+05"	D+	"1.6171130092"	"4.22441928"	"3p6.4p"	"2P*"	"3/2"	"3p6.13s"	"2S"	"1/2"	4	2		"T1619extrap,LS"	"L6096"	
K	1	""	""	"475.736962"	"0.000016"	""	"1.9e+04"	E	"1.6171130092"	"4.22253462"	"3p6.4p"	"2P*"	"3/2"	"3p6.11d"	"2D"	"3/2"	4	4		"T817LS"	""	
K	1	"475.7389"	""	"475.737719"	"0.000016"	"7"	"1.2e+05"	C	"1.6171130092"	"4.22253048"	"3p6.4p"	"2P*"	"3/2"	"3p6.11d"	"2D"	"5/2"	4	6		"T817LS"	"L6096"	
K	1	"478.6491"	""	"478.649091"	"0.000016"	"5"	"1.03e+05"	C	"1.60995784350"	"4.19952815"	"3p6.4p"	"2P*"	"1/2"	"3p6.12s"	"2S"	"1/2"	2	2		"T817,T204,LS"	"L6096"	
K	1	"479.1049"	""	"479.104132"	"0.000016"	"7"	"1.3e+05"	C	"1.60995784350"	"4.19706867"	"3p6.4p"	"2P*"	"1/2"	"3p6.10d"	"2D"	"3/2"	2	4		"T817n,T204n,LS"	"L6096"	
K	1	"479.9754"	""	"479.975316"	"0.000016"	"6"	"2.07e+05"	C	"1.6171130092"	"4.19952815"	"3p6.4p"	"2P*"	"3/2"	"3p6.12s"	"2S"	"1/2"	4	2		"T817,T204,LS"	"L6096"	
K	1	""	""	"480.432883"	"0.000016"	""	"2.6e+04"	C	"1.6171130092"	"4.19706867"	"3p6.4p"	"2P*"	"3/2"	"3p6.10d"	"2D"	"3/2"	4	4		"T817n,T204n,LS"	""	
K	1	"480.4348"	""	"480.433950"	"0.000016"	"8"	"1.6e+05"	C	"1.6171130092"	"4.19706295"	"3p6.4p"	"2P*"	"3/2"	"3p6.10d"	"2D"	"5/2"	4	6		"T817n,T204n,LS"	"L6096"	
K	2	"482.923"	"0.003"	"482.924"	"0.003"	"9"	"2.52e+08"		"20.147767"	"22.714413"	"3p5.4s"	"3P*"	"2"	"3p5.4p"	"3S"	"1"	5	3		"T8304"	"L3490"	
K	1	"484.9865"	""	"484.986450"	"0.000017"	"7"	"1.871e+05"	A+	"1.60995784350"	"4.16569049"	"3p6.4p"	"2P*"	"1/2"	"3p6.11s"	"2S"	"1/2"	2	2		"T9168"	"L6096"	
K	1	"485.6090"	""	"485.609209"	"0.000017"	"8"	"2.10e+05"	A	"1.60995784350"	"4.16241300"	"3p6.4p"	"2P*"	"1/2"	"3p6.9d"	"2D"	"3/2"	2	4		"T9168"	"L6096"	
K	1	"486.3483"	""	"486.348075"	"0.000017"	"8"	"3.698e+05"	AA	"1.6171130092"	"4.16569049"	"3p6.4p"	"2P*"	"3/2"	"3p6.11s"	"2S"	"1/2"	4	2		"T9168"	"L6096"	
K	1	""	""	"486.974338"	"0.000017"	""	"4.38e+04"	B+	"1.6171130092"	"4.16241300"	"3p6.4p"	"2P*"	"3/2"	"3p6.9d"	"2D"	"3/2"	4	4		"T9168"	""	
K	1	"486.9757"	""	"486.975897"	"0.000017"	"9"	"2.61e+05"	A	"1.6171130092"	"4.16240485"	"3p6.4p"	"2P*"	"3/2"	"3p6.9d"	"2D"	"5/2"	4	6		"T9168"	"L6096"	
K	2	"493.875"	"0.003"	"493.875"	"0.003"	"3"	"4.29e+07"		"24.148675"	"26.658413"	"3p5.4p"	"1S"	"0"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	1	3		"T8304"	"L3490"	
K	1	"494.2002"	""	"494.200871"	"0.000017"	"8bl"	"2.69e+05"	AA	"1.60995784350"	"4.11803927"	"3p6.4p"	"2P*"	"1/2"	"3p6.10s"	"2S"	"1/2"	2	2		"T9168"	"L1792"	
K	2	"494.324"	"0.003"	"494.322"	"0.003"	"6"	"1.25e+07"		"20.638075"	"23.145544"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"3D"	"2"	3	5		"T8304"	"L3490"	
K	1	"495.0815"	""	"495.081801"	"0.000017"	"9"	"2.69e+05"	B+	"1.60995784350"	"4.11357655"	"3p6.4p"	"2P*"	"1/2"	"3p6.8d"	"2D"	"3/2"	2	4		"T9168"	"L6096"	
K	1	"495.61461"	""	"495.614802"	"0.000017"	"9"	"5.322e+05"	AA	"1.6171130092"	"4.11803927"	"3p6.4p"	"2P*"	"3/2"	"3p6.10s"	"2S"	"1/2"	4	2		"T9168"	"L1792"	
K	1	""	""	"496.500784"	"0.000017"	""	"5.56e+04"	B+	"1.6171130092"	"4.11357655"	"3p6.4p"	"2P*"	"3/2"	"3p6.8d"	"2D"	"3/2"	4	4		"T9168"	""	
K	1	"496.5031"	""	"496.503213"	"0.000017"	"10"	"3.36e+05"	A	"1.6171130092"	"4.11356434"	"3p6.4p"	"2P*"	"3/2"	"3p6.8d"	"2D"	"5/2"	4	6		"T9168"	"L6096"	
K	2	"500.560"	"0.003"	"500.564"	"0.004"	"8"	"1.11e+08"		"20.238213"	"22.714413"	"3p5.4s"	"3P*"	"1"	"3p5.4p"	"3S"	"1"	3	3		"T8304"	"L3490"	
K	2	"505.627"	"0.003"	"505.625"	"0.004"	"7"	"3.28e+07"		"20.262998"	"22.714413"	"3p5.3d"	"3P*"	"0"	"3p5.4p"	"3S"	"1"	1	3		"T8304"	"L3490"	
K	1	"508.4226"	""	"508.423399"	"0.000018"	"10"	"4.074e+05"	AA	"1.60995784350"	"4.04787964"	"3p6.4p"	"2P*"	"1/2"	"3p6.9s"	"2S"	"1/2"	2	2		"T9168"	"L6096"	
K	1	"509.7171"	""	"509.717137"	"0.000018"	"11"	"3.39e+05"	B+	"1.60995784350"	"4.04169191"	"3p6.4p"	"2P*"	"1/2"	"3p6.7d"	"2D"	"3/2"	2	4		"T9168"	"L6096"	
