wavenumber_cm_inv,intensity
9184.302050,-0.52101900
9184.311530,-0.10837500
9184.321010,0.42341700
9184.330480,0.69452300
9184.339960,0.99596900
9184.349440,1.15186000
9184.358910,1.12436000
9184.368390,1.08412000
9184.377870,0.71820400
9184.387340,0.08017910
9184.396820,-0.38186400
9184.406300,-0.69367100
9184.415780,-1.03981000
9184.425250,-1.16631000
9184.434730,-0.99081100
9184.444210,-1.20864000
9184.453680,-1.76673000
9184.463160,-1.60897000
9184.472640,-1.01165000
9184.482120,-0.63439800
9184.491590,-0.08245580
9184.501070,0.21812900
9184.510550,0.07438090
9184.520020,0.40837700
9184.529500,0.59219500
9184.538980,0.22694100
9184.548460,0.58886500
9184.557930,0.98956800
9184.567410,0.28423300
9184.576890,-0.34807900
9184.586360,-0.60417300
9184.595840,-1.03131000
9184.605320,-0.87203600
9184.614800,-0.41300700
9184.624270,-0.72510200
9184.633750,-0.98779700
9184.643230,-0.45402400
9184.652700,-0.04112250
9184.662180,-0.15042600
9184.671660,-0.19859100
9184.681130,0.02770880
9184.690610,0.44227600
9184.700090,0.89599400
9184.709570,1.00840000
9184.719040,0.64765000
9184.728520,0.03238750
9184.738000,-0.61588400
9184.747470,-1.14372000
9184.756950,-1.55719000
9184.766430,-1.66526000
9184.775910,-1.38058000
9184.785380,-1.37372000
9184.794860,-1.47895000
9184.804340,-0.93914500
9184.813810,-0.70848200
9184.823290,-0.91130200
9184.832770,-0.08110670
9184.842250,0.63645600
9184.851720,0.12243100
9184.861200,0.29913000
9184.870680,1.05562000
9184.880150,0.79444100
9184.889630,0.58131600
9184.899110,0.74464000
9184.908580,0.20443700
9184.918060,-0.24876500
9184.927540,-0.06767340
9184.937020,-0.02837810
9184.946490,-0.18079400
9184.955970,-0.53428000
9184.965450,-1.20348000
9184.974920,-1.57628000
9184.984400,-1.41342000
9184.993880,-0.96793500
9185.003360,-0.37718500
9185.012830,-0.00329115
9185.022310,0.19703200
9185.031790,0.65855700
9185.041260,0.73109200
9185.050740,-0.17034600
9185.060220,-0.91012500
9185.069700,-0.93837000
9185.079170,-1.09541000
9185.088650,-1.04845000
9185.098130,-0.33226400
9185.107600,0.13557700
9185.117080,0.30070900
9185.126560,0.60138000
9185.136030,0.75092600
9185.145510,1.11518000
9185.154990,1.37448000
9185.164470,0.47597400
9185.173940,-0.37623800
9185.183420,-0.07200770
9185.192900,0.20102100
9185.202370,0.02856990
9185.211850,0.09728640
9185.221330,0.65844300
9185.230810,1.45916000
9185.240280,1.68474000
9185.249760,1.50273000
9185.259240,1.57670000
9185.268710,0.86143500
9185.278190,-0.85395200
9185.287670,-1.96682000
9185.297150,-2.15446000
9185.306620,-1.80370000
9185.316100,-0.88529700
9185.325580,0.13362500
9185.335050,0.73904300
9185.344530,0.73100500
9185.354010,0.72816400
9185.363480,1.37844000
9185.372960,1.17982000
9185.382440,-0.52368800
9185.391920,-1.53865000
9185.401390,-1.35210000
9185.410870,-0.97275700
9185.420350,-0.00067912
9185.429820,1.14629000
9185.439300,1.49036000
9185.448780,1.57010000
9185.458260,1.54633000
9185.467730,0.96844200
9185.477210,0.08193000
9185.486690,-0.86540500
9185.496160,-1.52923000
9185.505640,-1.51589000
9185.515120,-1.28726000
9185.524600,-1.35561000
9185.534070,-1.43032000
9185.543550,-1.17701000
9185.553030,-0.99999600
9185.562500,-1.29567000
9185.571980,-1.30813000
9185.581460,-0.44992000
9185.590940,0.47158200
9185.600410,0.98250700
9185.609890,1.24827000
9185.619370,0.92022000
9185.628840,0.19344400
9185.638320,-0.15995600
9185.647800,-0.19319400
9185.657270,-0.07384470
9185.666750,0.26135600
9185.676230,0.46190900
9185.685710,0.66860400
9185.695180,1.31182000
9185.704660,1.77051000
9185.714140,1.58348000
9185.723610,1.37075000
9185.733090,1.16360000
9185.742570,0.47732300
9185.752050,-0.05501510
9185.761520,0.17524600
9185.771000,0.35438500
9185.780480,0.00830513
9185.789950,-0.14910600
9185.799430,-0.00323374
9185.808910,-0.13951900
9185.818390,-0.63505800
9185.827860,-1.26637000
9185.837340,-1.68636000
9185.846820,-1.55498000
9185.856290,-0.85576100
9185.865770,0.59334300
9185.875250,2.38864000
9185.884720,3.37427000
9185.894200,3.81094000
9185.903680,4.15466000
9185.913160,3.67023000
9185.922630,3.33689000
9185.932110,3.85784000
