ritz_wavenumber_cm_inv,ritz_unc_cm_inv,measured_wavenumber_cm_inv,measured_unc_cm_inv,relative_intensity,species,lower_level_energy,lower_J,upper_level_energy,upper_J,reference
7547.57963,0.00010,7547.5792,0.0005,63,Th I,18549,2,26096,3_odd,EHW03
-,-,7548.5428,0.0004,65,Ar I,113643,1_odd,121192,2,95WHA
7549.66179,0.00023,7549.6617,0.0007,13,Th II,12570,7/2,20120,5/2_odd,EHW03
7550.66800,0.00020,7550.6680,0.0011,20,Ar II,199525,3/2,191975,3/2_odd,95WHA
7550.95326,0.00008,7550.95310,0.00020,210,Th I,15970,3,23521,3_odd,KNS08
7552.99561,0.00010,7552.9951,0.0004,190,Th I,19713,3,27266,4_odd,PE83
7553.74324,0.00004,7553.7436,0.0005,47,Th I,3687,2,11241,3_odd,EHW03
-,-,7554.0592,0.0004,91,Ar I,113717,3_odd,121271,2,95WHA
7555.9629,0.0003,7555.960,0.003,0,Th I,27317,3_odd,34873,4,GBCZ74
-,-,7556.0005,0.0003,26303,Ar I,106087,1,113643,1_odd,95WHA
-,-,7557.5946,0.0003,42658,Ar I,105463,3,113020,3_odd,95WHA
7560.28961,0.00021,7560.2897,0.0004,110,Th II,9711,7/2,17272,9/2_odd,EHW03
7560.87536,0.00023,7560.8749,0.0007,13,Th II,14545,5/2_odd,22106,5/2,EHW03
7562.58795,0.00009,7562.594,0.003,220,Th I,14032,2_odd,21594,3,Z76
7562.6628,0.0014,7562.6616,0.0008,4500,Ne I,151038,1,158601,2_odd,SBS
7563.86366,0.00014,7563.862,0.003,220,Th I,18549,2,26113,2_odd,Z76
7564.41131,0.00013,7564.4113,0.0006,25,Th I,21539,4_odd,29104,4,EHW03
7564.97223,0.00020,7564.974,0.003,220,Th I,22396,1_odd,29961,1,Z76
-,-,7565.6662,0.0003,38905,Ar I,104102,1,111668,0_odd,95WHA
7569.95082,0.00020,7569.9517,0.0008,7,Th I,26036,3_odd,33606,2,EHW03
7570.65563,0.00005,7570.65567,0.00009,1900,Th I,18809,4_odd,26380,5,PE83
7572.02977,0.00013,7572.0294,0.0006,29,Th I,24202,4_odd,31774,3,EHW03
7573.13235,0.00005,7573.1323,0.0005,55,Th I,19948,4_odd,27521,4,EHW03
7573.96115,0.00021,7573.9600,0.0007,13,Th I,18930,3_odd,26504,2,EHW03
7580.04505,0.00018,7580.0450,0.0005,43,Th II,9238,9/2_odd,16818,7/2,EHW03
7581.46025,0.00024,7581.4581,0.0008,7,Th I,25809,1_odd,33390,1,EHW03
7582.0537,0.0003,7582.0537,0.0008,9,Th I,21575,2,29157,1_odd,EHW03
7582.71495,0.00008,7582.7148,0.0005,47,Th I,17398,3,24981,3_odd,EHW03
7582.91141,0.00003,7582.9111,0.0004,94,Th I,6362,2,13945,3_odd,KNS08
7583.00536,0.00006,7583.0053,0.0003,150,Th I,15618,3_odd,23201,3,KNS08
7585.4285,0.0004,7585.429,0.003,0,Th I,27495,4,35081,5_odd,GBCZ74
7585.59583,0.00023,7585.5954,0.0007,13,Th II,15786,5/2,23372,3/2_odd,EHW03
7587.42598,0.00019,7587.4257,0.0006,27,Th I,18699,2,26287,1_odd,EHW03
7589.4563,0.0004,7589.4544,0.0008,9,Th I,30517,4_odd,38106,5,EHW03
