wavenumber_cm_inv,intensity
8875.543320,3.22922000
8875.546890,-0.08266730
8875.550470,-1.69580000
8875.554050,-0.11268800
8875.557620,-1.79714000
8875.561200,-1.19110000
8875.564780,2.77031000
8875.568350,1.34435000
8875.571930,-1.14953000
8875.575500,0.99903100
8875.579080,1.62658000
8875.582660,-0.42408600
8875.586230,-0.69791300
8875.589810,0.76570300
8875.593390,1.48713000
8875.596960,0.09558460
8875.600540,-0.85707600
8875.604110,0.13065000
8875.607690,0.21713400
8875.611270,0.15718400
8875.614840,0.65151300
8875.618420,-0.23190000
8875.622000,0.31925800
8875.625570,1.43128000
8875.629150,-0.73190700
8875.632720,-1.18750000
8875.636300,0.78609100
8875.639880,-0.06668180
8875.643450,-0.74162500
8875.647030,-0.37762200
8875.650610,-1.56136000
8875.654180,-0.86308900
8875.657760,-0.04705560
8875.661340,-2.01565000
8875.664910,-1.45709000
8875.668490,0.55014700
8875.672060,-0.36590200
8875.675640,-0.65572200
8875.679220,0.31163100
8875.682790,-0.10753300
8875.686370,-0.55664200
8875.689950,0.04417140
8875.693520,1.36488000
8875.697100,1.90578000
8875.700670,1.07386000
8875.704250,1.44711000
8875.707830,1.94760000
8875.711400,0.86212800
8875.714980,0.80866000
8875.718560,0.40533500
8875.722130,-0.92579100
8875.725710,0.39201700
8875.729280,1.06001000
8875.732860,-0.40889600
8875.736440,0.51586300
8875.740010,0.72232300
8875.743590,-0.89723900
8875.747170,1.02696000
8875.750740,2.59477000
8875.754320,0.35228000
8875.757890,-0.04559260
8875.761470,1.36774000
8875.765050,1.20295000
8875.768620,1.06232000
8875.772200,1.21668000
8875.775780,0.55079100
8875.779350,0.14196900
8875.782930,0.81615800
8875.786510,1.29352000
8875.790080,0.27402200
8875.793660,0.07892380
8875.797230,1.65202000
8875.800810,1.24515000
8875.804390,-0.05414750
8875.807960,0.63407000
8875.811540,-0.10297400
8875.815120,-1.59099000
8875.818690,-0.26538100
8875.822270,0.00150426
8875.825840,-1.50810000
8875.829420,-0.22007400
8875.833000,1.59979000
8875.836570,0.64350300
8875.840150,-0.90899800
8875.843730,-1.44454000
8875.847300,-0.67501400
8875.850880,0.59855100
8875.854450,0.09503150
8875.858030,-0.96322200
8875.861610,0.00319463
8875.865180,0.80814700
8875.868760,-0.19090100
8875.872340,-0.06601850
8875.875910,1.09595000
8875.879490,0.29085800
8875.883060,-0.58700800
8875.886640,-0.09466430
8875.890220,-1.11816000
8875.893790,-2.27003000
8875.897370,-1.37371000
8875.900950,-1.00680000
8875.904520,-0.56167900
8875.908100,0.62359300
8875.911670,-0.28531000
8875.915250,-0.59028900
8875.918830,1.19284000
8875.922400,0.61396300
8875.925980,-0.47774800
8875.929560,0.27619700
8875.933130,-0.41615700
8875.936710,-0.83649500
8875.940290,0.46361000
8875.943860,-0.06614560
8875.947440,-1.07616000
8875.951010,-0.26090000
8875.954590,0.67038500
8875.958170,0.67164600
8875.961740,-0.53362500
8875.965320,-1.01875000
8875.968900,0.16075500
8875.972470,-0.25354000
8875.976050,-0.92197200
8875.979620,0.12932500
8875.983200,-0.23517400
8875.986780,-0.14325500
8875.990350,1.32552000
8875.993930,0.11857900
8875.997510,-0.48405400
8876.001080,0.74759300
8876.004660,-0.22561200
8876.008230,0.05661930
8876.011810,0.64248700
8876.015390,-2.38159000
8876.018960,-2.03784000
8876.022540,0.74709300
8876.026120,-0.72422700
8876.029690,-0.47071300
8876.033270,1.41976000
8876.036840,-0.47301600
8876.040420,-0.30633200
8876.044000,1.36349000
8876.047570,-0.31220600
8876.051150,-0.31557500
8876.054730,0.60479900
8876.058300,-0.35585600
8876.061880,0.75250300
8876.065450,0.60594300
8876.069030,-1.98351000
8876.072610,-0.58911400
8876.076180,0.77756400
8876.079760,-1.35067000
8876.083340,-0.78962600
8876.086910,0.58161200
8876.090490,-1.40672000
8876.094070,-2.00386000
8876.097640,0.10014200
8876.101220,0.41145400
8876.104790,-1.15987000
8876.108370,-0.82174100
8876.111950,0.92575100
8876.115520,0.30048700
8876.119100,-0.85376400
8876.122680,-0.19045700
8876.126250,-0.47344800
8876.129830,0.03253980
8876.133400,2.59765000
8876.136980,1.88321000
8876.140560,-0.36460900
8876.144130,-0.16882000
8876.147710,-0.83169600
8876.151290,-1.41718000
8876.154860,-0.86957800
8876.158440,-2.29140000
8876.162010,-1.56730000
8876.165590,1.89353000
8876.169170,1.43170000
8876.172740,0.07331620
8876.176320,0.92076900
8876.179900,-0.17447000
8876.183470,-1.28910000
8876.187050,-0.59657400
8876.190620,-0.63452800
8876.194200,-0.31100400
8876.197780,-0.35019100
8876.201350,-1.47854000
8876.204930,-0.37333200
8876.208510,1.08280000
8876.212080,0.75507700
8876.215660,0.95069500
8876.219240,0.31791300
8876.222810,-0.34685100
8876.226390,1.68774000
8876.229960,2.00178000
8876.233540,0.07816000
8876.237120,1.08302000
8876.240690,3.63565000
8876.244270,6.64218000
8876.247850,11.64320000
8876.251420,14.18580000
8876.255000,11.16840000
8876.258570,5.87215000
8876.262150,1.52699000
8876.265730,-0.00442158
8876.269300,0.12647600
8876.272880,-1.22956000
8876.276460,-2.36696000
8876.280030,-0.67121200
8876.283610,0.88331100
8876.287180,0.25588000
8876.290760,0.08881460
8876.294340,0.87076100
8876.297910,0.43286900
8876.301490,-0.16452800
8876.305070,0.45929500
8876.308640,0.55238900
8876.312220,0.30674200
8876.315790,0.72306300
8876.319370,0.19611500
8876.322950,-0.42546400
8876.326520,0.11655900
8876.330100,-0.13402500
8876.333680,-0.05125690
8876.337250,1.13884000
8876.340830,-0.22172100
8876.344400,-2.36823000
8876.347980,-1.43500000
8876.351560,-0.65044800
8876.355130,-1.34082000
8876.358710,-0.50535800
8876.362290,0.88900900
8876.365860,1.31031000
8876.369440,1.81623000
8876.373020,1.74241000
8876.376590,0.22612800
8876.380170,-0.62469100
8876.383740,0.37757100
8876.387320,0.46474600
8876.390900,-0.94248900
8876.394470,-0.13115600
8876.398050,1.83292000
8876.401630,1.09340000
8876.405200,-0.16356200
8876.408780,-0.10149700
8876.412350,-0.08995880
8876.415930,0.58642500
8876.419510,0.61063500
8876.423080,-1.35240000
8876.426660,-1.83565000
8876.430240,-0.69502000
8876.433810,-0.43828400
8876.437390,-0.15871100
8876.440960,0.15090900
8876.444540,0.45178900
8876.448120,1.23159000
8876.451690,0.70961600
8876.455270,0.05924120
8876.458850,0.18929600
8876.462420,-1.36637000
8876.466000,-1.78217000
8876.469570,0.25345000
8876.473150,0.39024500
8876.476730,0.61877600
8876.480300,1.40362000
8876.483880,-1.39593000
8876.487460,-2.29856000
8876.491030,0.77578500
8876.494610,0.23294500
8876.498180,-1.05292000
8876.501760,1.07804000
8876.505340,0.60849000
8876.508910,-1.46528000
8876.512490,-0.38773500
8876.516070,0.61220500
