#This catalogue provides the latest version of the cluster member catalogue with spectroscopic redshifts and references, used for the 2026arXiv260122245R lens model
#last update: 6.2.2026.
#The updated version includes additional photometric cluster member id=250
#We note that the cluster member id=40 is a confirmed foreground object, despite being
#photometrically selected as a cluster member in the submitted version of the paper.

#======================================================================
#Redshifts from Barrena+2002 (2002A&A...386..816B), Foex+2017 (2017A&A...606A.122F), 
#Guzzo+2009 (2009A&A...499..357G) were compiled using NED database (https://ned.ipac.caltech.edu/).
#Some redshifts were obtained by several studies, in which case we quote the earliest publication as specz_ref.
#Richard+2021 MUSE redshifts were obtained from 2021A&A...646A..83R MUSE catalogues.
#Chung+2010 redshifts were obtained by 2010ApJ...725.1536C, and were provided for this work by the authors of the study (Anthony H. Gonzales).
#Where new NIRSpec redshifts are available, we quote Rihtarsic+2026 specz regardless of whether previous redshifts were available.
#for the individual redshift uncertainties refer directly to the references above.

#id ra dec mag_F277W specz specz_ref
140   104.6420783 -55.9615753 20.25     -1        None
141   104.5850145 -55.9531999 20.26     -1        None
250   104.5524108 -55.9248884 20.28     -1        None
142   104.6501718 -55.9565422 20.31     0.3000    Rihtarsic+2026
143   104.6311777 -55.9491722 20.31     0.3512    Chung+2010
144   104.6821736 -55.9546114 20.32     -1        None
145   104.5574653 -55.9559672 20.33     -1        None
146   104.5784594 -55.9237837 20.34     -1        None
147   104.6678446 -55.9631909 20.34     -1        None
148   104.6769709 -55.9671051 20.38     -1        None
149   104.5318178 -55.9326881 20.39     -1        None
150   104.6745856 -55.9447964 20.39     0.2962    Rihtarsic+2026
151   104.6371507 -55.9520241 20.40     0.3013    Foex+2017
152   104.5595514 -55.9469439 20.40     -1        None
153   104.6516043 -55.9493558 20.42     0.2979    Richard+2021
154   104.5506902 -55.9423098 20.43     -1        None
155   104.6581997 -55.9588488 20.45     0.3055    Barrena+2002
156   104.5847064 -55.9601707 20.48     -1        None
157   104.6538669 -55.9497648 20.48     0.3493    Richard+2021
158   104.6053930 -55.9436377 20.51     -1        None
159   104.6147082 -55.9606968 20.52     -1        None
160   104.5699930 -55.9458306 20.52     -1        None
161   104.5373649 -55.9328409 20.54     -1        None
162   104.6112796 -55.9677040 20.55     -1        None
163   104.6411377 -55.9487356 20.57     0.3049    Richard+2021
164   104.5872324 -55.9574581 20.57     -1        None
165   104.6427389 -55.9550351 20.61     0.3035    Richard+2021
166   104.6484307 -55.9643705 20.62     -1        None
167   104.6848269 -55.9699646 20.62     -1        None
168   104.6240138 -55.9602236 20.63     -1        None
169   104.5700778 -55.9381969 20.65     -1        None
170   104.6564282 -55.9425625 20.65     0.3070    Richard+2021
171   104.6985329 -55.9478990 20.65     0.2963    Chung+2010
172   104.5472810 -55.9450200 20.66     -1        None
173   104.6757385 -55.9807671 20.66     -1        None
174   104.6545204 -55.9491007 20.67     0.3008    Rihtarsic+2026
175   104.5948177 -55.9367287 20.69     -1        None
176   104.5434792 -55.9168206 20.69     -1        None
177   104.6463697 -55.9552462 20.72     0.3058    Richard+2021
178   104.6408591 -55.9364517 20.72     0.3119    Rihtarsic+2026
179   104.6578484 -55.9585595 20.75     -1        None
180   104.5649480 -55.9603959 20.77     -1        None
181   104.6384766 -55.9506358 20.77     0.2963    Richard+2021
182   104.5630843 -55.9286578 20.80     0.3071    Chung+2010
183   104.6649617 -55.9607148 20.83     -1        None
184   104.6286595 -55.9332991 20.84     -1        None
185   104.6240625 -55.9369614 20.84     0.3000    Rihtarsic+2026
186   104.6442798 -55.9375436 20.85     -1        None
187   104.6414788 -55.9469822 20.85     0.2947    Richard+2021
188   104.5964329 -55.9569367 20.86     -1        None
189   104.6081660 -55.9521488 20.86     -1        None
190   104.5625287 -55.9464342 20.87     -1        None
191   104.6265824 -55.9381796 20.90     -1        None
192   104.5552721 -55.9540813 20.91     0.2843    Rihtarsic+2026
193   104.6553672 -55.9645181 20.91     -1        None
194   104.6735735 -55.9784531 20.94     -1        None
195   104.6661509 -55.9740118 20.97     -1        None
196   104.6762103 -55.9782989 20.99     -1        None
197   104.6579927 -55.9629713 21.00     -1        None
198   104.6450523 -55.9498542 21.01     0.2978    Richard+2021
199   104.6597891 -55.9489859 21.01     0.2897    Richard+2021
200   104.6672515 -55.9659863 21.02     -1        None
201   104.5434282 -55.9575750 21.02     -1        None
202   104.6654089 -55.9574612 21.03     -1        None
203   104.6462454 -55.9410565 21.05     0.3009    Rihtarsic+2026
204   104.5624398 -55.9402969 21.06     -1        None
205   104.6354549 -55.9477214 21.14     0.2995    Richard+2021
206   104.6385186 -55.9518669 21.14     0.3000    Richard+2021
207   104.6541766 -55.9699401 21.16     -1        None
208   104.6852159 -55.9774868 21.18     -1        None
209   104.6132859 -55.9523667 21.18     -1        None
210   104.6184096 -55.9349013 21.18     -1        None
211   104.5557153 -55.9233908 21.20     -1        None
212   104.6249042 -55.9658259 21.21     0.2960    Foex+2017
213   104.5425608 -55.9445579 21.23     -1        None
214   104.5959167 -55.9341488 21.24     -1        None
215   104.6180830 -55.9535481 21.24     -1        None
216   104.6802520 -55.9736832 21.25     -1        None
217   104.6454311 -55.9476566 21.26     0.2947    Richard+2021
218   104.6657154 -55.9770945 21.27     -1        None
219   104.6429236 -55.9679294 21.27     -1        None
