#id ra dec a b theta mag ?
#1 104.65872211191241 -55.95715728753242 0.01 0.01 0.0 15.77 0.1
96 104.55937069687805 -55.95153168570854 0.01 0.01 0.0 19.48 0.1
97 104.65941671325425 -55.935966787545105 0.01 0.01 0.0 19.49 0.1
98 104.63254760869698 -55.94289598705366 0.01 0.01 0.0 19.50 0.1
99 104.64811080987768 -55.96389738733847 0.01 0.01 0.0 19.51 0.1
100 104.66204941209926 -55.96278208759319 0.01 0.01 0.0 19.51 0.1
101 104.62811990830524 -55.937885586972556 0.01 0.01 0.0 19.53 0.1
102 104.57524400028701 -55.93527388600115 0.01 0.01 0.0 19.54 0.1
103 104.6708375127614 -55.9747563877536 0.01 0.01 0.0 19.58 0.1
104 104.65695291086634 -55.97040138750009 0.01 0.01 0.0 19.61 0.1
105 104.637696808885 -55.953309587147935 0.01 0.01 0.0 19.62 0.1
106 104.68053631620559 -55.94135298793048 0.01 0.01 0.0 19.64 0.1
107 104.6612467119587 -55.96306268757853 0.01 0.01 0.0 19.65 0.1
108 104.67069581368527 -55.95851878775102 0.01 0.01 0.0 19.66 0.1
109 104.53846319484492 -55.93118738532244 0.01 0.01 0.0 19.66 0.1
110 104.54655549689937 -55.91751718547198 0.01 0.01 0.0 19.67 0.1
111 104.56404949819581 -55.94142368579484 0.01 0.01 0.0 19.69 0.1
112 104.6826748161549 -55.947914287969446 0.01 0.01 0.0 19.70 0.1
113 104.65284241206975 -55.938856987424984 0.01 0.01 0.0 19.71 0.1
114 104.64835351136779 -55.93899588734292 0.01 0.01 0.0 19.74 0.1
115 104.69525241789313 -55.95147658819852 0.01 0.01 0.0 19.74 0.1
116 104.56352259831213 -55.93806028578511 0.01 0.01 0.0 19.75 0.1
117 104.6349986098465 -55.92969218709854 0.01 0.01 0.0 19.77 0.1
118 104.57800150060099 -55.93718358605194 0.01 0.01 0.0 19.80 0.1
119 104.65137471211862 -55.93412478739815 0.01 0.01 0.0 19.83 0.1
120 104.62980050842704 -55.94024748700334 0.01 0.01 0.0 19.84 0.1
121 104.6418213087967 -55.96574538722342 0.01 0.01 0.0 19.88 0.1
122 104.5865648019614 -55.93655068620956 0.01 0.01 0.0 19.88 0.1
123 104.64661541028633 -55.95293158731113 0.01 0.01 0.0 19.89 0.1
124 104.66185241193627 -55.96505548758959 0.01 0.01 0.0 19.90 0.1
125 104.64781731075554 -55.948074387333115 0.01 0.01 0.0 19.93 0.1
126 104.64880761116346 -55.94370468735122 0.01 0.01 0.0 19.94 0.1
127 104.6230479065503 -55.954494886879594 0.01 0.01 0.0 19.97 0.1
128 104.65198781086033 -55.957335787409356 0.01 0.01 0.0 20.00 0.1
129 104.64017190927731 -55.95314628719324 0.01 0.01 0.0 20.01 0.1
130 104.54580099536157 -55.941663285458034 0.01 0.01 0.0 20.02 0.1
131 104.64751450952518 -55.968355087327566 0.01 0.01 0.0 20.02 0.1
132 104.6523151112109 -55.952192487415346 0.01 0.01 0.0 20.03 0.1
133 104.65690001134855 -55.96199378749913 0.01 0.01 0.0 20.04 0.1
134 104.63190560823487 -55.949108187041894 0.01 0.01 0.0 20.12 0.1
135 104.59867160275287 -55.95496908643217 0.01 0.01 0.0 20.12 0.1
136 104.62262580594788 -55.963675886871854 0.01 0.01 0.0 20.15 0.1
137 104.67518181563864 -55.93686638783284 0.01 0.01 0.0 20.15 0.1
138 104.6518521102084 -55.96814938740688 0.01 0.01 0.0 20.17 0.1
139 104.625086006354 -55.96323968691695 0.01 0.01 0.0 20.24 0.1
140 104.64208310908037 -55.961581287228206 0.01 0.01 0.0 20.25 0.1
