#REFERENCE 3 104.6587124 -55.9571457
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
 K1e.3    56.121    51.288    76.026     0.999    24.186   126.824    36.089      5.26  -399286.5       6.0    +-
 K1e.3    51.457    56.290    76.265     0.000     0.000    19.253     1.267      3.21  -399313.9     -21.4    ++
 K1e.2    51.430    56.289    76.246     0.998    15.732    19.206     1.263      3.21  -399303.9     -11.4    ++
 K1e.2    56.040    51.399    76.042     0.000     0.000    82.916    10.864      4.80  -399276.5      16.0    +-
 K1e.1    51.511    56.279    76.294     1.000   110.085    19.380     1.278      3.22  -399327.9     -35.4    ++
 K1e.1    56.247    51.109    75.999     0.968     3.831  1603.021  57769.634      8.01  -399300.6      -8.1    +-
 K1d.3    56.716    50.555    75.977     0.998    14.237    47.952     2.447      4.20  -399389.1       0.0    ++
 K1d.3    55.889    52.049    76.372     0.994     9.216    53.201     3.950      4.31  -399381.1       8.0    +-
 K1d.3    52.086    55.998    76.477     0.000     0.000    21.751     1.472      3.34  -399400.6     -11.5    ++
 K1d.2    52.135    55.946    76.472     0.990     7.085    22.135     1.503      3.36  -399393.5      -4.4    ++
 K1d.2    56.789    50.393    75.924     0.980     4.955    39.747     1.918      4.00  -399378.4      10.7    ++
 K1d.2    55.772    52.220    76.403     0.000     0.000    43.798     2.900      4.10  -399374.8      14.3    +-
 K1d.1    52.444    55.792    76.571     0.997    12.658    24.224     1.683      3.46  -399435.8     -46.7    ++
 K1d.1    55.690    52.485    76.525     0.985     5.804    42.813     2.653      4.08  -399417.2     -28.2    +-
 K1d.1    56.866    50.438    76.011     0.000     0.000    36.951     1.755      3.92  -399422.4     -33.3    ++
 K1c.3    57.104    49.505    75.575     0.994     8.869    21.325     0.965      3.32  -399319.8       0.0    ++
 K1c.3    55.147    52.946    76.449     0.944     2.872    27.452     1.500      3.60  -399314.7       5.1    +-
 K1c.3    52.378    55.606    76.390     0.000     0.000    25.033     1.743      3.50  -399318.9       0.9    ++
