day_key,schema_variant,utc_iso,time,tab_name,start,stop,image0_time,image1_time,image2_time,image3_time,image0_name,image1_name,image2_name,image3_name,image0_human_time,image1_human_time,image2_human_time,image3_human_time,new_path,found
2022_153,C16,2022-06-02T20:39:43.379000Z,2022-153T20:39:43.379000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047181.211226,3737047182.148726,N/A,N/A,img0_image%d0_3737047181.211226.png,img0_image%d1_3737047182.148726.png,N/A,N/A,2022-153T20:39:41.211000,2022-153T20:39:42.148000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/240p000000T4,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:40:39.487000Z,2022-153T20:40:39.487000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047237.227828,3737047238.122359,N/A,N/A,img0_image%d0_3737047237.227828.png,img0_image%d1_3737047238.122359.png,N/A,N/A,2022-153T20:40:37.227000,2022-153T20:40:38.122000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/240p000000T5,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:41:29.326000Z,2022-153T20:41:29.326000,Tables/220602_V40_3737037480_DiffMZI_30sep_T10p0ms/V40-00009-02775-Phase_270p000000T01-RDiffMZI_30sep_T10p0ms.cet,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/270p000000T0,N/A
2022_153,C16,2022-06-02T20:42:45.969000Z,2022-153T20:42:45.969000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047364.160445,3737047365.061812,N/A,N/A,img0_image%d0_3737047364.160445.png,img0_image%d1_3737047365.061812.png,N/A,N/A,2022-153T20:42:44.160000,2022-153T20:42:45.061000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/270p000000T1,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:43:45.373000Z,2022-153T20:43:45.373000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047423.130172,3737047424.208297,N/A,N/A,img0_image%d0_3737047423.130172.png,img0_image%d1_3737047424.208297.png,N/A,N/A,2022-153T20:43:43.130000,2022-153T20:43:44.208000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/270p000000T2,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:44:45.966000Z,2022-153T20:44:45.966000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047483.673141,3737047485.055953,N/A,N/A,img0_image%d0_3737047483.673141.png,img0_image%d1_3737047485.055953.png,N/A,N/A,2022-153T20:44:43.673000,2022-153T20:44:45.055000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/270p000000T3,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:45:39.574000Z,2022-153T20:45:39.574000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047537.303023,3737047538.054976,N/A,N/A,img0_image%d0_3737047537.303023.png,img0_image%d1_3737047538.054976.png,N/A,N/A,2022-153T20:45:37.303000,2022-153T20:45:38.054000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/270p000000T4,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:46:34.010000Z,2022-153T20:46:34.010000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047592.500289,3737047593.262008,N/A,N/A,img0_image%d0_3737047592.500289.png,img0_image%d1_3737047593.262008.png,N/A,N/A,2022-153T20:46:32.500000,2022-153T20:46:33.262000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/270p000000T5,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:47:19.989000Z,2022-153T20:47:19.989000,Tables/220602_V40_3737037480_DiffMZI_30sep_T10p0ms/V40-00010-02776-Phase_300p000000T01-RDiffMZI_30sep_T10p0ms.cet,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/300p000000T0,N/A
2022_153,C16,2022-06-02T20:48:32.948000Z,2022-153T20:48:32.948000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047711.478805,3737047712.284469,N/A,N/A,img0_image%d0_3737047711.478805.png,img0_image%d1_3737047712.284469.png,N/A,N/A,2022-153T20:48:31.478000,2022-153T20:48:32.284000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/300p000000T1,Found 2022/153 2022/153
