run_key,n_shots,utc_first,utc_last
210129_Y05_3694787199_390ZHB3wfcSS_dRF3,13,2021-02-03T01:14:47.615000Z,2021-02-03T01:31:33.285000Z
210129_Y05_3694789815_200ZHB3bragg_TOF4,15,2021-02-01T20:18:15.592000Z,2021-02-01T21:19:52.558000Z
21013-V33--R_kickA_3PAI_4p3ms_v1,151,2021-01-20T18:32:29.511000Z,2021-01-23T01:22:37.447000Z
21013-V33--R_kickA_3PAI_6ms_v2,28,2021-01-13T22:35:46.886000Z,2021-01-13T22:55:31.487000Z
21015-W3--R_NoBragg_tACZ_HRC_ARP30_v16_3,17,2021-01-19T20:40:07.498000Z,2021-01-19T21:06:24.008000Z
21015-Z2--RZH_Fesh_rfbgBchk2b,40,2021-01-19T19:15:32.303000Z,2021-01-19T19:38:42.250000Z
21015-Z2--RZH_Fesh_rfscanHv1,32,2021-01-19T20:02:49.650000Z,2021-01-19T20:22:47.687000Z
21019-V32--R_DKC_2mstHold_WFC_v1,64,2021-01-19T23:00:01.345000Z,2021-01-19T23:58:08.791000Z
21020-Y7-149-RbecZHB3bragg_tSlosh3,18,2021-01-20T22:36:20.938000Z,2021-01-20T22:50:01.920000Z
210201_W03_3695059762_OpenAI_ARP30_0p5msT_v1,28,2021-02-02T01:11:58.990000Z,2021-02-02T01:39:38.538000Z
210204_V32_3695323344_DKC_2p8mstHold_WFC_imgTest_v1,7,2021-02-05T01:28:50.290000Z,2021-02-05T01:36:48.772000Z
210204_Y04_3695313443_18msZHB3w390SS_dRF1,7,2021-02-04T21:23:18.414000Z,2021-02-04T21:34:11.701000Z
