galaxy,--------------------------- disk (2*Re) ---------------------------,,,------------------------- 2nd disk (2*Re) -------------------------,,,---------------------------- bulge (2*Re) --------------------------,,,---------------------------------- bar ---------------------------------,,,,,--------------- nuclear bar ----------------,,,------------------------------------------------------------------------ lenses ------------------------------------------------------------------------,,,,,,------------------------------------------------------------------------------------------------------------------- rings -------------------------------------------------------------------------------------------------------------------,,,,,,,,------------------ center (edge) ------------------,,
,axis_ratio,PA,"Re[""]",axis_ratio,PA,"Re[""]",axis_ratio,PA,"Re[""]",axis_ratio,PA,"R[""]",Ref.,QFlag,axis_ratio,PA,"R[""]",axis_rat,PA,"R[""]",axis_rat,PA,"R[""]",axis_rat,PA,"R[""]","halfwidth[""]",axis_rat,PA,"R[""]","halfwidth[""]",axis_rat,PA,"R[""]"
NGC4548,1.287,149.2,93.8,-999,-999,-999,1.151,115.8,4.3,2.128,61,59.7,1,1,-999,-999,-999,1.176,127,27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4569,2.457,24.8,110.9,-999,-999,-999,1.639,16.2,4.9,2.000,18,98.1,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4571,1.06,84.1,59.1,1.311,43.9,9.2,-999,-999,-999,-999.000,-999,-999,-999,-999,-999,-999,-999,1.163,45,18.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.188,217.5,4.0
NGC4579,1.339,92.1,76.0,-999,-999,-999,1.179,86.1,2.9,1.923,53,40.7,1,1,-999,-999,-999,1.351,87,24.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4654,1.821,120.7,53.9,-999,-999,-999,-999,-999,-999,3.125,121,28.8,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4689,1.242,163.7,60.2,-999,-999,-999,1.174,159.1,6.0,-999.000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4694,1.912,143.3,53.5,-999,-999,-999,2.283,145.7,23.8,-999.000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4731,2.079,82.2,123.3,-999,-999,-999,-999,-999,-999,5.263,127,57.5,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4781,1.949,110.8,42.8,-999,-999,-999,-999,-999,-999,2.632,82,18.2,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4826,1.805,115.9,94.3,1.805,115.9,29.2,1.431,102.4,21.8,-999.000,-999,-999,-999,-999,-999,-999,-999,1.562,115,5.2,-999,-999,-999,2.381,113,43.8,10.5,-999,-999,-999,-999,1.947,293.6,8.0
