#--------------------------------------------------------------------------------
# Table of adopted parameters for spiral arms in PHANGS environmental masks v5
#
# This table lists only galaxies where at least one spiral arm segment was retained after Quality Assurance (see README)
#
# Col.1: Galaxy name
# Col.2: Number of spiral arm segment (same label as in the mask FITS file)
# Col.3: Width of the segment in pc (negative values = width set to average arm width for that galaxy if low CO coverage, or modified by hand)
# Col.4: Minimum radius (px) of the fitted segment on the deprojected Spitzer/IRAC 3.6um map
# Col.5: Maximum radius (px) of the fitted segment on the deprojected Spitzer/IRAC 3.6um map
# Col.6: Intercept of ln(R) vs theta linear fit in polar coordinates (R=px in the deprojected image)
# Col.7: Slope of ln(R) vs theta linear fit in polar coordinates (R=px in the deprojected image)
# Col.8: Adopted X centre (px)
# Col.9: Adopted Y centre (px) 
# Col.10: Adopted disc position angle for deprojection (deg)
# Col.11: Adopted disc inclination for deprojection (deg)
# Col.12: Adopted distance (Mpc); it only affects the effective width of segments (transformation from pc to arcsec)
# Col.13: Indicator of whether galaxy is in S4G survey or not ("S4G" or "non-S4G")
# Col.14: Azimuthal extension of the segment along the arm inwards from the minimum radius of the fitted segment (deg)
# Col.15: Azimuthal extension of the segment along the arm outwards from the maximum radius of the fitted segment (deg)
#
#--------------------------------------------------------------------------------
# Galaxy,spN,widthPC,rmin_fit,rmax_fit,aa,bb,XC[px],YC[px],PA,INC,dMpc,matchS4G,azimuthMIN azimuthMAX
#--------------------------------------------------------------------------------
NGC3627,sp2,1000,110.74,287.20,8.81697,-0.68616,698.82,1207.04,-13.77,54.30,8.3,S4G,10,10
NGC3627,sp3,1000,82.44,243.39,6.63843,-0.58825,698.82,1207.04,-13.77,54.30,8.3,S4G,30,-25
NGC3627,sp4,-1000,147.51,160.47,4.72405,0.14262,698.82,1207.04,-13.77,54.30,8.3,S4G,10,10
NGC4254,sp1,1500,57.07,228.02,-2.11009,0.90663,582.52,1072.72,76.64,37.18,16.8,S4G,10,0
NGC4254,sp2,1500,33.16,134.97,0.22358,0.51167,582.52,1072.72,76.64,37.18,16.8,S4G,20,10
NGC4254,sp3,1500,135.84,148.99,4.61377,0.09856,582.52,1072.72,76.64,37.18,16.8,S4G,10,0
NGC4254,sp4,-1500,37.83,219.05,2.59474,0.40142,582.52,1072.72,76.64,37.18,16.8,S4G,0,0
NGC4303,sp1,1500,47.30,69.47,3.20732,0.09835,328.81,765.89,143.63,27.06,17.6,S4G,0,10
NGC4303,sp2,2000,85.17,177.48,2.79655,0.29573,328.81,765.89,143.63,27.06,17.6,S4G,80,0
NGC4303,sp3,2000,50.82,120.60,-2.27883,0.82955,328.81,765.89,143.63,27.06,17.6,S4G,0,10
NGC4303,sp4,-2000,137.98,196.71,3.60800,0.15475,328.81,765.89,143.63,27.06,17.6,S4G,0,0
NGC4321,sp1,-1500,90.82,376.94,7.45690,-0.65061,720.78,1205.01,158.22,34.57,15.2,S4G,10,0
NGC4321,sp2,1500,72.15,255.88,8.29327,-0.49943,720.78,1205.01,158.22,34.57,15.2,S4G,10,10
NGC4321,sp3,-1500,146.99,221.02,5.78723,-0.21753,720.78,1205.01,158.22,34.57,15.2,S4G,10,0
NGC4321,sp4,-1500,285.60,369.19,7.00132,-0.24241,720.78,1205.01,158.22,34.57,15.2,S4G,0,0
NGC4321,sp5,-1500,90.68,75.56,4.93265,-0.09028,720.78,1205.01,158.22,34.57,15.2,S4G,0,10
NGC4321,sp6,-1500,72.18,95.96,3.15461,0.14093,720.78,1205.01,158.22,34.57,15.2,S4G,0,-10
NGC4535,sp1,1000,60.53,91.98,5.15454,-0.20254,1031.28,1377.07,22.79,25.61,15.8,S4G,30,30
NGC4535,sp2,1000,54.80,183.83,6.74630,-0.31979,1031.28,1377.07,22.79,25.61,15.8,S4G,20,0
NGC4535,sp3,-1000,86.54,221.65,6.36382,-0.64486,1031.28,1377.07,22.79,25.61,15.8,S4G,0,10
NGC4535,sp4,-1000,186.11,198.21,5.64950,-0.09303,1031.28,1377.07,22.79,25.61,15.8,S4G,20,0
NGC4536,sp1,1500,89.99,233.04,3.20069,0.47659,991.73,967.63,125.48,64.21,14.9,S4G,20,0
NGC4536,sp2,-2500,69.98,248.50,-0.49988,0.83894,991.73,967.63,125.48,64.21,14.9,S4G,0,0
NGC4536,sp3,-2500,110.28,315.72,4.11649,0.38836,991.73,967.63,125.48,64.21,14.9,S4G,0,0
NGC4536,sp4,-1500,200.12,246.76,5.73023,-0.23663,991.73,967.63,125.48,64.21,14.9,S4G,5,5
NGC4548,sp1,1000,53.64,118.53,1.48497,0.53938,769.10,640.10,149.20,39.03,16.2,S4G,20,10
NGC4548,sp2,1000,56.31,104.96,0.81014,0.42658,769.10,640.10,149.20,39.03,16.2,S4G,40,10
NGC4548,sp3,1500,114.60,120.71,5.11672,-0.05075,769.10,640.10,149.20,39.03,16.2,non-S4G,20,10
NGC4548,sp4,-1500,120.33,170.16,3.13967,0.21461,769.10,640.10,149.20,39.03,16.2,non-S4G,20,10
NGC4548,sp5,-1500,98.96,155.89,3.79038,0.26176,769.10,640.10,149.20,39.03,16.2,non-S4G,40,10
NGC4548,sp6,-1500,149.74,159.58,5.45798,-0.07630,769.10,640.10,149.20,39.03,16.2,non-S4G,10,10
NGC4548,sp7,-1500,154.48,204.23,4.04057,0.16081,769.10,640.10,149.20,39.03,16.2,non-S4G,20,0
NGC4579,sp1,1500,112.04,103.01,5.01705,-0.07930,527.84,967.12,92.15,41.65,16.8,S4G,30,0
NGC4579,sp2,1500,122.01,64.57,6.44338,-0.32462,527.84,967.12,92.15,41.65,16.8,S4G,0,0
NGC4579,sp3,2500,132.74,113.70,5.52931,-0.09439,527.84,967.12,92.15,41.65,16.8,S4G,0,0
NGC4579,sp4,1000,140.85,52.85,8.70675,-0.46237,527.84,967.12,92.15,41.65,16.8,S4G,30,0
NGC4731,sp1,-1500,99.81,149.52,7.00717,-0.59683,967.97,793.77,82.23,61.26,12.4,S4G,30,0
NGC4731,sp2,-1500,130.96,200.68,8.79217,-0.54633,967.97,793.77,82.23,61.26,12.4,S4G,20,0
NGC5248,sp1,1500,42.15,47.61,3.57691,0.10634,612.75,294.55,103.90,38.55,12.7,S4G,10,10
NGC5248,sp2,1500,53.02,151.83,1.18090,0.91823,612.75,294.55,103.90,38.55,12.7,S4G,20,5
NGC5248,sp3,1000,52.28,187.76,3.79691,1.02286,612.75,294.55,103.90,38.55,12.7,S4G,20,5
NGC5643,sp1,2000,160.30,123.06,5.68710,-0.33892,803.00,1147.00,124.74,26.30,11.8,non-S4G,20,20
NGC5643,sp2,1500,129.06,43.62,7.03729,-0.75329,803.00,1147.00,124.74,26.30,11.8,non-S4G,10,0
NGC5643,sp3,1500,103.66,144.65,3.79920,0.20191,803.00,1147.00,124.74,26.30,11.8,non-S4G,15,10
NGC5643,sp4,1500,196.66,63.06,7.57796,-0.43248,803.00,1147.00,124.74,26.30,11.8,non-S4G,0,0
NGC5643,sp5,1000,232.43,114.58,8.85737,-0.53179,803.00,1147.00,124.74,26.30,11.8,non-S4G,30,0
NGC6744,sp1,-1500,422.90,338.87,7.15483,-0.36317,998.00,1304.00,20.45,40.71,11.6,non-S4G,0,0
NGC6744,sp2,-1500,345.77,380.06,5.51931,0.08920,998.00,1304.00,20.45,40.71,11.6,non-S4G,0,0
NGC6744,sp3,1000,388.20,230.26,9.93798,-0.84247,998.00,1304.00,20.45,40.71,11.6,non-S4G,0,0
NGC6744,sp4,1500,227.55,168.63,7.68120,-0.42207,998.00,1304.00,20.45,40.71,11.6,non-S4G,0,0
NGC6744,sp5,1500,163.73,143.91,5.48672,-0.06421,998.00,1304.00,20.45,40.71,11.6,non-S4G,0,0
NGC6744,sp6,1000,228.40,237.42,5.16935,0.03872,998.00,1304.00,20.45,40.71,11.6,non-S4G,0,0
NGC6744,sp7,1500,245.35,199.57,8.31459,-0.36236,998.00,1304.00,20.45,40.71,11.6,non-S4G,40,0
NGC6744,sp8,1500,483.59,116.25,12.80819,-0.84852,998.00,1304.00,20.45,40.71,11.6,non-S4G,0,0
NGC6744,sp9,2000,119.40,140.17,3.74691,0.10912,998.00,1304.00,20.45,40.71,11.6,non-S4G,0,10
